life_expectancy, child_mortality, country_group
40.55,3074.75,Sub-Saharan Africa
50.54,1154.23,Sub-Saharan Africa
60.46,4178.48,Sub-Saharan Africa
44.95,794.76,Sub-Saharan Africa
46.76,539.85,Sub-Saharan Africa
51.08,1989.19,Sub-Saharan Africa
61.47,1084.09,Sub-Saharan Africa
48.26,804.73,Sub-Saharan Africa
51.96,1208.28,Sub-Saharan Africa
46.49,698.67,Sub-Saharan Africa
59.6,3968.45,Sub-Saharan Africa
55.66,2704.73,Sub-Saharan Africa
42.81,970.46,Sub-Saharan Africa
44.05,534.43,Sub-Saharan Africa
43.9,588.38,Sub-Saharan Africa
54.43,15696.83,Sub-Saharan Africa
53.03,972.84,Sub-Saharan Africa
43.54,873.69,Sub-Saharan Africa
40.17,700.4,Sub-Saharan Africa
57.69,1344.17,Sub-Saharan Africa
53.79,800.51,Sub-Saharan Africa
47.59,609.85,Sub-Saharan Africa
48.13,1535.57,Sub-Saharan Africa
44.81,700.07,Sub-Saharan Africa
40.03,700.86,Sub-Saharan Africa
52.68,1524.95,Sub-Saharan Africa
65.82,3398.74,Sub-Saharan Africa
42.8,485.37,Sub-Saharan Africa
57.88,4167.1,Sub-Saharan Africa
39.42,957.49,Sub-Saharan Africa
44.76,1843.34,Sub-Saharan Africa
68.51,4887.45,Sub-Saharan Africa
45.88,818.71,Sub-Saharan Africa
59.51,2164.3,Sub-Saharan Africa
47.39,1414.11,Sub-Saharan Africa
41.76,1412.69,Sub-Saharan Africa
42.9,1059.16,Sub-Saharan Africa
56.79,8577.42,Sub-Saharan Africa
49.49,1760.99,Sub-Saharan Africa
54.33,3664.77,Sub-Saharan Africa
50.21,925.32,Sub-Saharan Africa
54.82,1589.51,Sub-Saharan Africa
50.04,638.77,Sub-Saharan Africa
51.93,1461.6,Sub-Saharan Africa
58.96,727.55,Sub-Saharan Africa
39.25,810.43,South Asia
47.67,684,South Asia
46.29,874.57,South Asia
55.11,844,South Asia
55.91,963.7,South Asia
48.11,672.3,South Asia
57.71,1334,South Asia
67.8,1525.22,South Asia
59.63,5610.2,Middle East & North Africa
67.35,19096.98,Middle East & North Africa
47.58,2853.84,Middle East & North Africa
61,18465.74,Middle East & North Africa
73.77,14819.26,Middle East & North Africa
62.63,4015.32,Middle East & North Africa
66.52,8532.76,Middle East & North Africa
59.83,23661.27,Middle East & North Africa
57.68,2627.7,Middle East & North Africa
60.07,10989.43,Middle East & North Africa
61.02,34568.06,Middle East & North Africa
62.05,3543.72,Middle East & North Africa
62.71,4062.85,Middle East & North Africa
46.68,1938.74,Middle East & North Africa
69.53,10126.5,America
72.3,9409.56,America
72.09,13858.9,America
70.69,3893.63,America
51.96,3391.07,America
62.46,7623.18,America
75.14,23473.9,America
69.07,5748.92,America
65.48,4379.58,America
72.56,6102.95,America
73.82,6695.01,America
62.92,7239.77,America
56.34,4629.77,America
65.16,3865.76,America
57.2,5236.1,America
60.8,2653.79,America
50.63,2212.9,America
59.44,3336.79,America
70.38,6015.19,America
66.56,9319.56,America
73.01,20507.69,America
58.5,3528.64,America
70,6643.42,America
66.77,4283.09,America
60.06,6441.29,America
73.63,10771.18,America
65.83,6045.94,America
67.36,9498.49,America
73.93,27838.11,America
70.28,7586.16,America
69.66,3591.76,Europe & Central Asia
72.7,21284.71,Europe & Central Asia
73.29,20969.62,Europe & Central Asia
70.45,4075.45,Europe & Central Asia
71.1,7802.85,Europe & Central Asia
70.55,13057.9,Europe & Central Asia
74.44,10904.71,Europe & Central Asia
74.16,20529.08,Europe & Central Asia
73.66,17796.77,Europe & Central Asia
74.35,20334.47,Europe & Central Asia
69.69,6014.45,Europe & Central Asia
73.18,22148.27,Europe & Central Asia
74.46,14877.19,Europe & Central Asia
69.11,12018.55,Europe & Central Asia
76.66,22434.86,Europe & Central Asia
72.6,12217.02,Europe & Central Asia
74.12,16201.88,Europe & Central Asia
69.19,8278.29,Europe & Central Asia
72.57,27021.65,Europe & Central Asia
69.64,7978.72,Europe & Central Asia
72.86,9104.22,Europe & Central Asia
73.74,11083.46,Europe & Central Asia
75.76,20372.21,Europe & Central Asia
75.65,24961,Europe & Central Asia
70.28,9173.32,Europe & Central Asia
71.75,11419.72,Europe & Central Asia
69.6,9755.08,Europe & Central Asia
70.28,14992.89,Europe & Central Asia
70.44,11259.07,Europe & Central Asia
71.02,17645.22,Europe & Central Asia
75.6,13790.56,Europe & Central Asia
75.8,21179,Europe & Central Asia
75.64,28732.37,Europe & Central Asia
60.3,4436.96,Europe & Central Asia
73.72,18199.83,Europe & Central Asia
74.6,19505.55,East Asia & Pacific
40.02,606.6,East Asia & Pacific
66.12,934.27,East Asia & Pacific
63.69,3374.56,East Asia & Pacific
64.3,17487.1,East Asia & Pacific
74.59,13494.1,East Asia & Pacific
54.44,1549.1,East Asia & Pacific
76.19,18488.26,East Asia & Pacific
68.27,3373,East Asia & Pacific
65.74,4331,East Asia & Pacific
71.8,15216.44,East Asia & Pacific
66.69,4550.58,East Asia & Pacific
65.17,4748.19,East Asia & Pacific
56.42,1800,East Asia & Pacific
57.48,935.13,East Asia & Pacific
67.26,26965.06,East Asia & Pacific
72.95,16718.1,East Asia & Pacific
51.13,1809.71,East Asia & Pacific
61.13,2549.91,East Asia & Pacific
59.92,3684.4,East Asia & Pacific
71.24,14103.68,East Asia & Pacific
58.77,1348.15,East Asia & Pacific
71.54,7672,East Asia & Pacific
65.93,2227.1,East Asia & Pacific
67.5,2479.03,East Asia & Pacific
57.45,660.36,East Asia & Pacific
58.58,2584.81,East Asia & Pacific
