userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2RTUMFZZKA4TW,0,1,2,pos,7,8.931
A2RTUMFZZKA4TW,27,4,1,num,8,8.551
A2RTUMFZZKA4TW,12,1,0,pos,7,5.359
A2RTUMFZZKA4TW,21,4,2,num,8,6.077
A2RTUMFZZKA4TW,29,0,1,num,8,8.599
A2RTUMFZZKA4TW,15,4,0,pos,8,9.471
A2RTUMFZZKA4TW,60,-1,2,center position,6,7.507
A2RTUMFZZKA4TW,34,5,0,num,8,5.751
A2RTUMFZZKA4TW,1,2,2,pos,8,8.299
A2RTUMFZZKA4TW,20,3,2,num,8,4.251
A2RTUMFZZKA4TW,7,2,1,pos,8,5.664
A2RTUMFZZKA4TW,5,0,2,pos,7,10.501
A2RTUMFZZKA4TW,10,5,1,pos,8,7.418
A2RTUMFZZKA4TW,13,2,0,pos,6,7.009
A2RTUMFZZKA4TW,14,3,0,pos,7,18.018
A2RTUMFZZKA4TW,32,-1,2,shape,6,4.07
A2RTUMFZZKA4TW,22,5,2,num,7,13.807
A2RTUMFZZKA4TW,62,-1,2,center position,6,3.899
A2RTUMFZZKA4TW,23,0,2,num,7,10.046
A2RTUMFZZKA4TW,17,0,0,pos,7,16.76
A2RTUMFZZKA4TW,8,3,1,pos,8,9.827
A2RTUMFZZKA4TW,35,0,0,num,6,6.908
A2RTUMFZZKA4TW,3,4,2,pos,8,7.075
A2RTUMFZZKA4TW,33,4,0,num,7,14.795
A2RTUMFZZKA4TW,9,4,1,pos,8,4.87
A2RTUMFZZKA4TW,4,5,2,pos,8,4.256
A2RTUMFZZKA4TW,3,-1,2,point number,6,7.885
A2RTUMFZZKA4TW,6,1,1,pos,8,4.799
A2RTUMFZZKA4TW,28,5,1,num,7,12.018
A2RTUMFZZKA4TW,18,1,2,num,7,9.269
A2RTUMFZZKA4TW,11,0,1,pos,7,8.391
A2RTUMFZZKA4TW,30,1,0,num,7,8.743
A2RTUMFZZKA4TW,19,2,2,num,7,9.584
A2RTUMFZZKA4TW,25,2,1,num,8,10.532
A2RTUMFZZKA4TW,31,2,0,num,6,5.757
A2RTUMFZZKA4TW,32,3,0,num,7,10.6
A2RTUMFZZKA4TW,16,5,0,pos,8,4.919
A2RTUMFZZKA4TW,2,3,2,pos,8,5.272
A2RTUMFZZKA4TW,26,3,1,num,6,4.721
A2RTUMFZZKA4TW,24,1,1,num,8,4.421
