userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A3LPASPG0SD7WZ,0,1,2,pos,8,16.929
A3LPASPG0SD7WZ,27,4,1,num,8,17.718
A3LPASPG0SD7WZ,12,1,0,pos,8,38.03
A3LPASPG0SD7WZ,21,4,2,num,8,25.712
A3LPASPG0SD7WZ,29,0,1,num,8,15.063
A3LPASPG0SD7WZ,15,4,0,pos,8,28.23
A3LPASPG0SD7WZ,60,-1,2,center position,6,19.45
A3LPASPG0SD7WZ,34,5,0,num,8,14.552
A3LPASPG0SD7WZ,1,2,2,pos,9,16.895
A3LPASPG0SD7WZ,20,3,2,num,7,12.208
A3LPASPG0SD7WZ,7,2,1,pos,11,39.819
A3LPASPG0SD7WZ,5,0,2,pos,8,14.288
A3LPASPG0SD7WZ,10,5,1,pos,8,10.296
A3LPASPG0SD7WZ,13,2,0,pos,9,12.57
A3LPASPG0SD7WZ,14,3,0,pos,8,11.038
A3LPASPG0SD7WZ,32,-1,2,shape,6,6.861
A3LPASPG0SD7WZ,22,5,2,num,8,8.277
A3LPASPG0SD7WZ,62,-1,2,center position,6,12.591
A3LPASPG0SD7WZ,23,0,2,num,7,7.465
A3LPASPG0SD7WZ,17,0,0,pos,8,32.942
A3LPASPG0SD7WZ,8,3,1,pos,8,7.44
A3LPASPG0SD7WZ,35,0,0,num,8,18.788
A3LPASPG0SD7WZ,3,4,2,pos,8,14.481
A3LPASPG0SD7WZ,33,4,0,num,8,39.703
A3LPASPG0SD7WZ,9,4,1,pos,8,9.405
A3LPASPG0SD7WZ,4,5,2,pos,8,17.984
A3LPASPG0SD7WZ,3,-1,2,point number,6,9.227
A3LPASPG0SD7WZ,6,1,1,pos,8,11.232
A3LPASPG0SD7WZ,28,5,1,num,6,8.871
A3LPASPG0SD7WZ,18,1,2,num,8,8.401
A3LPASPG0SD7WZ,11,0,1,pos,7,7.495
A3LPASPG0SD7WZ,30,1,0,num,8,24.299
A3LPASPG0SD7WZ,19,2,2,num,9,33.705
A3LPASPG0SD7WZ,25,2,1,num,8,19.762
A3LPASPG0SD7WZ,31,2,0,num,7,20.922
A3LPASPG0SD7WZ,32,3,0,num,8,8.092
A3LPASPG0SD7WZ,16,5,0,pos,8,7.014
A3LPASPG0SD7WZ,2,3,2,pos,8,27.884
A3LPASPG0SD7WZ,26,3,1,num,8,20.494
A3LPASPG0SD7WZ,24,1,1,num,8,6.508
