userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2JBTM4RLMU2YO,0,3,2,pos,8,14.753
A2JBTM4RLMU2YO,27,0,1,num,9,29.747
A2JBTM4RLMU2YO,12,3,0,pos,8,28.286
A2JBTM4RLMU2YO,21,0,2,num,7,14.346
A2JBTM4RLMU2YO,29,2,1,num,6,11.709
A2JBTM4RLMU2YO,15,0,0,pos,6,19.219
A2JBTM4RLMU2YO,60,-1,2,center position,6,22.354
A2JBTM4RLMU2YO,34,1,0,num,9,11.244
A2JBTM4RLMU2YO,1,4,2,pos,8,9.873
A2JBTM4RLMU2YO,20,5,2,num,7,9.489
A2JBTM4RLMU2YO,7,4,1,pos,7,39.651
A2JBTM4RLMU2YO,5,2,2,pos,5,22.636
A2JBTM4RLMU2YO,10,1,1,pos,7,13.305
A2JBTM4RLMU2YO,13,4,0,pos,7,13.767
A2JBTM4RLMU2YO,14,5,0,pos,8,9.361
A2JBTM4RLMU2YO,32,-1,2,shape,6,6.93
A2JBTM4RLMU2YO,22,1,2,num,7,19.615
A2JBTM4RLMU2YO,62,-1,2,center position,5,11.365
A2JBTM4RLMU2YO,23,2,2,num,6,19.942
A2JBTM4RLMU2YO,17,2,0,pos,5,14.067
A2JBTM4RLMU2YO,8,5,1,pos,6,14.545
A2JBTM4RLMU2YO,35,2,0,num,5,14.276
A2JBTM4RLMU2YO,3,0,2,pos,7,10.575
A2JBTM4RLMU2YO,33,0,0,num,6,10.142
A2JBTM4RLMU2YO,9,0,1,pos,8,15.496
A2JBTM4RLMU2YO,4,1,2,pos,8,10.858
A2JBTM4RLMU2YO,3,-1,2,point number,6,9.647
A2JBTM4RLMU2YO,6,3,1,pos,8,8.434
A2JBTM4RLMU2YO,28,1,1,num,7,16.12
A2JBTM4RLMU2YO,18,3,2,num,7,11.664
A2JBTM4RLMU2YO,11,2,1,pos,6,17.321
A2JBTM4RLMU2YO,30,3,0,num,6,19.996
A2JBTM4RLMU2YO,19,4,2,num,8,11.395
A2JBTM4RLMU2YO,25,4,1,num,8,8.49
A2JBTM4RLMU2YO,31,4,0,num,8,14.49
A2JBTM4RLMU2YO,32,5,0,num,7,15.411
A2JBTM4RLMU2YO,16,1,0,pos,7,13.089
A2JBTM4RLMU2YO,2,5,2,pos,7,7.123
A2JBTM4RLMU2YO,26,5,1,num,8,25.715
A2JBTM4RLMU2YO,24,3,1,num,8,18.713
