userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
AP2PDEEJQHMYO,0,3,2,pos,8,7.4
AP2PDEEJQHMYO,27,0,1,num,8,12.117
AP2PDEEJQHMYO,12,3,0,pos,8,9.244
AP2PDEEJQHMYO,21,0,2,num,7,13.759
AP2PDEEJQHMYO,29,2,1,num,8,8.524
AP2PDEEJQHMYO,15,0,0,pos,7,12.878
AP2PDEEJQHMYO,60,-1,2,center position,6,5.766
AP2PDEEJQHMYO,34,1,0,num,8,6.423
AP2PDEEJQHMYO,1,4,2,pos,7,6.938
AP2PDEEJQHMYO,20,5,2,num,7,8.403
AP2PDEEJQHMYO,7,4,1,pos,7,7.104
AP2PDEEJQHMYO,5,2,2,pos,6,8.545
AP2PDEEJQHMYO,10,1,1,pos,8,7.561
AP2PDEEJQHMYO,13,4,0,pos,7,6.336
AP2PDEEJQHMYO,14,5,0,pos,8,7.289
AP2PDEEJQHMYO,32,-1,2,shape,5,6.733
AP2PDEEJQHMYO,22,1,2,num,8,11.038
AP2PDEEJQHMYO,62,-1,2,center position,6,4.563
AP2PDEEJQHMYO,23,2,2,num,7,8.196
AP2PDEEJQHMYO,17,2,0,pos,6,6.994
AP2PDEEJQHMYO,8,5,1,pos,7,6.334
AP2PDEEJQHMYO,35,2,0,num,7,8.005
AP2PDEEJQHMYO,3,0,2,pos,7,6.981
AP2PDEEJQHMYO,33,0,0,num,7,10.963
AP2PDEEJQHMYO,9,0,1,pos,7,6.131
AP2PDEEJQHMYO,4,1,2,pos,8,4.391
AP2PDEEJQHMYO,3,-1,2,point number,6,6.681
AP2PDEEJQHMYO,6,3,1,pos,8,9.832
AP2PDEEJQHMYO,28,1,1,num,7,7.043
AP2PDEEJQHMYO,18,3,2,num,8,7.517
AP2PDEEJQHMYO,11,2,1,pos,7,5.253
AP2PDEEJQHMYO,30,3,0,num,6,4.572
AP2PDEEJQHMYO,19,4,2,num,8,5.427
AP2PDEEJQHMYO,25,4,1,num,8,8.017
AP2PDEEJQHMYO,31,4,0,num,9,9.94
AP2PDEEJQHMYO,32,5,0,num,7,6.747
AP2PDEEJQHMYO,16,1,0,pos,8,6.645
AP2PDEEJQHMYO,2,5,2,pos,9,7.519
AP2PDEEJQHMYO,26,5,1,num,8,13.326
AP2PDEEJQHMYO,24,3,1,num,8,6.067
