userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1G34TESSXG1R8,0,4,2,pos,8,9.021
A1G34TESSXG1R8,27,1,1,num,8,21.068
A1G34TESSXG1R8,12,4,0,pos,8,11.163
A1G34TESSXG1R8,21,1,2,num,7,7.838
A1G34TESSXG1R8,29,3,1,num,7,6.725
A1G34TESSXG1R8,15,1,0,pos,8,6.082
A1G34TESSXG1R8,60,-1,2,center position,6,8.621
A1G34TESSXG1R8,34,2,0,num,8,5.633
A1G34TESSXG1R8,1,5,2,pos,8,5.701
A1G34TESSXG1R8,20,0,2,num,6,4.044
A1G34TESSXG1R8,7,5,1,pos,8,5.014
A1G34TESSXG1R8,5,3,2,pos,8,6.114
A1G34TESSXG1R8,10,2,1,pos,7,5.085
A1G34TESSXG1R8,13,5,0,pos,7,6.066
A1G34TESSXG1R8,14,0,0,pos,7,4.944
A1G34TESSXG1R8,32,-1,2,shape,6,6.582
A1G34TESSXG1R8,22,2,2,num,6,4.193
A1G34TESSXG1R8,62,-1,2,center position,6,5.678
A1G34TESSXG1R8,23,3,2,num,8,6.721
A1G34TESSXG1R8,17,3,0,pos,7,10.168
A1G34TESSXG1R8,8,0,1,pos,6,7.031
A1G34TESSXG1R8,35,3,0,num,7,4.513
A1G34TESSXG1R8,3,1,2,pos,7,5.016
A1G34TESSXG1R8,33,1,0,num,7,10.402
A1G34TESSXG1R8,9,1,1,pos,8,6.77
A1G34TESSXG1R8,4,2,2,pos,8,6.744
A1G34TESSXG1R8,3,-1,2,point number,6,4.64
A1G34TESSXG1R8,6,4,1,pos,8,6.304
A1G34TESSXG1R8,28,2,1,num,7,6.706
A1G34TESSXG1R8,18,4,2,num,8,5.083
A1G34TESSXG1R8,11,3,1,pos,7,6.154
A1G34TESSXG1R8,30,4,0,num,7,4.318
A1G34TESSXG1R8,19,5,2,num,8,5.673
A1G34TESSXG1R8,25,5,1,num,8,4.971
A1G34TESSXG1R8,31,5,0,num,8,5.584
A1G34TESSXG1R8,32,0,0,num,7,6.537
A1G34TESSXG1R8,16,2,0,pos,8,5.236
A1G34TESSXG1R8,2,0,2,pos,8,4.564
A1G34TESSXG1R8,26,0,1,num,7,5.15
A1G34TESSXG1R8,24,4,1,num,7,8.986
