userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2ZZTO2FAA3L6T,0,5,2,pos,9,44.157
A2ZZTO2FAA3L6T,0,5,2,pos,9,1629176826.161843
A2ZZTO2FAA3L6T,27,2,1,num,6,10.213
A2ZZTO2FAA3L6T,12,5,0,pos,6,11.224
A2ZZTO2FAA3L6T,21,2,2,num,5,1629176872.161737
A2ZZTO2FAA3L6T,21,2,2,num,5,9.263
A2ZZTO2FAA3L6T,29,4,1,num,8,11.625
A2ZZTO2FAA3L6T,15,2,0,pos,6,8.227
A2ZZTO2FAA3L6T,15,2,0,pos,6,1629176902.963773
A2ZZTO2FAA3L6T,60,-1,2,center position,4,6.835
A2ZZTO2FAA3L6T,60,-1,2,center position,4,1629176915.870165
A2ZZTO2FAA3L6T,34,3,0,num,5,1629176941.026477
A2ZZTO2FAA3L6T,34,3,0,num,5,16.523
A2ZZTO2FAA3L6T,1,0,2,pos,0,60
A2ZZTO2FAA3L6T,20,1,2,num,7,5.002
A2ZZTO2FAA3L6T,20,1,2,num,7,1629179149.073998
A2ZZTO2FAA3L6T,7,0,1,pos,6,9.121
A2ZZTO2FAA3L6T,7,0,1,pos,6,1629179163.126879
A2ZZTO2FAA3L6T,5,4,2,pos,7,11.77
A2ZZTO2FAA3L6T,10,3,1,pos,8,15.493
A2ZZTO2FAA3L6T,13,0,0,pos,7,10.689
A2ZZTO2FAA3L6T,14,1,0,pos,7,7.775
A2ZZTO2FAA3L6T,32,-1,2,shape,5,8.09
A2ZZTO2FAA3L6T,22,3,2,num,7,7.917
A2ZZTO2FAA3L6T,62,-1,2,center position,6,9.75
A2ZZTO2FAA3L6T,62,-1,2,center position,6,1629181881.43225
A2ZZTO2FAA3L6T,23,4,2,num,7,8.341
A2ZZTO2FAA3L6T,23,4,2,num,7,1629181895.610659
A2ZZTO2FAA3L6T,17,4,0,pos,6,10.712
A2ZZTO2FAA3L6T,8,1,1,pos,7,15.23
A2ZZTO2FAA3L6T,35,4,0,num,6,24.83
A2ZZTO2FAA3L6T,3,2,2,pos,6,6.501
A2ZZTO2FAA3L6T,33,2,0,num,6,0.231
A2ZZTO2FAA3L6T,33,2,0,num,6,1629181983.327769
A2ZZTO2FAA3L6T,9,2,1,pos,6,7.405
A2ZZTO2FAA3L6T,9,2,1,pos,6,1629181995.8195949
A2ZZTO2FAA3L6T,4,3,2,pos,8,14.509
A2ZZTO2FAA3L6T,3,-1,2,point number,7,6.09
A2ZZTO2FAA3L6T,6,5,1,pos,8,4.8
A2ZZTO2FAA3L6T,28,3,1,num,6,7.821
A2ZZTO2FAA3L6T,18,5,2,num,8,9.208
A2ZZTO2FAA3L6T,11,4,1,pos,7,7.923
A2ZZTO2FAA3L6T,30,5,0,num,7,5.11
A2ZZTO2FAA3L6T,19,0,2,num,8,5.817
A2ZZTO2FAA3L6T,25,0,1,num,7,7.665
A2ZZTO2FAA3L6T,25,0,1,num,7,1629182111.876335
A2ZZTO2FAA3L6T,31,0,0,num,7,12.793
A2ZZTO2FAA3L6T,32,1,0,num,7,7.626
A2ZZTO2FAA3L6T,32,1,0,num,7,1629182144.8843741
A2ZZTO2FAA3L6T,16,3,0,pos,8,13.193
A2ZZTO2FAA3L6T,16,3,0,pos,8,1629182163.9768069
A2ZZTO2FAA3L6T,2,1,2,pos,7,23.164
A2ZZTO2FAA3L6T,26,1,1,num,6,25.375
A2ZZTO2FAA3L6T,24,5,1,num,7,7.607
