userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A12TFFS6M9TOVF,0,0,2,pos,3-4,small&dense-small&sparse,5.64-2.12,1,3-4,8.752
A12TFFS6M9TOVF,27,3,1,num,5,small&sparse,7.07,1,5,8.432
A12TFFS6M9TOVF,12,0,0,pos,6,large&dense,4.33,1,6,5.312
A12TFFS6M9TOVF,21,3,2,num,1,small&sparse,2.94,1,1,3.827
A12TFFS6M9TOVF,29,5,1,num,4,small&sparse,9.31,1,4,10.308
A12TFFS6M9TOVF,15,3,0,pos,,0,,0,7,60
A12TFFS6M9TOVF,60,-1,2,center position,5,small&dense,4.75,1,5,5.813
A12TFFS6M9TOVF,34,4,0,num,7-5,large&dense-large&dense,8.61-26.66,0,5-7-6,60
A12TFFS6M9TOVF,1,1,2,pos,2,small&sparse,12.68,1,2,13.837
A12TFFS6M9TOVF,20,2,2,num,4-7,small&dense-large&dense,3.29-4.96,1,4-7,9.154
A12TFFS6M9TOVF,7,1,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,5.06-2.61-3.61,1,5-3-7,12.636
A12TFFS6M9TOVF,5,5,2,pos,0-3,large&dense-small&sparse,1.93-2.35,1,0-3,5.486
A12TFFS6M9TOVF,10,4,1,pos,7-3,small&dense-large&dense,3.49-4.17,1,7-3,8.59
A12TFFS6M9TOVF,13,1,0,pos,0-3-5,large&sparse-small&dense-large&dense,4.83-2.31-3.18,1,3-5-0,11.64
A12TFFS6M9TOVF,14,2,0,pos,2-6-1,0-small&sparse-0,3.92-5.23-12.82,0,6-5-7,22.922
A12TFFS6M9TOVF,32,-1,2,shape,4,large&dense,3.24,1,4,6.126
A12TFFS6M9TOVF,22,4,2,num,0-7,large&sparse-small&sparse,8.96-19.29,1,0-7,30.518
A12TFFS6M9TOVF,62,-1,2,center position,4,large&dense,3.52,1,4,7.749
A12TFFS6M9TOVF,23,5,2,num,0-6-3,large&dense-large&dense-small&sparse,2.60-2.12-0.77,1,3-6-0,6.681
A12TFFS6M9TOVF,17,5,0,pos,5-0,small&sparse-small&dense,10.76-18.64,1,0-5,30.77
A12TFFS6M9TOVF,8,2,1,pos,1-6,large&dense-large&sparse,5.00-4.32,1,1-6,10.285
A12TFFS6M9TOVF,35,5,0,num,6-5,small&dense-large&sparse,16.08-21.41,0,6-5-0,60
A12TFFS6M9TOVF,3,3,2,pos,7,small&sparse,2.21,1,7,3.186
A12TFFS6M9TOVF,33,3,0,num,5,small&sparse,9.81,1,5,10.865
A12TFFS6M9TOVF,9,3,1,pos,1,small&dense,3.86,1,1,5.239
A12TFFS6M9TOVF,4,4,2,pos,2-6-0,small&dense-small&sparse-small&dense,7.84-1.23-1.71,1,0-2-6,11.655
A12TFFS6M9TOVF,3,-1,2,point number,1,large&dense,45.95,1,1,49.529
A12TFFS6M9TOVF,6,0,1,pos,2,small&dense,2.96,1,2,4.04
A12TFFS6M9TOVF,28,4,1,num,0-2-5,small&dense-small&sparse-small&sparse,11.64-6.75-28.49,1,0-2-5,50.095
A12TFFS6M9TOVF,18,0,2,num,5-7-2,small&sparse-small&dense-small&dense,3.67-3.53-13.82,1,7-2-5,21.849
A12TFFS6M9TOVF,11,5,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.84-1.37-2.61,1,6-1-0,8.836
A12TFFS6M9TOVF,30,0,0,num,5,small&dense,13.99,0,5-0,60
A12TFFS6M9TOVF,19,1,2,num,3,small&dense,5.44,1,3,6.304
A12TFFS6M9TOVF,25,1,1,num,1-0,small&sparse-large&sparse,7.84-12.34,1,1-0,23.267
A12TFFS6M9TOVF,31,1,0,num,5,large&dense,20.94,0,6-5,60
A12TFFS6M9TOVF,32,2,0,num,7,small&sparse,37.32,1,7,38.819
A12TFFS6M9TOVF,16,4,0,pos,0-1,small&dense-small&sparse,2.88-5.00,1,1-0,8.97
A12TFFS6M9TOVF,2,2,2,pos,4-5-6,large&sparse-small&dense-small&sparse,3.47-4.92-20.10,1,5-4-6,30.519
A12TFFS6M9TOVF,26,2,1,num,4-3-6,small&dense-small&sparse-large&sparse,5.29-3.64-8.20,1,3-4-6,18.115
A12TFFS6M9TOVF,24,0,1,num,2-6,small&dense-small&sparse,3.03-3.90,1,2-6,9.337
