userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1I72NHC21347A,0,0,2,pos,3-4,small&dense-small&sparse,6.08-4.66,1,3-4,11.49
A1I72NHC21347A,27,3,1,num,5,small&sparse,2.49,1,5,3.451
A1I72NHC21347A,12,0,0,pos,6,large&dense,4.32,1,6,5.423
A1I72NHC21347A,21,3,2,num,1,small&sparse,9.13,1,1,10.164
A1I72NHC21347A,29,5,1,num,4,small&sparse,12.28,1,4,13.153
A1I72NHC21347A,15,3,0,pos,3,0,7.61,0,7,19.298
A1I72NHC21347A,60,-1,2,center position,5,small&dense,8.89,1,5,9.96
A1I72NHC21347A,34,4,0,num,6-5-7,small&sparse-large&dense-large&dense,11.72-9.44-9.69,1,5-7-6,31.903
A1I72NHC21347A,1,1,2,pos,2,small&sparse,5.13,1,2,6.207
A1I72NHC21347A,20,2,2,num,5-7,0-large&dense,6.17-3.89,0,4-7,21.563
A1I72NHC21347A,7,1,1,pos,3-7-5,large&sparse-small&sparse-small&sparse,4.53-10.76-1.67,1,5-3-7,18.076
A1I72NHC21347A,5,5,2,pos,0-3,large&dense-small&sparse,5.98-2.34,1,0-3,14.387
A1I72NHC21347A,10,4,1,pos,7-3,small&dense-large&dense,3.51-4.07,1,7-3,8.404
A1I72NHC21347A,13,1,0,pos,3-0-2,small&dense-large&sparse-0,4.15-4.25-7.47,0,3-5-0,16.515
A1I72NHC21347A,14,2,0,pos,5-7-0,large&dense-large&dense-0,2.79-3.26-4.56,0,6-5-7,11.919
A1I72NHC21347A,32,-1,2,shape,4,large&dense,6.14,1,4,7.002
A1I72NHC21347A,22,4,2,num,1-0,0-large&sparse,13.10-4.19,0,0-7,18.084
A1I72NHC21347A,62,-1,2,center position,4,large&dense,2.48,1,4,4.044
A1I72NHC21347A,23,5,2,num,3-0-6,small&sparse-large&dense-large&dense,4.18-2.07-1.77,1,3-6-0,14.347
A1I72NHC21347A,17,5,0,pos,0-4,small&dense-0,2.50-10.34,0,0-5,13.842
A1I72NHC21347A,8,2,1,pos,1-6,large&dense-large&sparse,3.28-12.13,1,1-6,16.419
A1I72NHC21347A,35,5,0,num,0-3-7,small&sparse-0-0,8.08-12.51-0.81,0,6-5-0,22.38
A1I72NHC21347A,3,3,2,pos,7,small&sparse,2.83,1,7,3.701
A1I72NHC21347A,33,3,0,num,5,small&sparse,11.37,1,5,12.378
A1I72NHC21347A,9,3,1,pos,1,small&dense,2.35,1,1,5.134
A1I72NHC21347A,4,4,2,pos,0-2-6,small&dense-small&dense-small&sparse,5.21-4.26-2.02,1,0-2-6,12.455
A1I72NHC21347A,3,-1,2,point number,1,large&dense,9.90,1,1,10.782
A1I72NHC21347A,6,0,1,pos,2,small&dense,3.64,1,2,4.421
A1I72NHC21347A,28,4,1,num,0-2-5,small&dense-small&sparse-small&sparse,2.61-16.26-7.35,1,0-2-5,27.668
A1I72NHC21347A,18,0,2,num,7-5-0,small&dense-small&sparse-0,2.08-8.53-4.64,0,7-2-5,15.985
A1I72NHC21347A,11,5,1,pos,1-6-0,small&dense-small&dense-large&sparse,2.36-2.02-8.10,1,6-1-0,13.395
A1I72NHC21347A,30,0,0,num,6-5,0-small&dense,9.24-3.09,0,5-0,13.278
A1I72NHC21347A,19,1,2,num,3,small&dense,2.90,1,3,3.64
A1I72NHC21347A,25,1,1,num,0-5,large&sparse-0,5.53-4.14,0,1-0,10.461
A1I72NHC21347A,31,1,0,num,6-3,large&sparse-0,17.33-11.08,0,6-5,29.484
A1I72NHC21347A,32,2,0,num,4,0,13.14,0,7,14.102
A1I72NHC21347A,16,4,0,pos,0-1,small&dense-small&sparse,5.66-23.09,1,1-0,31.113
A1I72NHC21347A,2,2,2,pos,5-4-0,small&dense-large&sparse-0,3.72-1.73-9.86,0,5-4-6,16.143
A1I72NHC21347A,26,2,1,num,6-4-5,large&sparse-small&dense-0,3.58-1.26-2.98,0,3-4-6,8.856
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,13.973
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,17.732
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,20.292
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,21.044
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,21.292
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,21.556
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,21.82
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,23.988
A1I72NHC21347A,24,0,1,num,2-6,small&dense-small&sparse,2.82-10.34,1,2-6,24.252
