userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2HNNUPEOHS3PU,0,0,2,pos,4-3,small&sparse-small&dense,6.88-2.71,1,3-4,11.44
A2HNNUPEOHS3PU,27,3,1,num,5,small&sparse,4.61,1,5,6.98
A2HNNUPEOHS3PU,12,0,0,pos,6,large&dense,10.67,1,6,18.393
A2HNNUPEOHS3PU,21,3,2,num,1,small&sparse,3.76,1,1,11.822
A2HNNUPEOHS3PU,29,5,1,num,4,small&sparse,21.06,1,4,23.385
A2HNNUPEOHS3PU,15,3,0,pos,7,small&sparse,3.61,1,7,5.964
A2HNNUPEOHS3PU,60,-1,2,center position,5,small&dense,5.53,1,5,8.154
A2HNNUPEOHS3PU,34,4,0,num,6-7-5,small&sparse-large&dense-large&dense,23.42-21.76-4.77,1,5-7-6,52.703
A2HNNUPEOHS3PU,1,1,2,pos,2,small&sparse,4.96,1,2,14.793
A2HNNUPEOHS3PU,20,2,2,num,7-4,large&dense-small&dense,4.68-8.63,1,4-7,43.136
A2HNNUPEOHS3PU,7,1,1,pos,5-3-7,small&sparse-large&sparse-small&sparse,14.11-5.27-9.86,1,5-3-7,32.777
A2HNNUPEOHS3PU,5,5,2,pos,0-3,large&dense-small&sparse,4.01-2.82,1,0-3,8.68
A2HNNUPEOHS3PU,10,4,1,pos,7-3,small&dense-large&dense,4.75-4.66,1,7-3,11.433
A2HNNUPEOHS3PU,13,1,0,pos,3-0-5,small&dense-large&sparse-large&dense,4.51-3.04-9.98,1,3-5-0,19.311
A2HNNUPEOHS3PU,14,2,0,pos,7-6-2,large&dense-small&sparse-0,4.21-6.78-7.96,0,6-5-7,21.168
A2HNNUPEOHS3PU,32,-1,2,shape,4,large&dense,8.75,1,4,11.048
A2HNNUPEOHS3PU,22,4,2,num,7-0,small&sparse-large&sparse,16.84-7.45,1,0-7,25.973
A2HNNUPEOHS3PU,62,-1,2,center position,4,large&dense,2.71,1,4,5.202
A2HNNUPEOHS3PU,23,5,2,num,0-3-6,large&dense-small&sparse-large&dense,3.20-8.73-1.60,1,3-6-0,15.524
A2HNNUPEOHS3PU,17,5,0,pos,0-5,small&dense-small&sparse,16.20-10.62,1,0-5,29.108
A2HNNUPEOHS3PU,8,2,1,pos,4-1,0-large&dense,5.28-2.49,0,1-6,9.703
A2HNNUPEOHS3PU,35,5,0,num,6-5-0,small&dense-large&sparse-small&sparse,40.69-6.16-10.27,1,6-5-0,59.496
A2HNNUPEOHS3PU,35,5,0,num,6-5-0,small&dense-large&sparse-small&sparse,40.69-6.16-10.27,1,6-5-0,60
A2HNNUPEOHS3PU,3,3,2,pos,7,small&sparse,3.78,1,7,5.869
A2HNNUPEOHS3PU,33,3,0,num,5,small&sparse,39.63,1,5,42.265
A2HNNUPEOHS3PU,9,3,1,pos,1,small&dense,3.07,1,1,4.875
A2HNNUPEOHS3PU,4,4,2,pos,0-6-2,small&dense-small&sparse-small&dense,3.95-5.15-2.69,1,0-2-6,13.581
A2HNNUPEOHS3PU,3,-1,2,point number,1,large&dense,5.92,1,1,8.523
A2HNNUPEOHS3PU,6,0,1,pos,2,small&dense,3.22,1,2,5.702
A2HNNUPEOHS3PU,28,4,1,num,0-2-6,small&dense-small&sparse-0,5.86-5.58-7.00,0,0-2-5,20.509
A2HNNUPEOHS3PU,18,0,2,num,7-6-2,small&dense-0-small&dense,3.91-7.58-2.75,0,7-2-5,16.234
A2HNNUPEOHS3PU,11,5,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.25-2.89-3.32,1,6-1-0,11.317
A2HNNUPEOHS3PU,30,0,0,num,0-2,small&dense-0,13.52-12.24,0,5-0,27.764
A2HNNUPEOHS3PU,19,1,2,num,3,small&dense,8.52,1,3,10.47
A2HNNUPEOHS3PU,25,1,1,num,1-0,small&sparse-large&sparse,7.32-6.08,1,1-0,15.218
A2HNNUPEOHS3PU,31,1,0,num,7-3,0-0,38.31-2.06,0,6-5,42.986
A2HNNUPEOHS3PU,32,2,0,num,3,0,5.49,0,7,7.345
A2HNNUPEOHS3PU,16,4,0,pos,0-1,small&dense-small&sparse,3.95-2.87,1,1-0,8.353
A2HNNUPEOHS3PU,2,2,2,pos,7-4-2,0-large&sparse-0,4.86-2.32-6.02,0,5-4-6,17.557
A2HNNUPEOHS3PU,26,2,1,num,6-4-3,large&sparse-small&dense-small&sparse,6.48-7.46-2.96,1,3-4-6,19.214
A2HNNUPEOHS3PU,24,0,1,num,2-6,small&dense-small&sparse,3.95-9.88,1,2-6,15.972
