userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3QOMMIZTW0XF1,0,0,2,pos,4-3,small&sparse-small&dense,5.92-2.82,1,3-4,9.58
A3QOMMIZTW0XF1,27,3,1,num,5,small&sparse,6.62,1,5,7.259
A3QOMMIZTW0XF1,12,0,0,pos,6,large&dense,6.40,1,6,7.758
A3QOMMIZTW0XF1,21,3,2,num,1,small&sparse,3.75,1,1,4.548
A3QOMMIZTW0XF1,29,5,1,num,4,small&sparse,15.43,1,4,16.083
A3QOMMIZTW0XF1,15,3,0,pos,2,0,6.00,0,7,6.79
A3QOMMIZTW0XF1,60,-1,2,center position,5,small&dense,3.26,1,5,3.863
A3QOMMIZTW0XF1,34,4,0,num,7-0-6,large&dense-0-small&sparse,9.90-0.93-1.38,0,5-7-6,13.288
A3QOMMIZTW0XF1,1,1,2,pos,2,small&sparse,5.04,1,2,5.745
A3QOMMIZTW0XF1,20,2,2,num,4-7,small&dense-large&dense,7.33-1.91,1,4-7,9.927
A3QOMMIZTW0XF1,7,1,1,pos,7-3-1,small&sparse-large&sparse-0,6.18-5.58-6.04,0,5-3-7,19.121
A3QOMMIZTW0XF1,5,5,2,pos,0-3,large&dense-small&sparse,1.81-1.52,1,0-3,3.987
A3QOMMIZTW0XF1,10,4,1,pos,3-7,large&dense-small&dense,5.37-1.55,1,7-3,7.768
A3QOMMIZTW0XF1,13,1,0,pos,0-3-1,large&sparse-small&dense-0,6.22-2.55-4.80,0,3-5-0,14.374
A3QOMMIZTW0XF1,14,2,0,pos,6-1-3,small&sparse-0-0,6.41-5.20-2.16,0,6-5-7,14.524
A3QOMMIZTW0XF1,32,-1,2,shape,4,large&dense,4.34,1,4,5.288
A3QOMMIZTW0XF1,22,4,2,num,4-3,0-0,7.92-2.12,0,0-7,10.852
A3QOMMIZTW0XF1,62,-1,2,center position,4,large&dense,5.38,1,4,6.024
A3QOMMIZTW0XF1,23,5,2,num,3-6-0,small&sparse-large&dense-large&dense,2.31-2.47-0.91,1,3-6-0,6.514
A3QOMMIZTW0XF1,17,5,0,pos,4-5,0-small&sparse,9.35-3.27,0,0-5,13.56
A3QOMMIZTW0XF1,8,2,1,pos,1-0,large&dense-0,4.97-8.16,0,1-6,13.815
A3QOMMIZTW0XF1,35,5,0,num,4-3-7,0-0-0,16.98-1.72-1.90,0,6-5-0,21.554
A3QOMMIZTW0XF1,3,3,2,pos,7,small&sparse,3.10,1,7,3.697
A3QOMMIZTW0XF1,33,3,0,num,5,small&sparse,7.15,1,5,7.919
A3QOMMIZTW0XF1,9,3,1,pos,1,small&dense,2.23,1,1,2.961
A3QOMMIZTW0XF1,4,4,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.81-2.70-5.06,1,0-2-6,12.992
A3QOMMIZTW0XF1,3,-1,2,point number,1,large&dense,19.09,1,1,19.816
A3QOMMIZTW0XF1,6,0,1,pos,2,small&dense,3.77,1,2,4.502
A3QOMMIZTW0XF1,28,4,1,num,0-2-1,small&dense-small&sparse-0,4.27-4.99-9.71,0,0-2-5,19.915
A3QOMMIZTW0XF1,18,0,2,num,7-6-4,small&dense-0-0,4.20-6.93-0.67,0,7-2-5,12.488
A3QOMMIZTW0XF1,11,5,1,pos,1-0-6,small&dense-large&sparse-small&dense,6.99-9.43-9.11,1,6-1-0,26.362
A3QOMMIZTW0XF1,30,0,0,num,3-5,0-small&dense,5.73-1.93,0,5-0,8.63
A3QOMMIZTW0XF1,19,1,2,num,3,small&dense,4.70,1,3,5.273
A3QOMMIZTW0XF1,25,1,1,num,1-0,small&sparse-large&sparse,5.72-8.63,1,1-0,15.512
A3QOMMIZTW0XF1,31,1,0,num,4-5,0-large&dense,10.24-0.62,0,6-5,11.83
A3QOMMIZTW0XF1,32,2,0,num,7,small&sparse,15.20,1,7,16.313
A3QOMMIZTW0XF1,16,4,0,pos,0-1,small&dense-small&sparse,2.04-2.07,1,1-0,4.932
A3QOMMIZTW0XF1,2,2,2,pos,6-4-5,small&sparse-large&sparse-small&dense,3.50-2.75-2.16,1,5-4-6,9.169
A3QOMMIZTW0XF1,26,2,1,num,4-6-5,small&dense-large&sparse-0,2.65-1.75-8.22,0,3-4-6,13.397
A3QOMMIZTW0XF1,24,0,1,num,2-4,small&dense-0,2.19-11.93,0,2-6,14.897
