userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1V2H0UF94ATWY ,0,1,2,pos,3-4,small&dense-small&sparse,3.63-11.24,1,3-4,15.98
A1V2H0UF94ATWY ,27,4,1,num,5,small&sparse,22.04,1,5,23.11
A1V2H0UF94ATWY ,12,1,0,pos,6,large&dense,3.84,1,6,11.476
A1V2H0UF94ATWY ,21,4,2,num,1,small&sparse,24.25,1,1,25.239
A1V2H0UF94ATWY ,29,0,1,num,4,small&sparse,11.13,1,4,12.311
A1V2H0UF94ATWY ,15,4,0,pos,7,small&sparse,10.37,1,7,11.359
A1V2H0UF94ATWY ,60,-1,2,center position,5,small&dense,5.15,1,5,6.348
A1V2H0UF94ATWY ,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,10.96-40.22-6.50,1,5-7-6,59.329
A1V2H0UF94ATWY ,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,10.96-40.22-6.50,1,5-7-6,60
A1V2H0UF94ATWY ,1,2,2,pos,2,small&sparse,10.68,1,2,11.674
A1V2H0UF94ATWY ,20,3,2,num,4-7,small&dense-large&dense,4.13-5.23,1,4-7,10.414
A1V2H0UF94ATWY ,7,2,1,pos,3-7-4,large&sparse-small&sparse-0,7.31-2.90-13.74,0,5-3-7,24.949
A1V2H0UF94ATWY ,5,0,2,pos,0-3,large&dense-small&sparse,18.17-4.31,1,0-3,23.565
A1V2H0UF94ATWY ,10,5,1,pos,3-7,large&dense-small&dense,2.85-0.85,1,7-3,4.743
A1V2H0UF94ATWY ,13,2,0,pos,5-0-3,large&dense-large&sparse-small&dense,3.85-10.46-1.03,1,3-5-0,16.295
A1V2H0UF94ATWY ,14,3,0,pos,5-6-7,large&dense-small&sparse-large&dense,7.31-3.78-2.77,1,6-5-7,15.098
A1V2H0UF94ATWY ,32,-1,2,shape,4,large&dense,15.95,1,4,16.95
A1V2H0UF94ATWY ,22,5,2,num,0-7,large&sparse-small&sparse,8.83-12.97,1,0-7,22.943
A1V2H0UF94ATWY ,62,-1,2,center position,4,large&dense,8.23,1,4,9.449
A1V2H0UF94ATWY ,23,0,2,num,7-6-3,0-large&dense-small&sparse,8.85-11.46-2.66,0,3-6-0,24.179
A1V2H0UF94ATWY ,17,0,0,pos,0-4,small&dense-0,18.76-24.05,0,0-5,44.314
A1V2H0UF94ATWY ,8,3,1,pos,1-6,large&dense-large&sparse,3.18-9.42,1,1-6,13.631
A1V2H0UF94ATWY ,35,0,0,num,5-6,large&sparse-small&dense,3.51-49.77,0,6-5-0,60
A1V2H0UF94ATWY ,3,4,2,pos,7,small&sparse,16.71,1,7,18.264
A1V2H0UF94ATWY ,33,4,0,num,5,small&sparse,21.76,1,5,22.809
A1V2H0UF94ATWY ,9,4,1,pos,1,small&dense,2.61,1,1,3.562
A1V2H0UF94ATWY ,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.70-1.00-2.88,1,0-2-6,7.313
A1V2H0UF94ATWY ,3,-1,2,point number,1,large&dense,2.85,1,1,3.767
A1V2H0UF94ATWY ,6,1,1,pos,2,small&dense,6.22,1,2,7.071
A1V2H0UF94ATWY ,28,5,1,num,0-2-5,small&dense-small&sparse-small&sparse,1.71-4.87-4.53,1,0-2-5,12.095
A1V2H0UF94ATWY ,18,1,2,num,7-2-5,small&dense-small&dense-small&sparse,9.68-1.23-14.32,1,7-2-5,27.24
A1V2H0UF94ATWY ,11,0,1,pos,1-6-0,small&dense-small&dense-large&sparse,2.53-3.23-6.83,1,6-1-0,13.513
A1V2H0UF94ATWY ,30,1,0,num,5-0,small&dense-small&dense,6.26-3.92,1,5-0,17.104
A1V2H0UF94ATWY ,19,2,2,num,3,small&dense,2.63,1,3,3.612
A1V2H0UF94ATWY ,25,2,1,num,0-1,large&sparse-small&sparse,4.41-3.24,1,1-0,8.598
A1V2H0UF94ATWY ,31,2,0,num,6-5,large&sparse-large&dense,6.14-8.40,1,6-5,15.386
A1V2H0UF94ATWY ,32,3,0,num,7,small&sparse,4.37,1,7,5.332
A1V2H0UF94ATWY ,16,5,0,pos,0-1,small&dense-small&sparse,1.97-15.94,1,1-0,19.01
A1V2H0UF94ATWY ,2,3,2,pos,5-4-6,small&dense-large&sparse-small&sparse,34.16-4.86-7.14,1,5-4-6,47.992
A1V2H0UF94ATWY ,26,3,1,num,4-3,small&dense-small&sparse,2.48-10.67,0,3-4-6,60
A1V2H0UF94ATWY ,24,1,1,num,2-6,small&dense-small&sparse,4.75-6.28,1,2-6,12.149
