userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3AFSO30171MWZ,0,1,2,pos,3-5,small&dense-0,4.36-7.68,0,3-4,36.562
A3AFSO30171MWZ,27,4,1,num,5,small&sparse,26.88,1,5,29.161
A3AFSO30171MWZ,12,1,0,pos,6,large&dense,8.39,1,6,13.919
A3AFSO30171MWZ,21,4,2,num,1,small&sparse,31.26,1,1,33.279
A3AFSO30171MWZ,29,0,1,num,4,small&sparse,19.00,1,4,21.429
A3AFSO30171MWZ,15,4,0,pos,7,small&sparse,54.33,1,7,56.543
A3AFSO30171MWZ,60,-1,2,center position,5,small&dense,4.46,1,5,8.107
A3AFSO30171MWZ,34,5,0,num,6-1-2,small&sparse-0-0,35.31-13.98-4.39,0,5-7-6,55.537
A3AFSO30171MWZ,1,2,2,pos,2,small&sparse,7.06,1,2,19.249
A3AFSO30171MWZ,20,3,2,num,7-5,large&dense-0,23.89-8.09,0,4-7,34.193
A3AFSO30171MWZ,7,2,1,pos,3-1-7,large&sparse-0-small&sparse,9.74-9.57-18.28,0,5-3-7,41.279
A3AFSO30171MWZ,5,0,2,pos,0-3,large&dense-small&sparse,19.08-33.41,1,0-3,54.252
A3AFSO30171MWZ,10,5,1,pos,3-7,large&dense-small&dense,3.38-12.06,1,7-3,39.607
A3AFSO30171MWZ,13,2,0,pos,0-4-3,large&sparse-0-small&dense,10.34-11.36-34.42,0,3-5-0,58.165
A3AFSO30171MWZ,14,3,0,pos,6-5-0,small&sparse-large&dense-0,9.64-16.24-27.82,0,6-5-7,55.737
A3AFSO30171MWZ,32,-1,2,shape,4,large&dense,19.59,1,4,23.274
A3AFSO30171MWZ,22,5,2,num,0,large&sparse,19.66,0,0-7,60
A3AFSO30171MWZ,62,-1,2,center position,4,large&dense,28.99,1,4,44.998
A3AFSO30171MWZ,23,0,2,num,6-7-2,large&dense-0-0,9.39-18.83-16.40,0,3-6-0,46.301
A3AFSO30171MWZ,17,0,0,pos,5-0,small&sparse-small&dense,16.93-11.81,1,0-5,33.99
A3AFSO30171MWZ,8,3,1,pos,6-1,large&sparse-large&dense,4.42-21.92,1,1-6,28.985
A3AFSO30171MWZ,35,0,0,num,7-5,0-large&sparse,29.94-1.22,0,6-5-0,60
A3AFSO30171MWZ,3,4,2,pos,7,small&sparse,31.89,1,7,33.856
A3AFSO30171MWZ,33,4,0,num,2,0,52.20,0,5,53.887
A3AFSO30171MWZ,9,4,1,pos,6,0,44.64,0,1,59.822
A3AFSO30171MWZ,4,5,2,pos,0-2-3,small&dense-small&dense-0,4.84-3.24-3.78,0,0-2-6,18.294
A3AFSO30171MWZ,3,-1,2,point number,1,large&dense,49.79,1,1,51.814
A3AFSO30171MWZ,6,1,1,pos,2,small&dense,8.53,1,2,13.026
A3AFSO30171MWZ,28,5,1,num,1-0-5,0-small&dense-small&sparse,7.87-4.03-37.49,0,0-2-5,51.729
A3AFSO30171MWZ,18,1,2,num,5,small&sparse,7.48,0,7-2-5,60
A3AFSO30171MWZ,11,0,1,pos,7-4-6,0-0-small&dense,11.00-14.20-9.72,0,6-1-0,36.845
A3AFSO30171MWZ,30,1,0,num,0-4,small&dense-0,25.56-4.14,0,5-0,31.586
A3AFSO30171MWZ,19,2,2,num,3,small&dense,10.64,1,3,12.199
A3AFSO30171MWZ,25,2,1,num,0,large&sparse,29.59,0,1-0,60
A3AFSO30171MWZ,31,2,0,num,5-2,large&dense-0,8.26-25.85,0,6-5,35.947
A3AFSO30171MWZ,32,3,0,num,7,small&sparse,52.83,1,7,55.126
A3AFSO30171MWZ,16,5,0,pos,1-0,small&sparse-small&dense,6.35-3.78,1,1-0,51.96
A3AFSO30171MWZ,2,3,2,pos,4-5-6,large&sparse-small&dense-small&sparse,4.32-7.96-6.00,1,5-4-6,20.076
A3AFSO30171MWZ,26,3,1,num,4-3-1,small&dense-small&sparse-0,6.42-4.86-20.00,0,3-4-6,33.257
A3AFSO30171MWZ,24,1,1,num,6-2,small&sparse-small&dense,8.00-4.52,1,2-6,14.854
