userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2RZCNEREKT3DZ,0,2,2,pos,3-6,small&dense-0,8.16-0.80,0,3-4,10.842
A2RZCNEREKT3DZ,27,5,1,num,5,small&sparse,4.17,1,5,6.159
A2RZCNEREKT3DZ,12,2,0,pos,5,0,10.99,0,6,13.611
A2RZCNEREKT3DZ,21,5,2,num,1,small&sparse,11.09,1,1,13.591
A2RZCNEREKT3DZ,29,1,1,num,4,small&sparse,41.15,1,4,43.756
A2RZCNEREKT3DZ,15,5,0,pos,5,0,27.21,0,7,30.542
A2RZCNEREKT3DZ,60,-1,2,center position,5,small&dense,3.74,1,5,6.088
A2RZCNEREKT3DZ,34,0,0,num,6-7-5,small&sparse-large&dense-large&dense,32.57-8.27-13.16,1,5-7-6,56.446
A2RZCNEREKT3DZ,1,3,2,pos,2,small&sparse,4.95,1,2,6.898
A2RZCNEREKT3DZ,20,4,2,num,7-4,large&dense-small&dense,8.67-50.04,1,4-7,60
A2RZCNEREKT3DZ,7,3,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,4.52-1.70-3.68,1,5-3-7,12.121
A2RZCNEREKT3DZ,5,1,2,pos,0-3,large&dense-small&sparse,8.38-6.50,1,0-3,16.906
A2RZCNEREKT3DZ,10,0,1,pos,7-3,small&dense-large&dense,4.40-32.89,1,7-3,39.203
A2RZCNEREKT3DZ,13,3,0,pos,0-5-3,large&sparse-large&dense-small&dense,8.95-2.81-5.12,1,3-5-0,18.638
A2RZCNEREKT3DZ,14,4,0,pos,7-1-0,large&dense-0-0,6.16-1.66-2.87,0,6-5-7,26.314
A2RZCNEREKT3DZ,32,-1,2,shape,4,large&dense,8.48,1,4,10.013
A2RZCNEREKT3DZ,22,0,2,num,1-7,0-small&sparse,11.03-8.27,0,0-7,21.075
A2RZCNEREKT3DZ,62,-1,2,center position,4,large&dense,24.29,1,4,26.055
A2RZCNEREKT3DZ,23,1,2,num,0-3-2,large&dense-small&sparse-0,3.98-5.21-8.98,0,3-6-0,20.861
A2RZCNEREKT3DZ,17,1,0,pos,0-4,small&dense-0,3.98-36.77,0,0-5,42.632
A2RZCNEREKT3DZ,8,4,1,pos,1-6,large&dense-large&sparse,3.36-6.40,1,1-6,13.704
A2RZCNEREKT3DZ,35,1,0,num,5-0-2,large&sparse-small&sparse-0,25.92-7.30-24.02,0,6-5-0,59.919
A2RZCNEREKT3DZ,3,5,2,pos,7,small&sparse,4.98,1,7,7.346
A2RZCNEREKT3DZ,33,5,0,num,5,small&sparse,9.57,1,5,11.734
A2RZCNEREKT3DZ,9,5,1,pos,1,small&dense,3.32,1,1,4.994
A2RZCNEREKT3DZ,4,0,2,pos,0-3-2,small&dense-0-small&dense,5.96-4.32-11.56,0,0-2-6,22.884
A2RZCNEREKT3DZ,3,-1,2,point number,1,large&dense,28.67,1,1,30.712
A2RZCNEREKT3DZ,6,2,1,pos,2,small&dense,10.50,1,2,12.233
A2RZCNEREKT3DZ,28,0,1,num,0-2-6,small&dense-small&sparse-0,4.10-11.43-24.36,0,0-2-5,42.646
A2RZCNEREKT3DZ,18,2,2,num,5-2-7,small&sparse-small&dense-small&dense,4.06-3.83-2.10,1,7-2-5,11.709
A2RZCNEREKT3DZ,11,1,1,pos,7-0-5,0-large&sparse-0,23.87-1.36-12.96,0,6-1-0,45.512
A2RZCNEREKT3DZ,30,2,0,num,0-3,small&dense-0,13.78-5.91,0,5-0,22.433
A2RZCNEREKT3DZ,19,3,2,num,2,0,11.82,0,3,13.329
A2RZCNEREKT3DZ,25,3,1,num,5-1,0-small&sparse,2.78-2.38,0,1-0,30.617
A2RZCNEREKT3DZ,31,3,0,num,5-0,large&dense-0,14.07-10.40,0,6-5,26.081
A2RZCNEREKT3DZ,32,4,0,num,5,0,11.67,0,7,17.535
A2RZCNEREKT3DZ,16,0,0,pos,0-7,small&dense-0,8.23-4.40,0,1-0,14.12
A2RZCNEREKT3DZ,2,4,2,pos,5-6-4,small&dense-small&sparse-large&sparse,3.97-2.43-3.74,1,5-4-6,11.897
A2RZCNEREKT3DZ,26,4,1,num,4-3-2,small&dense-small&sparse-0,5.29-2.45-10.91,0,3-4-6,20.412
A2RZCNEREKT3DZ,24,2,1,num,2-0,small&dense-0,5.93-4.06,0,2-6,11.721
