userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3AUIYZ27TBTP9,0,2,2,pos,4-3,small&sparse-small&dense,6.06-6.43,1,3-4,13.381
A3AUIYZ27TBTP9,27,5,1,num,5,small&sparse,5.89,1,5,7.199
A3AUIYZ27TBTP9,12,2,0,pos,6,large&dense,7.95,1,6,9.834
A3AUIYZ27TBTP9,21,5,2,num,1,small&sparse,4.72,1,1,6.364
A3AUIYZ27TBTP9,29,1,1,num,4,small&sparse,23.80,1,4,25.224
A3AUIYZ27TBTP9,15,5,0,pos,7,small&sparse,7.61,1,7,8.893
A3AUIYZ27TBTP9,60,-1,2,center position,5,small&dense,1.65,1,5,2.63
A3AUIYZ27TBTP9,34,0,0,num,6-7,small&sparse-large&dense,4.45-27.31,0,5-7-6,60
A3AUIYZ27TBTP9,1,3,2,pos,2,small&sparse,2.47,1,2,3.583
A3AUIYZ27TBTP9,20,4,2,num,4-7,small&dense-large&dense,8.68-7.67,1,4-7,17.819
A3AUIYZ27TBTP9,7,3,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,2.23-2.47-5.08,1,5-3-7,11.239
A3AUIYZ27TBTP9,5,1,2,pos,3-0,small&sparse-large&dense,5.70-6.78,1,0-3,13.407
A3AUIYZ27TBTP9,10,0,1,pos,3-7,large&dense-small&dense,1.70-1.45,1,7-3,4.368
A3AUIYZ27TBTP9,13,3,0,pos,3-0-5,small&dense-large&sparse-large&dense,5.77-4.85-26.14,1,3-5-0,41.198
A3AUIYZ27TBTP9,14,4,0,pos,5-6-1,large&dense-small&sparse-0,4.20-6.84-3.95,0,6-5-7,16.322
A3AUIYZ27TBTP9,32,-1,2,shape,4,large&dense,7.13,1,4,8.225
A3AUIYZ27TBTP9,22,0,2,num,0-7,large&sparse-small&sparse,6.48-32.69,1,0-7,40.385
A3AUIYZ27TBTP9,62,-1,2,center position,4,large&dense,1.65,1,4,2.819
A3AUIYZ27TBTP9,23,1,2,num,0-6-3,large&dense-large&dense-small&sparse,2.24-3.20-4.97,1,3-6-0,11.623
A3AUIYZ27TBTP9,17,1,0,pos,5-0,small&sparse-small&dense,11.05-8.69,1,0-5,20.842
A3AUIYZ27TBTP9,8,4,1,pos,1-6,large&dense-large&sparse,3.95-13.89,1,1-6,18.921
A3AUIYZ27TBTP9,35,1,0,num,5,large&sparse,22.58,0,6-5-0,60
A3AUIYZ27TBTP9,3,5,2,pos,7,small&sparse,2.15,1,7,3.231
A3AUIYZ27TBTP9,33,5,0,num,5,small&sparse,19.58,1,5,20.693
A3AUIYZ27TBTP9,9,5,1,pos,1,small&dense,1.92,1,1,2.776
A3AUIYZ27TBTP9,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.24-2.12-4.61,1,0-2-6,9.96
A3AUIYZ27TBTP9,3,-1,2,point number,1,large&dense,9.09,1,1,10.132
A3AUIYZ27TBTP9,6,2,1,pos,2,small&dense,1.94,1,2,3.272
A3AUIYZ27TBTP9,28,0,1,num,5-2,small&sparse-small&sparse,8.94-6.90,0,0-2-5,60
A3AUIYZ27TBTP9,18,2,2,num,5-7,small&sparse-small&dense,2.37-2.55,0,7-2-5,60
A3AUIYZ27TBTP9,11,1,1,pos,1-0-6,small&dense-large&sparse-small&dense,3.45-2.78-2.67,1,6-1-0,9.97
A3AUIYZ27TBTP9,30,2,0,num,5-0,small&dense-small&dense,3.20-6.64,1,5-0,11.207
A3AUIYZ27TBTP9,19,3,2,num,3,small&dense,3.18,1,3,4.314
A3AUIYZ27TBTP9,25,3,1,num,1-0,small&sparse-large&sparse,4.22-10.32,1,1-0,15.742
A3AUIYZ27TBTP9,31,3,0,num,6-5,large&sparse-large&dense,11.19-15.93,1,6-5,27.696
A3AUIYZ27TBTP9,32,4,0,num,,0,,0,7,60
A3AUIYZ27TBTP9,16,0,0,pos,0-1,small&dense-small&sparse,3.10-5.70,1,1-0,9.874
A3AUIYZ27TBTP9,2,4,2,pos,5-6-4,small&dense-small&sparse-large&sparse,1.76-2.70-2.69,1,5-4-6,8.197
A3AUIYZ27TBTP9,26,4,1,num,3-6-4,small&sparse-large&sparse-small&dense,4.97-2.74-3.50,1,3-4-6,12.181
A3AUIYZ27TBTP9,24,2,1,num,2-6,small&dense-small&sparse,4.99-11.27,1,2-6,17.071
