userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3EUH97BRHRSI6,0,2,2,pos,3-7,small&dense-0,4.73-16.77,0,3-4,25.909
A3EUH97BRHRSI6,27,5,1,num,5,small&sparse,4.57,1,5,7.016
A3EUH97BRHRSI6,12,2,0,pos,6,large&dense,5.43,1,6,8.681
A3EUH97BRHRSI6,21,5,2,num,1,small&sparse,14.56,1,1,16.808
A3EUH97BRHRSI6,29,1,1,num,7,0,2.68,0,4,4.9
A3EUH97BRHRSI6,15,5,0,pos,7,small&sparse,3.84,1,7,7.103
A3EUH97BRHRSI6,60,-1,2,center position,5,small&dense,5.79,1,5,8.46
A3EUH97BRHRSI6,34,0,0,num,2-5-6,0-large&dense-small&sparse,9.99-3.11-10.92,0,5-7-6,25.43
A3EUH97BRHRSI6,1,3,2,pos,2,small&sparse,3.37,1,2,5.458
A3EUH97BRHRSI6,20,4,2,num,7-2,large&dense-0,9.57-4.29,0,4-7,16.645
A3EUH97BRHRSI6,7,3,1,pos,5-3-1,small&sparse-large&sparse-0,3.15-5.23-23.53,0,5-3-7,34.755
A3EUH97BRHRSI6,5,1,2,pos,4-0,0-large&dense,3.21-1.37,0,0-3,7.679
A3EUH97BRHRSI6,10,0,1,pos,3-7,large&dense-small&dense,2.09-2.46,1,7-3,6.627
A3EUH97BRHRSI6,13,3,0,pos,5-0-7,large&dense-large&sparse-0,10.65-5.57-5.31,0,3-5-0,39.643
A3EUH97BRHRSI6,14,4,0,pos,7-5-1,large&dense-large&dense-0,2.44-3.88-2.69,0,6-5-7,23.909
A3EUH97BRHRSI6,32,-1,2,shape,4,large&dense,4.16,1,4,14.126
A3EUH97BRHRSI6,22,0,2,num,0-7,large&sparse-small&sparse,5.32-2.46,1,0-7,34.083
A3EUH97BRHRSI6,62,-1,2,center position,4,large&dense,2.65,1,4,7.512
A3EUH97BRHRSI6,23,1,2,num,0-4-3,large&dense-0-small&sparse,2.05-6.19-3.22,0,3-6-0,13.883
A3EUH97BRHRSI6,17,1,0,pos,0-4,small&dense-0,3.75-3.85,0,0-5,20.447
A3EUH97BRHRSI6,8,4,1,pos,1-0,large&dense-0,5.42-2.77,0,1-6,10.031
A3EUH97BRHRSI6,35,1,0,num,7-4-5,0-0-large&sparse,5.40-3.32-3.98,0,6-5-0,14.839
A3EUH97BRHRSI6,3,5,2,pos,7,small&sparse,3.40,1,7,5.314
A3EUH97BRHRSI6,33,5,0,num,0,0,4.80,0,5,6.611
A3EUH97BRHRSI6,9,5,1,pos,1,small&dense,2.06,1,1,4.228
A3EUH97BRHRSI6,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.53-10.20-1.74,1,0-2-6,17.812
A3EUH97BRHRSI6,3,-1,2,point number,1,large&dense,6.13,1,1,8.047
A3EUH97BRHRSI6,6,2,1,pos,2,small&dense,3.83,1,2,5.996
A3EUH97BRHRSI6,28,0,1,num,0-7-2,small&dense-0-small&sparse,4.99-6.56-3.39,0,0-2-5,16.888
A3EUH97BRHRSI6,18,2,2,num,5-6-7,small&sparse-0-small&dense,2.15-2.35-2.42,0,7-2-5,8.795
A3EUH97BRHRSI6,11,1,1,pos,4-6-0,0-small&dense-large&sparse,2.08-1.79-4.32,0,6-1-0,10.324
A3EUH97BRHRSI6,30,2,0,num,3-5,0-small&dense,4.19-1.67,0,5-0,9.143
A3EUH97BRHRSI6,19,3,2,num,3,small&dense,7.02,1,3,18.048
A3EUH97BRHRSI6,25,3,1,num,0-5,large&sparse-0,4.62-2.04,0,1-0,25.227
A3EUH97BRHRSI6,31,3,0,num,5-6,large&dense-large&sparse,5.74-8.32,1,6-5,16.153
A3EUH97BRHRSI6,32,4,0,num,5,0,9.36,0,7,38.319
A3EUH97BRHRSI6,16,0,0,pos,5-0,0-small&dense,2.64-1.88,0,1-0,9.934
A3EUH97BRHRSI6,2,4,2,pos,4-6-0,large&sparse-small&sparse-0,2.84-7.71-2.05,0,5-4-6,14.58
A3EUH97BRHRSI6,26,4,1,num,4-1-5,small&dense-0-0,5.95-0.85-4.61,0,3-4-6,12.716
A3EUH97BRHRSI6,24,2,1,num,2-1,small&dense-0,5.88-3.69,0,2-6,11.638
