userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A37EUJ2M9I0VLE,0,3,2,pos,3-4,small&dense-small&sparse,5.15-3.25,1,3-4,9.967
A37EUJ2M9I0VLE,0,3,2,pos,3-4,small&dense-small&sparse,5.15-3.25,1,3-4,10.744
A37EUJ2M9I0VLE,27,0,1,num,5,small&sparse,29.28,1,5,50.289
A37EUJ2M9I0VLE,12,3,0,pos,6,large&dense,3.53,1,6,5.225
A37EUJ2M9I0VLE,21,0,2,num,4,0,1.14,0,1,30.313
A37EUJ2M9I0VLE,29,2,1,num,4,small&sparse,11.12,1,4,14.16
A37EUJ2M9I0VLE,15,0,0,pos,5,0,11.06,0,7,16.748
A37EUJ2M9I0VLE,60,-1,2,center position,5,small&dense,3.52,1,5,5.145
A37EUJ2M9I0VLE,34,1,0,num,4-5-7,0-large&dense-large&dense,8.59-14.56-15.10,0,5-7-6,40.879
A37EUJ2M9I0VLE,1,4,2,pos,2,small&sparse,6.14,1,2,8.343
A37EUJ2M9I0VLE,20,5,2,num,7-4,large&dense-small&dense,12.30-1.89,1,4-7,18.715
A37EUJ2M9I0VLE,7,4,1,pos,7-3-6,small&sparse-large&sparse-0,5.73-8.58-12.14,0,5-3-7,27.777
A37EUJ2M9I0VLE,5,2,2,pos,3-0,small&sparse-large&dense,6.12-1.02,1,0-3,8.69
A37EUJ2M9I0VLE,10,1,1,pos,3-7,large&dense-small&dense,2.89-3.60,1,7-3,10.038
A37EUJ2M9I0VLE,13,4,0,pos,7-5-3,0-large&dense-small&dense,3.62-3.25-4.76,0,3-5-0,15.733
A37EUJ2M9I0VLE,14,5,0,pos,7-6-5,large&dense-small&sparse-large&dense,2.80-4.63-14.65,1,6-5-7,36.172
A37EUJ2M9I0VLE,14,5,0,pos,7-6-5,large&dense-small&sparse-large&dense,2.80-4.63-14.65,1,6-5-7,36.534
A37EUJ2M9I0VLE,32,-1,2,shape,4,large&dense,2.09,1,4,19.481
A37EUJ2M9I0VLE,22,1,2,num,4-0,0-large&sparse,6.85-4.78,0,0-7,60
A37EUJ2M9I0VLE,62,-1,2,center position,4,large&dense,34.88,1,4,37.154
A37EUJ2M9I0VLE,23,2,2,num,0-6-4,large&dense-large&dense-0,2.50-2.31-5.22,0,3-6-0,12.402
A37EUJ2M9I0VLE,17,2,0,pos,0-5,small&dense-small&sparse,6.55-16.81,1,0-5,25.486
A37EUJ2M9I0VLE,8,5,1,pos,1-6,large&dense-large&sparse,2.15-2.46,1,1-6,6.624
A37EUJ2M9I0VLE,35,2,0,num,3-0-5,0-small&sparse-large&sparse,9.12-3.55-4.17,0,6-5-0,18.727
A37EUJ2M9I0VLE,3,0,2,pos,7,small&sparse,4.67,1,7,6.274
A37EUJ2M9I0VLE,33,0,0,num,6,0,7.26,0,5,60
A37EUJ2M9I0VLE,9,0,1,pos,1,small&dense,3.46,1,1,5.413
A37EUJ2M9I0VLE,4,1,2,pos,2-0-6,small&dense-small&dense-small&sparse,5.59-4.95-3.76,1,0-2-6,16.317
A37EUJ2M9I0VLE,3,-1,2,point number,1,large&dense,5.01,1,1,7.262
A37EUJ2M9I0VLE,6,3,1,pos,2,small&dense,2.07,1,2,3.331
A37EUJ2M9I0VLE,28,1,1,num,2-1-4,small&sparse-0-0,4.61-18.18-1.21,0,0-2-5,25.846
A37EUJ2M9I0VLE,18,3,2,num,2-5-7,small&dense-small&sparse-small&dense,4.79-16.73-6.66,1,7-2-5,29.175
A37EUJ2M9I0VLE,11,2,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.73-1.67-1.89,1,6-1-0,9.051
A37EUJ2M9I0VLE,30,3,0,num,5-1,small&dense-0,19.29-13.04,0,5-0,60
A37EUJ2M9I0VLE,19,4,2,num,3,small&dense,13.14,1,3,14.736
A37EUJ2M9I0VLE,25,4,1,num,1-0,small&sparse-large&sparse,10.26-3.17,1,1-0,14.872
A37EUJ2M9I0VLE,31,4,0,num,5-6,large&dense-large&sparse,12.14-5.41,1,6-5,19.146
A37EUJ2M9I0VLE,32,5,0,num,7,small&sparse,8.18,1,7,10.169
A37EUJ2M9I0VLE,16,1,0,pos,0-7,small&dense-0,3.17-3.61,0,1-0,8.566
A37EUJ2M9I0VLE,2,5,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.71-1.44-5.71,1,5-4-6,11.233
A37EUJ2M9I0VLE,26,5,1,num,4-1-3,small&dense-0-small&sparse,6.24-3.02-2.04,0,3-4-6,13.514
A37EUJ2M9I0VLE,24,3,1,num,2-6,small&dense-small&sparse,4.30-15.62,1,2-6,21.554
A37EUJ2M9I0VLE,24,3,1,num,2-6,small&dense-small&sparse,4.30-15.62,1,2-6,21.913
