userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3T197A103S6J6,0,3,2,pos,3-4,small&dense-small&sparse,5.82-3.69,1,3-4,20.556
A3T197A103S6J6,27,0,1,num,5,small&sparse,11.97,1,5,49.924
A3T197A103S6J6,12,3,0,pos,6,large&dense,6.63,1,6,7.477
A3T197A103S6J6,21,0,2,num,3,0,26.62,0,1,27.796
A3T197A103S6J6,29,2,1,num,4,small&sparse,15.41,1,4,16.642
A3T197A103S6J6,15,0,0,pos,0,0,27.59,0,7,28.441
A3T197A103S6J6,60,-1,2,center position,5,small&dense,3.49,1,5,8.577
A3T197A103S6J6,34,1,0,num,1-2-4,0-0-0,30.24-2.63-0.71,0,5-7-6,34.744
A3T197A103S6J6,1,4,2,pos,2,small&sparse,9.42,1,2,10.728
A3T197A103S6J6,20,5,2,num,4-7,small&dense-large&dense,4.26-5.63,1,4-7,19.348
A3T197A103S6J6,7,4,1,pos,3-4-1,large&sparse-0-0,6.07-9.20-2.17,0,5-3-7,18.268
A3T197A103S6J6,5,2,2,pos,0-3,large&dense-small&sparse,7.90-4.66,1,0-3,14.242
A3T197A103S6J6,10,1,1,pos,6-7,0-small&dense,7.26-0.34,0,7-3,8.519
A3T197A103S6J6,13,4,0,pos,3-0-4,small&dense-large&sparse-0,11.05-4.94-3.69,0,3-5-0,20.557
A3T197A103S6J6,14,5,0,pos,6-5-1,small&sparse-large&dense-0,8.22-3.73-6.63,0,6-5-7,19.271
A3T197A103S6J6,32,-1,2,shape,4,large&dense,7.95,1,4,9.138
A3T197A103S6J6,22,1,2,num,0-7,large&sparse-small&sparse,16.54-3.64,1,0-7,33.217
A3T197A103S6J6,62,-1,2,center position,4,large&dense,4.18,1,4,8.595
A3T197A103S6J6,23,2,2,num,0-6-3,large&dense-large&dense-small&sparse,5.58-3.09-3.05,1,3-6-0,12.442
A3T197A103S6J6,17,2,0,pos,0-3,small&dense-0,3.16-16.28,0,0-5,28.87
A3T197A103S6J6,8,5,1,pos,1-0,large&dense-0,5.42-1.25,0,1-6,8.67
A3T197A103S6J6,35,2,0,num,7-1-0,0-0-small&sparse,11.37-3.41-0.45,0,6-5-0,16.419
A3T197A103S6J6,3,0,2,pos,7,small&sparse,6.76,1,7,10.048
A3T197A103S6J6,33,0,0,num,1,0,6.63,0,5,8.198
A3T197A103S6J6,9,0,1,pos,1,small&dense,4.99,1,1,9.62
A3T197A103S6J6,4,1,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.45-3.15-9.27,1,0-2-6,16.739
A3T197A103S6J6,3,-1,2,point number,1,large&dense,7.96,1,1,9.753
A3T197A103S6J6,6,3,1,pos,2,small&dense,3.08,1,2,4.837
A3T197A103S6J6,28,1,1,num,6-2-5,0-small&sparse-small&sparse,2.82-13.96-6.00,0,0-2-5,23.947
A3T197A103S6J6,18,3,2,num,7-5-6,small&dense-small&sparse-0,11.37-5.79-2.45,0,7-2-5,20.772
A3T197A103S6J6,11,2,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.36-3.96-2.07,1,6-1-0,10.193
A3T197A103S6J6,30,3,0,num,7-3,0-0,23.95-0.74,0,5-0,25.73
A3T197A103S6J6,19,4,2,num,3,small&dense,4.63,1,3,5.825
A3T197A103S6J6,25,4,1,num,6-4,0-0,11.95-1.19,0,1-0,13.835
A3T197A103S6J6,31,4,0,num,4-0,0-0,14.10-2.65,0,6-5,18.646
A3T197A103S6J6,32,5,0,num,1,0,10.74,0,7,11.854
A3T197A103S6J6,16,1,0,pos,0-3,small&dense-0,10.05-4.60,0,1-0,15.168
A3T197A103S6J6,2,5,2,pos,4-7-5,large&sparse-0-small&dense,7.61-2.16-3.63,0,5-4-6,14.148
A3T197A103S6J6,26,5,1,num,4-5-6,small&dense-0-large&sparse,3.59-2.91-4.82,0,3-4-6,12.104
A3T197A103S6J6,24,3,1,num,2-6,small&dense-small&sparse,1.10-3.70,1,2-6,18.251
