userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AQEH7DY2CZT0O,0,3,2,pos,3-4,small&dense-small&sparse,3.20-3.56,1,3-4,8.248
AQEH7DY2CZT0O,27,0,1,num,3,0,5.00,0,5,6.201
AQEH7DY2CZT0O,12,3,0,pos,6,large&dense,3.36,1,6,7.106
AQEH7DY2CZT0O,21,0,2,num,6,0,12.27,0,1,13.702
AQEH7DY2CZT0O,29,2,1,num,7,0,13.33,0,4,15.287
AQEH7DY2CZT0O,15,0,0,pos,5,0,10.47,0,7,12.203
AQEH7DY2CZT0O,60,-1,2,center position,5,small&dense,2.77,1,5,4.512
AQEH7DY2CZT0O,34,1,0,num,5-0-4,large&dense-0-0,10.41-0.91-1.09,0,5-7-6,14.007
AQEH7DY2CZT0O,1,4,2,pos,2,small&sparse,5.11,1,2,6.387
AQEH7DY2CZT0O,20,5,2,num,6-0,0-0,8.66-4.31,0,4-7,13.571
AQEH7DY2CZT0O,7,4,1,pos,3-5-0,large&sparse-small&sparse-0,6.68-1.30-4.10,0,5-3-7,13.426
AQEH7DY2CZT0O,5,2,2,pos,3-0,small&sparse-large&dense,2.87-4.83,1,0-3,9.009
AQEH7DY2CZT0O,10,1,1,pos,7-0,small&dense-0,3.58-8.22,0,7-3,13.116
AQEH7DY2CZT0O,13,4,0,pos,0-3-2,large&sparse-small&dense-0,4.70-3.00-1.16,0,3-5-0,10.171
AQEH7DY2CZT0O,14,5,0,pos,7-0-5,large&dense-0-large&dense,2.38-3.02-5.79,0,6-5-7,11.992
AQEH7DY2CZT0O,32,-1,2,shape,3,0,6.12,0,4,7.326
AQEH7DY2CZT0O,22,1,2,num,4-5,0-0,1.09-1.89,0,0-7,11.977
AQEH7DY2CZT0O,62,-1,2,center position,4,large&dense,3.63,1,4,5.139
AQEH7DY2CZT0O,23,2,2,num,0-6-3,large&dense-large&dense-small&sparse,2.47-2.45-2.45,1,3-6-0,8.674
AQEH7DY2CZT0O,17,2,0,pos,0-4,small&dense-0,2.34-6.49,0,0-5,10.253
AQEH7DY2CZT0O,8,5,1,pos,1-5,large&dense-0,3.07-9.28,0,1-6,13.924
AQEH7DY2CZT0O,35,2,0,num,5-7-0,large&sparse-0-small&sparse,6.98-1.00-0.72,0,6-5-0,10.278
AQEH7DY2CZT0O,3,0,2,pos,6,0,6.77,0,7,8.251
AQEH7DY2CZT0O,33,0,0,num,2,0,3.81,0,5,5.167
AQEH7DY2CZT0O,9,0,1,pos,1,small&dense,2.10,1,1,3.468
AQEH7DY2CZT0O,4,1,2,pos,2-0-6,small&dense-small&dense-small&sparse,4.80-2.39-2.57,1,0-2-6,11.282
AQEH7DY2CZT0O,3,-1,2,point number,1,large&dense,6.53,1,1,7.991
AQEH7DY2CZT0O,6,3,1,pos,2,small&dense,4.88,1,2,6.594
AQEH7DY2CZT0O,28,1,1,num,1-0-2,0-small&dense-small&sparse,4.65-1.74-1.13,0,0-2-5,8.875
AQEH7DY2CZT0O,18,3,2,num,5-7-3,small&sparse-small&dense-0,2.48-1.95-1.69,0,7-2-5,7.583
AQEH7DY2CZT0O,11,2,1,pos,1-0-6,small&dense-large&sparse-small&dense,2.61-3.58-1.87,1,6-1-0,9.36
AQEH7DY2CZT0O,30,3,0,num,3-4,0-0,13.97-0.40,0,5-0,15.903
AQEH7DY2CZT0O,19,4,2,num,1,0,11.10,0,3,12.612
AQEH7DY2CZT0O,25,4,1,num,1-3,small&sparse-0,5.01-2.17,0,1-0,8.59
AQEH7DY2CZT0O,31,4,0,num,0-5,0-large&dense,9.10-0.78,0,6-5,11.772
AQEH7DY2CZT0O,32,5,0,num,5,0,8.42,0,7,9.804
AQEH7DY2CZT0O,16,1,0,pos,0-5,small&dense-0,7.66-1.75,0,1-0,10.689
AQEH7DY2CZT0O,2,5,2,pos,6-4-5,small&sparse-large&sparse-small&dense,6.38-1.99-2.13,1,5-4-6,12.117
AQEH7DY2CZT0O,26,5,1,num,4-1-6,small&dense-0-large&sparse,3.53-2.11-3.81,0,3-4-6,11.051
AQEH7DY2CZT0O,24,3,1,num,6-5,small&sparse-0,9.50-2.44,0,2-6,13.3
