userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1BZWNYN6GHJ76,0,4,2,pos,3-7,small&dense-0,4.49-19.42,0,3-4,25.694
A1BZWNYN6GHJ76,27,1,1,num,5,small&sparse,14.08,1,5,16.377
A1BZWNYN6GHJ76,12,4,0,pos,6,large&dense,28.59,1,6,35.652
A1BZWNYN6GHJ76,21,1,2,num,3,0,26.46,0,1,28.27
A1BZWNYN6GHJ76,29,3,1,num,4,small&sparse,8.18,1,4,9.983
A1BZWNYN6GHJ76,15,1,0,pos,7,small&sparse,20.32,1,7,22.817
A1BZWNYN6GHJ76,60,-1,2,center position,5,small&dense,2.88,1,5,4.147
A1BZWNYN6GHJ76,34,2,0,num,7,large&dense,11.10,0,5-7-6,60
A1BZWNYN6GHJ76,1,5,2,pos,2,small&sparse,7.78,1,2,9.519
A1BZWNYN6GHJ76,20,0,2,num,4-7,small&dense-large&dense,10.66-2.65,1,4-7,33.617
A1BZWNYN6GHJ76,7,5,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,4.14-3.24-5.65,1,5-3-7,14.449
A1BZWNYN6GHJ76,5,3,2,pos,0-3,large&dense-small&sparse,6.48-4.69,1,0-3,12.712
A1BZWNYN6GHJ76,10,2,1,pos,3-7,large&dense-small&dense,3.51-5.04,1,7-3,10.407
A1BZWNYN6GHJ76,13,5,0,pos,3-0-5,small&dense-large&sparse-large&dense,3.09-14.21-12.20,1,3-5-0,35.148
A1BZWNYN6GHJ76,14,0,0,pos,7-5-6,large&dense-large&dense-small&sparse,7.80-4.85-3.50,1,6-5-7,18.193
A1BZWNYN6GHJ76,32,-1,2,shape,4,large&dense,10.92,1,4,22.826
A1BZWNYN6GHJ76,22,2,2,num,0,large&sparse,18.41,0,0-7,60
A1BZWNYN6GHJ76,62,-1,2,center position,4,large&dense,5.66,1,4,7.545
A1BZWNYN6GHJ76,23,3,2,num,0-3-6,large&dense-small&sparse-large&dense,2.96-3.23-1.53,1,3-6-0,9.347
A1BZWNYN6GHJ76,17,3,0,pos,5-0,small&sparse-small&dense,5.16-5.92,1,0-5,12.754
A1BZWNYN6GHJ76,8,0,1,pos,,0,,0,1-6,60
A1BZWNYN6GHJ76,35,3,0,num,0-6,small&sparse-small&dense,10.13-5.97,0,6-5-0,60
A1BZWNYN6GHJ76,3,1,2,pos,7,small&sparse,5.63,1,7,6.964
A1BZWNYN6GHJ76,33,1,0,num,,0,,0,5,60
A1BZWNYN6GHJ76,9,1,1,pos,4,0,6.05,0,1,7.911
A1BZWNYN6GHJ76,4,2,2,pos,0-2-6,small&dense-small&dense-small&sparse,5.84-16.45-2.40,1,0-2-6,25.732
A1BZWNYN6GHJ76,3,-1,2,point number,1,large&dense,6.08,1,1,8.106
A1BZWNYN6GHJ76,6,4,1,pos,2,small&dense,8.62,1,2,9.934
A1BZWNYN6GHJ76,28,2,1,num,0-5,small&dense-small&sparse,5.10-23.32,0,0-2-5,60
A1BZWNYN6GHJ76,18,4,2,num,7-2-5,small&dense-small&dense-small&sparse,4.77-2.38-12.97,1,7-2-5,21.747
A1BZWNYN6GHJ76,11,3,1,pos,6-1-0,small&dense-small&dense-large&sparse,8.26-1.35-3.79,1,6-1-0,14.695
A1BZWNYN6GHJ76,30,4,0,num,5,small&dense,7.55,0,5-0,60
A1BZWNYN6GHJ76,19,5,2,num,3,small&dense,14.63,1,3,16.016
A1BZWNYN6GHJ76,25,5,1,num,0-1,large&sparse-small&sparse,7.15-10.76,1,1-0,19.233
A1BZWNYN6GHJ76,31,5,0,num,,0,,0,6-5,60
A1BZWNYN6GHJ76,32,0,0,num,7,small&sparse,14.51,1,7,16.719
A1BZWNYN6GHJ76,16,2,0,pos,0-1,small&dense-small&sparse,5.17-3.50,1,1-0,10.512
A1BZWNYN6GHJ76,2,0,2,pos,4-5-6,large&sparse-small&dense-small&sparse,5.00-9.83-5.32,1,5-4-6,22.237
A1BZWNYN6GHJ76,26,0,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.42-6.76-16.02,1,3-4-6,27.814
A1BZWNYN6GHJ76,24,4,1,num,2-6,small&dense-small&sparse,7.18-4.50,1,2-6,13.299
