userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A16XDO6MW9ZKMI,0,5,2,pos,3-4,small&dense-small&sparse,2.40-2.94,1,3-4,10.857
A16XDO6MW9ZKMI,27,2,1,num,5,small&sparse,25.13,1,5,25.795
A16XDO6MW9ZKMI,12,5,0,pos,6,large&dense,7.55,1,6,8.286
A16XDO6MW9ZKMI,21,2,2,num,1,small&sparse,5.79,1,1,6.325
A16XDO6MW9ZKMI,29,4,1,num,4,small&sparse,4.12,1,4,6.116
A16XDO6MW9ZKMI,15,2,0,pos,7,small&sparse,16.99,1,7,17.741
A16XDO6MW9ZKMI,60,-1,2,center position,5,small&dense,4.01,1,5,5.193
A16XDO6MW9ZKMI,34,3,0,num,6-7-5,small&sparse-large&dense-large&dense,45.51-4.02-3.53,1,5-7-6,54.449
A16XDO6MW9ZKMI,1,0,2,pos,2,small&sparse,7.05,1,2,7.995
A16XDO6MW9ZKMI,20,1,2,num,7-4,large&dense-small&dense,2.84-4.74,1,4-7,8.822
A16XDO6MW9ZKMI,7,0,1,pos,3-5-7,large&sparse-small&sparse-small&sparse,2.70-4.35-6.51,1,5-3-7,14.254
A16XDO6MW9ZKMI,5,4,2,pos,0-3,large&dense-small&sparse,2.76-2.55,1,0-3,5.898
A16XDO6MW9ZKMI,10,3,1,pos,7-3,small&dense-large&dense,2.15-2.62,1,7-3,5.304
A16XDO6MW9ZKMI,13,0,0,pos,3-0-5,small&dense-large&sparse-large&dense,7.34-5.56-3.55,1,3-5-0,17.351
A16XDO6MW9ZKMI,14,1,0,pos,5-2-0,large&dense-0-0,5.94-7.27-0.27,0,6-5-7,15.433
A16XDO6MW9ZKMI,32,-1,2,shape,4,large&dense,3.46,1,4,4.166
A16XDO6MW9ZKMI,22,3,2,num,7-0,small&sparse-large&sparse,5.81-17.46,1,0-7,24.512
A16XDO6MW9ZKMI,62,-1,2,center position,4,large&dense,3.67,1,4,4.921
A16XDO6MW9ZKMI,23,4,2,num,0-6-3,large&dense-large&dense-small&sparse,2.90-1.77-1.94,1,3-6-0,7.757
A16XDO6MW9ZKMI,17,4,0,pos,2-5,0-small&sparse,8.50-8.25,0,0-5,17.357
A16XDO6MW9ZKMI,8,1,1,pos,1-6,large&dense-large&sparse,2.54-14.45,1,1-6,17.579
A16XDO6MW9ZKMI,35,4,0,num,6,small&dense,19.08,0,6-5-0,60
A16XDO6MW9ZKMI,3,2,2,pos,7,small&sparse,6.38,1,7,6.945
A16XDO6MW9ZKMI,33,2,0,num,7,0,6.44,0,5,7.035
A16XDO6MW9ZKMI,9,2,1,pos,1,small&dense,21.87,1,1,22.837
A16XDO6MW9ZKMI,4,3,2,pos,0-6-2,small&dense-small&sparse-small&dense,1.97-3.89-3.03,1,0-2-6,9.708
A16XDO6MW9ZKMI,3,-1,2,point number,1,large&dense,10.95,1,1,11.483
A16XDO6MW9ZKMI,6,5,1,pos,2,small&dense,1.78,1,2,2.392
A16XDO6MW9ZKMI,28,3,1,num,0-2-5,small&dense-small&sparse-small&sparse,3.57-19.52-2.95,1,0-2-5,26.514
A16XDO6MW9ZKMI,28,3,1,num,0-2-5,small&dense-small&sparse-small&sparse,3.57-19.52-2.95,1,0-2-5,26.836
A16XDO6MW9ZKMI,18,5,2,num,7-2-5,small&dense-small&dense-small&sparse,2.14-2.47-2.38,1,7-2-5,7.652
A16XDO6MW9ZKMI,11,4,1,pos,0-6-1,large&sparse-small&dense-small&dense,2.90-2.22-2.52,1,6-1-0,8.264
A16XDO6MW9ZKMI,30,5,0,num,0-5,small&dense-small&dense,15.58-4.81,1,5-0,21
A16XDO6MW9ZKMI,19,0,2,num,3,small&dense,8.44,1,3,9.225
A16XDO6MW9ZKMI,25,0,1,num,0-5,large&sparse-0,8.50-4.88,0,1-0,14.044
A16XDO6MW9ZKMI,31,0,0,num,5-6,large&dense-large&sparse,4.35-11.62,1,6-5,16.708
A16XDO6MW9ZKMI,32,1,0,num,7,small&sparse,12.05,1,7,12.773
A16XDO6MW9ZKMI,16,3,0,pos,0-1,small&dense-small&sparse,1.71-7.88,1,1-0,10.148
A16XDO6MW9ZKMI,2,1,2,pos,6-5-4,small&sparse-small&dense-large&sparse,2.81-2.10-5.87,1,5-4-6,20.33
A16XDO6MW9ZKMI,26,1,1,num,3-4-6,small&sparse-small&dense-large&sparse,3.00-3.28-15.66,1,3-4-6,22.875
A16XDO6MW9ZKMI,24,5,1,num,2-6,small&dense-small&sparse,2.71-1.85,1,2-6,17.541
