userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1MF8IRLW6YRF7,0,5,2,pos,6-4,0-small&sparse,7.38-3.78,0,3-4,12.86
A1MF8IRLW6YRF7,27,2,1,num,5,small&sparse,15.10,1,5,16.179
A1MF8IRLW6YRF7,12,5,0,pos,6,large&dense,6.96,1,6,7.78
A1MF8IRLW6YRF7,21,2,2,num,1,small&sparse,18.09,1,1,19.401
A1MF8IRLW6YRF7,29,4,1,num,4,small&sparse,11.46,1,4,12.251
A1MF8IRLW6YRF7,15,2,0,pos,4,0,14.66,0,7,15.659
A1MF8IRLW6YRF7,60,-1,2,center position,5,small&dense,4.28,1,5,5.172
A1MF8IRLW6YRF7,34,3,0,num,,0,,0,5-7-6,60
A1MF8IRLW6YRF7,1,0,2,pos,2,small&sparse,3.93,1,2,4.689
A1MF8IRLW6YRF7,20,1,2,num,4-5,small&dense-0,9.57-8.57,0,4-7,19.227
A1MF8IRLW6YRF7,7,0,1,pos,3-7-5,large&sparse-small&sparse-small&sparse,5.97-3.68-1.63,1,5-3-7,15.23
A1MF8IRLW6YRF7,5,4,2,pos,3-0,small&sparse-large&dense,4.85-2.80,1,0-3,8.458
A1MF8IRLW6YRF7,10,3,1,pos,4-7,0-small&dense,3.77-2.96,0,7-3,7.529
A1MF8IRLW6YRF7,13,0,0,pos,0-7-3,large&sparse-0-small&dense,3.65-4.70-11.01,0,3-5-0,24.091
A1MF8IRLW6YRF7,14,1,0,pos,1-6-5,0-small&sparse-large&dense,8.13-5.23-7.60,0,6-5-7,21.816
A1MF8IRLW6YRF7,32,-1,2,shape,4,large&dense,5.02,1,4,5.662
A1MF8IRLW6YRF7,22,3,2,num,7-0,small&sparse-large&sparse,6.09-5.76,1,0-7,12.528
A1MF8IRLW6YRF7,62,-1,2,center position,2,0,1.93,0,4,2.522
A1MF8IRLW6YRF7,23,4,2,num,0-6-7,large&dense-large&dense-0,3.63-2.85-6.33,0,3-6-0,13.578
A1MF8IRLW6YRF7,17,4,0,pos,0-1,small&dense-0,5.53-10.99,0,0-5,17.254
A1MF8IRLW6YRF7,8,1,1,pos,1-7,large&dense-0,2.64-10.79,0,1-6,14.3
A1MF8IRLW6YRF7,35,4,0,num,4-3-1,0-0-0,18.12-3.40-5.29,0,6-5-0,28.263
A1MF8IRLW6YRF7,3,2,2,pos,7,small&sparse,2.95,1,7,3.765
A1MF8IRLW6YRF7,33,2,0,num,1,0,14.21,0,5,15.888
A1MF8IRLW6YRF7,9,2,1,pos,1,small&dense,5.21,1,1,6.141
A1MF8IRLW6YRF7,4,3,2,pos,2-6-0,small&dense-small&sparse-small&dense,1.91-2.20-3.25,1,0-2-6,8.056
A1MF8IRLW6YRF7,3,-1,2,point number,1,large&dense,6.19,1,1,7.17
A1MF8IRLW6YRF7,6,5,1,pos,2,small&dense,3.58,1,2,4.248
A1MF8IRLW6YRF7,28,3,1,num,2-0-5,small&sparse-small&dense-small&sparse,7.58-0.96-12.59,1,0-2-5,21.915
A1MF8IRLW6YRF7,18,5,2,num,5-2-7,small&sparse-small&dense-small&dense,3.63-2.54-1.17,1,7-2-5,8.015
A1MF8IRLW6YRF7,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,4.50-2.89-5.45,1,6-1-0,13.568
A1MF8IRLW6YRF7,30,5,0,num,5-7,small&dense-0,6.16-8.61,0,5-0,16.123
A1MF8IRLW6YRF7,19,0,2,num,3,small&dense,16.77,1,3,17.408
A1MF8IRLW6YRF7,25,0,1,num,0-5,large&sparse-0,4.89-11.68,0,1-0,17.331
A1MF8IRLW6YRF7,31,0,0,num,4-2,0-0,7.37-9.22,0,6-5,17.414
A1MF8IRLW6YRF7,32,1,0,num,7,small&sparse,27.03,1,7,27.756
A1MF8IRLW6YRF7,16,3,0,pos,0-1,small&dense-small&sparse,1.74-2.67,1,1-0,7.267
A1MF8IRLW6YRF7,2,1,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.45-2.15-9.02,1,5-4-6,17.563
A1MF8IRLW6YRF7,26,1,1,num,4-3-2,small&dense-small&sparse-0,2.18-10.72-11.55,0,3-4-6,37.63
A1MF8IRLW6YRF7,24,5,1,num,6-2,small&sparse-small&dense,9.67-1.53,1,2-6,11.854
