userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AF5X0GS83NA5P,0,5,2,pos,3-4,small&dense-small&sparse,8.24-8.41,1,3-4,19.258
AF5X0GS83NA5P,27,2,1,num,,0,,0,5,60
AF5X0GS83NA5P,12,5,0,pos,6,large&dense,7.81,1,6,10.096
AF5X0GS83NA5P,21,2,2,num,1,small&sparse,15.04,1,1,16.604
AF5X0GS83NA5P,29,4,1,num,1,0,23.05,0,4,25.454
AF5X0GS83NA5P,15,2,0,pos,4,0,34.13,0,7,37.543
AF5X0GS83NA5P,60,-1,2,center position,5,small&dense,2.56,1,5,4.01
AF5X0GS83NA5P,34,3,0,num,7-4-5,large&dense-0-large&dense,22.84-11.33-2.38,0,5-7-6,60
AF5X0GS83NA5P,1,0,2,pos,2,small&sparse,8.05,1,2,9.675
AF5X0GS83NA5P,20,1,2,num,4-7,small&dense-large&dense,16.60-10.00,1,4-7,29.166
AF5X0GS83NA5P,7,0,1,pos,3-7-6,large&sparse-small&sparse-0,7.05-11.93-7.93,0,5-3-7,29.83
AF5X0GS83NA5P,5,4,2,pos,0-3,large&dense-small&sparse,2.94-7.18,1,0-3,11.669
AF5X0GS83NA5P,10,3,1,pos,7-3,small&dense-large&dense,3.20-2.85,1,7-3,8.436
AF5X0GS83NA5P,13,0,0,pos,0-3-5,large&sparse-small&dense-large&dense,4.01-4.62-8.61,1,3-5-0,19.466
AF5X0GS83NA5P,14,1,0,pos,5-1-7,large&dense-0-large&dense,6.12-11.60-0.84,0,6-5-7,20.41
AF5X0GS83NA5P,32,-1,2,shape,4,large&dense,4.50,1,4,6.427
AF5X0GS83NA5P,22,3,2,num,0-3,large&sparse-0,10.04-22.42,0,0-7,34.643
AF5X0GS83NA5P,62,-1,2,center position,4,large&dense,2.98,1,4,6.319
AF5X0GS83NA5P,23,4,2,num,6-0-5,large&dense-large&dense-0,5.78-3.63-5.20,0,3-6-0,17.166
AF5X0GS83NA5P,17,4,0,pos,3-5,0-small&sparse,4.81-20.49,0,0-5,27.167
AF5X0GS83NA5P,8,1,1,pos,3-1,0-large&dense,6.73-7.21,0,1-6,15.513
AF5X0GS83NA5P,35,4,0,num,5-3-4,large&sparse-0-0,9.24-6.85-3.00,0,6-5-0,20.738
AF5X0GS83NA5P,3,2,2,pos,7,small&sparse,5.44,1,7,6.965
AF5X0GS83NA5P,33,2,0,num,5,small&sparse,28.08,1,5,30.746
AF5X0GS83NA5P,9,2,1,pos,1,small&dense,6.39,1,1,8.292
AF5X0GS83NA5P,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.66-3.70-3.10,1,0-2-6,10.796
AF5X0GS83NA5P,3,-1,2,point number,1,large&dense,14.42,1,1,15.806
AF5X0GS83NA5P,6,5,1,pos,2,small&dense,3.53,1,2,5.728
AF5X0GS83NA5P,28,3,1,num,5-6-0,small&sparse-0-small&dense,20.46-4.54-4.08,0,0-2-5,30.982
AF5X0GS83NA5P,18,5,2,num,7-5-1,small&dense-small&sparse-0,5.59-6.59-19.05,0,7-2-5,37.721
AF5X0GS83NA5P,11,4,1,pos,6-0-7,small&dense-large&sparse-0,4.62-3.16-5.31,0,6-1-0,14.75
AF5X0GS83NA5P,30,5,0,num,5-2,small&dense-0,7.29-18.64,0,5-0,27.759
AF5X0GS83NA5P,19,0,2,num,3,small&dense,7.66,1,3,9.863
AF5X0GS83NA5P,25,0,1,num,1-6,small&sparse-0,13.70-8.60,0,1-0,25.306
AF5X0GS83NA5P,31,0,0,num,3-5,0-large&dense,11.46-6.61,0,6-5,20.177
AF5X0GS83NA5P,32,1,0,num,4,0,25.42,0,7,27.166
AF5X0GS83NA5P,16,3,0,pos,0-1,small&dense-small&sparse,3.34-5.95,1,1-0,11.025
AF5X0GS83NA5P,2,1,2,pos,5-4-6,small&dense-large&sparse-small&sparse,3.24-5.22-8.07,1,5-4-6,18.245
AF5X0GS83NA5P,26,1,1,num,4-5-6,small&dense-0-large&sparse,2.76-22.03-2.96,0,3-4-6,28.735
AF5X0GS83NA5P,24,5,1,num,2-1,small&dense-0,13.31-2.91,0,2-6,18.145
