workerId,age,gender,degree,screenSize,familiar,comment,code,endTime
A12TFFS6M9TOVF,25-39,Male,High School,unsure,4,,0VT3pci2,2021/8/15 17:45
A1I72NHC21347A,50-59,Female,Other,15,1,na,638V95q0,2021/8/15 22:24
A20X6V1AAXZGNZ,25-39,Male,High School,23 or larger,4,n/a,67k40W91,2021/8/15 20:44
A222GZB608T1B8,18-25,Female,High School,13,1,More analogous.,l93Virk0,2021/8/15 23:47
A248QG4DPULP46,60+,Female,Bachelors,17,1,,514EHI0y,2021/8/15 20:37
A28REIMVLGRV8Z,25-39,Male,Bachelors,15,7,NO,lsj4E0m2,2021/8/16 2:04
A2HNNUPEOHS3PU,25-39,Male,Masters,15,6,good,T8au0dcV,2021/8/15 19:07
A2KQ8WXQZKBAAK,25-39,Female,Masters,21,6,very interesting,4Oc36189,2021/8/15 17:10
A2ML0070M8FDK1,60+,Female,High School,19,3,no,41fLbn3q,2021/8/15 20:02
A2YC6PEMIRSOAA,25-39,Female,High School,unsure,4,,Apgfwzd9,2021/8/15 19:35
A33YP3TX7XS3LJ,25-39,Male,Bachelors,13,6,Good,JD41NMKd,2021/8/16 11:41
A3QOMMIZTW0XF1,25-39,Male,High School,17,5,,Y2Z9VBf3,2021/8/15 20:27
A5ILXLVXSJRG1,25-39,Female,Bachelors,19,6,good job.,15J34a82,2021/8/16 1:16
A6210XH3H6I9H,25-39,Male,Bachelors,23 or larger,7,,0518o6I7,2021/8/15 23:03
A8V0L2YF8U6OX,25-39,Female,Bachelors,13,6,,4S38975i,2021/8/15 17:53
ABG76D6AQL5I9,40-49,Female,Masters,21,5,,IX5wD380,2021/8/15 18:21
AEUD4STM0TYB,25-39,Male,Bachelors,23 or larger,2,,zMW087X4,2021/8/15 17:02
AXPZAP62ZYWP8,18-25,Male,High School,23 or larger,4,some were very hard to find changes,408762lU,2021/8/15 20:31
A18IBIG55GUNMH,40-49,Male,Bachelors,15,4,Good,0518o6I7,2021/8/16 0:42
A19VDBNACNJNI8,25-39,Female,Bachelors,19,7,Interesting study,9WfVobYN,2021/8/15 21:49
A1FR4S8V4MNRVM,40-49,Male,Bachelors,17,6,GOOD,lsj4E0m2,2021/8/16 3:12
A1MT1ZJR1CK533,18-25,Female,Bachelors,unsure,6,This study was very interesting for me.,4S38975i,2021/8/15 18:14
A1V2H0UF94ATWY ,60+,Male,High School,21,5,na,0VT3pci2,2021/8/15 18:06
A1WJ54G7U8B57Y,18-25,Male,Bachelors,17,6,Good task,41fLbn3q,2021/8/15 19:27
A20N1NK5X5S88F,25-39,Male,High School,9 or smaller,1,,638V95q0,2021/8/15 23:50
A25LYN8G21HJ6I,25-39,Female,Bachelors,19,5,GOOD,5S93648j,2021/8/15 17:59
A29TYWLSCO5N79,25-39,Female,Masters,15,7,It Is a Interesting Study.,042561uF,2021/8/16 21:50
A2AKJ3UD69QC5K,25-39,Male,Masters,15,6,good,Apgfwzd9,2021/8/15 18:51
A2WV4ZZCI7982H,25-39,Male,Bachelors,15,6,It was interesting. ,408762lU,2021/8/15 20:39
A37P8UZ3SAKM7A,50-59,Male,High School,15,4,,5nz70B32,2021/8/15 22:04
A38OPVI04AH4JG,50-59,Male,Bachelors,23 or larger,5,,Y2Z9VBf3,2021/8/15 20:24
A3AFSO30171MWZ,25-39,Male,Bachelors,13,6,Good Experience Learn lot of things,IX5wD380,2021/8/15 18:42
A8GT8ZT5D5YCB,25-39,Female,Bachelors,23 or larger,4,none,JD41NMKd,2021/8/16 11:51
AS1ZGA84IM7JD,50-59,Male,Bachelors,15,5,,67k40W91,2021/8/15 21:48
AZOPG1HK86PCF,18-25,Male,Bachelors,17,4,very good,l93Virk0,2021/8/16 1:07
A15C7X9O8DJ3ER,25-39,Male,Masters,21,5,very interesting study.,514EHI0y,2021/8/15 23:44
