userName,conditionId,testId,titer,userResult
A1NLJ1L4VCQYV2,0,0,0.50,0
A1NLJ1L4VCQYV2,0,2,0.75,0
A1NLJ1L4VCQYV2,0,3,0.75,0
A1NLJ1L4VCQYV2,0,4,0.75,0
A1NLJ1L4VCQYV2,0,5,0.75,1
A1NLJ1L4VCQYV2,0,6,0.65,0
A1NLJ1L4VCQYV2,0,7,0.75,0
A1NLJ1L4VCQYV2,0,8,0.75,1
A1NLJ1L4VCQYV2,0,9,0.65,0
A1NLJ1L4VCQYV2,0,10,0.75,1
A1NLJ1L4VCQYV2,0,11,0.65,1
A1NLJ1L4VCQYV2,0,12,0.55,1
A1NLJ1L4VCQYV2,0,13,0.45,0
A1NLJ1L4VCQYV2,0,14,0.75,1
A1NLJ1L4VCQYV2,0,15,0.65,1
A1NLJ1L4VCQYV2,0,16,0.55,0
A1NLJ1L4VCQYV2,0,17,0.75,0
A1NLJ1L4VCQYV2,0,18,0.75,0
A1NLJ1L4VCQYV2,0,19,0.75,1
A1NLJ1L4VCQYV2,1,0,0.50,0
A1NLJ1L4VCQYV2,1,1,0.75,1
A1NLJ1L4VCQYV2,1,2,0.65,1
A1NLJ1L4VCQYV2,1,3,0.55,1
A1NLJ1L4VCQYV2,1,4,0.45,0
A1NLJ1L4VCQYV2,1,5,0.75,0
A1NLJ1L4VCQYV2,1,6,0.75,0
A1NLJ1L4VCQYV2,1,7,0.75,0
A1NLJ1L4VCQYV2,1,8,0.75,1
A1NLJ1L4VCQYV2,1,9,0.65,0
A1NLJ1L4VCQYV2,1,10,0.75,0
A1NLJ1L4VCQYV2,1,11,0.75,0
A1NLJ1L4VCQYV2,1,12,0.75,1
A1NLJ1L4VCQYV2,1,13,0.65,0
A1NLJ1L4VCQYV2,1,14,0.75,0
A1NLJ1L4VCQYV2,1,15,0.75,0
A1NLJ1L4VCQYV2,1,16,0.75,0
A1NLJ1L4VCQYV2,1,17,0.75,0
A1NLJ1L4VCQYV2,1,18,0.75,0
A1NLJ1L4VCQYV2,1,19,0.75,0
A1NLJ1L4VCQYV2,2,0,0.50,0
A1NLJ1L4VCQYV2,2,1,0.75,1
A1NLJ1L4VCQYV2,2,2,0.65,1
A1NLJ1L4VCQYV2,2,3,0.55,1
A1NLJ1L4VCQYV2,2,4,0.45,0
A1NLJ1L4VCQYV2,2,5,0.75,1
A1NLJ1L4VCQYV2,2,6,0.65,1
A1NLJ1L4VCQYV2,2,7,0.55,1
A1NLJ1L4VCQYV2,2,8,0.45,1
A1NLJ1L4VCQYV2,2,9,0.35,1
A1NLJ1L4VCQYV2,2,10,0.25,0
A1NLJ1L4VCQYV2,2,11,0.55,1
A1NLJ1L4VCQYV2,2,12,0.45,1
A1NLJ1L4VCQYV2,2,13,0.35,1
A1NLJ1L4VCQYV2,2,14,0.25,0
A1NLJ1L4VCQYV2,2,15,0.55,1
A1NLJ1L4VCQYV2,2,16,0.45,0
A1NLJ1L4VCQYV2,2,17,0.75,1
A1NLJ1L4VCQYV2,2,18,0.65,1
A1NLJ1L4VCQYV2,2,19,0.55,1
A1NLJ1L4VCQYV2,3,0,0.50,1
A1NLJ1L4VCQYV2,3,1,0.40,1
A1NLJ1L4VCQYV2,3,2,0.30,0
A1NLJ1L4VCQYV2,3,3,0.60,1
A1NLJ1L4VCQYV2,3,4,0.50,1
A1NLJ1L4VCQYV2,3,5,0.40,1
A1NLJ1L4VCQYV2,3,6,0.30,1
A1NLJ1L4VCQYV2,3,7,0.20,1
A1NLJ1L4VCQYV2,3,8,0.10,1
A1NLJ1L4VCQYV2,3,9,0.10,0
A1NLJ1L4VCQYV2,3,10,0.40,0
A1NLJ1L4VCQYV2,3,11,0.70,1
A1NLJ1L4VCQYV2,3,12,0.60,1
A1NLJ1L4VCQYV2,3,13,0.50,1
A1NLJ1L4VCQYV2,3,14,0.40,1
A1NLJ1L4VCQYV2,3,15,0.30,1
A1NLJ1L4VCQYV2,3,16,0.20,1
A1NLJ1L4VCQYV2,3,17,0.10,1
A1NLJ1L4VCQYV2,3,18,0.10,1
A1NLJ1L4VCQYV2,3,19,0.10,1
A1NLJ1L4VCQYV2,4,0,0.50,0
A1NLJ1L4VCQYV2,4,1,0.75,0
A1NLJ1L4VCQYV2,4,2,0.75,0
A1NLJ1L4VCQYV2,4,3,0.75,0
A1NLJ1L4VCQYV2,4,4,0.75,0
A1NLJ1L4VCQYV2,4,5,0.75,1
A1NLJ1L4VCQYV2,4,6,0.65,0
A1NLJ1L4VCQYV2,4,7,0.75,1
A1NLJ1L4VCQYV2,4,8,0.65,1
A1NLJ1L4VCQYV2,0,1,0.75,0
A1NLJ1L4VCQYV2,4,10,0.45,0
A1NLJ1L4VCQYV2,4,9,0.55,1
A1NLJ1L4VCQYV2,4,11,0.75,0
A1NLJ1L4VCQYV2,4,12,0.75,1
A1NLJ1L4VCQYV2,4,13,0.65,1
A1NLJ1L4VCQYV2,4,14,0.55,1
