userName,conditionId,testId,titer,userResult
A25BKQDK3GNQ8I,0,1,0.40,1
A25BKQDK3GNQ8I,0,0,0.50,1
A25BKQDK3GNQ8I,0,3,0.20,1
A25BKQDK3GNQ8I,0,2,0.30,1
A25BKQDK3GNQ8I,0,5,0.10,1
A25BKQDK3GNQ8I,0,6,0.10,1
A25BKQDK3GNQ8I,0,7,0.10,1
A25BKQDK3GNQ8I,0,8,0.10,1
A25BKQDK3GNQ8I,0,9,0.10,1
A25BKQDK3GNQ8I,0,10,0.10,1
A25BKQDK3GNQ8I,0,11,0.10,1
A25BKQDK3GNQ8I,0,12,0.10,0
A25BKQDK3GNQ8I,0,13,0.40,1
A25BKQDK3GNQ8I,0,14,0.30,1
A25BKQDK3GNQ8I,0,15,0.20,1
A25BKQDK3GNQ8I,0,16,0.10,1
A25BKQDK3GNQ8I,0,17,0.10,1
A25BKQDK3GNQ8I,0,18,0.10,1
A25BKQDK3GNQ8I,0,19,0.10,1
A25BKQDK3GNQ8I,1,0,0.50,1
A25BKQDK3GNQ8I,1,1,0.40,1
A25BKQDK3GNQ8I,1,2,0.30,1
A25BKQDK3GNQ8I,1,3,0.20,1
A25BKQDK3GNQ8I,1,4,0.10,1
A25BKQDK3GNQ8I,1,5,0.10,1
A25BKQDK3GNQ8I,1,6,0.10,1
A25BKQDK3GNQ8I,1,7,0.10,0
A25BKQDK3GNQ8I,1,8,0.40,1
A25BKQDK3GNQ8I,1,9,0.30,1
A25BKQDK3GNQ8I,1,10,0.20,1
A25BKQDK3GNQ8I,1,11,0.10,0
A25BKQDK3GNQ8I,1,12,0.40,0
A25BKQDK3GNQ8I,1,13,0.70,1
A25BKQDK3GNQ8I,1,14,0.60,1
A25BKQDK3GNQ8I,1,15,0.50,1
A25BKQDK3GNQ8I,1,16,0.40,0
A25BKQDK3GNQ8I,1,17,0.70,1
A25BKQDK3GNQ8I,1,18,0.60,1
A25BKQDK3GNQ8I,1,19,0.50,1
A25BKQDK3GNQ8I,2,0,0.50,1
A25BKQDK3GNQ8I,2,1,0.40,1
A25BKQDK3GNQ8I,2,2,0.30,1
A25BKQDK3GNQ8I,2,3,0.20,1
A25BKQDK3GNQ8I,2,4,0.10,1
A25BKQDK3GNQ8I,2,5,0.10,0
A25BKQDK3GNQ8I,2,6,0.40,1
A25BKQDK3GNQ8I,2,7,0.30,1
A25BKQDK3GNQ8I,2,8,0.20,1
A25BKQDK3GNQ8I,2,9,0.10,0
A25BKQDK3GNQ8I,2,10,0.40,1
A25BKQDK3GNQ8I,2,11,0.30,1
A25BKQDK3GNQ8I,2,12,0.20,0
A25BKQDK3GNQ8I,2,13,0.50,1
A25BKQDK3GNQ8I,2,14,0.40,1
A25BKQDK3GNQ8I,2,15,0.30,1
A25BKQDK3GNQ8I,2,16,0.20,1
A25BKQDK3GNQ8I,2,17,0.10,1
A25BKQDK3GNQ8I,2,18,0.10,1
A25BKQDK3GNQ8I,2,19,0.10,0
A25BKQDK3GNQ8I,3,0,0.50,1
A25BKQDK3GNQ8I,3,1,0.40,0
A25BKQDK3GNQ8I,3,2,0.70,0
A25BKQDK3GNQ8I,3,3,0.75,1
A25BKQDK3GNQ8I,3,4,0.65,1
A25BKQDK3GNQ8I,3,5,0.55,0
A25BKQDK3GNQ8I,3,6,0.75,1
A25BKQDK3GNQ8I,3,7,0.65,1
A25BKQDK3GNQ8I,3,8,0.55,1
A25BKQDK3GNQ8I,3,9,0.45,1
A25BKQDK3GNQ8I,3,10,0.35,1
A25BKQDK3GNQ8I,3,11,0.25,1
A25BKQDK3GNQ8I,3,12,0.15,0
A25BKQDK3GNQ8I,3,13,0.45,1
A25BKQDK3GNQ8I,3,14,0.35,1
A25BKQDK3GNQ8I,3,15,0.25,1
A25BKQDK3GNQ8I,3,16,0.15,1
A25BKQDK3GNQ8I,3,17,0.10,1
A25BKQDK3GNQ8I,3,18,0.10,1
A25BKQDK3GNQ8I,3,19,0.10,1
A25BKQDK3GNQ8I,4,0,0.50,1
A25BKQDK3GNQ8I,4,1,0.40,0
A25BKQDK3GNQ8I,4,2,0.70,1
A25BKQDK3GNQ8I,4,3,0.60,1
A25BKQDK3GNQ8I,4,4,0.50,1
A25BKQDK3GNQ8I,4,5,0.40,1
A25BKQDK3GNQ8I,4,6,0.30,1
A25BKQDK3GNQ8I,4,7,0.20,1
A25BKQDK3GNQ8I,4,8,0.10,1
A25BKQDK3GNQ8I,4,9,0.10,0
A25BKQDK3GNQ8I,4,10,0.40,0
A25BKQDK3GNQ8I,4,11,0.70,1
A25BKQDK3GNQ8I,4,12,0.60,1
A25BKQDK3GNQ8I,4,13,0.50,1
A25BKQDK3GNQ8I,4,14,0.40,0
A25BKQDK3GNQ8I,4,15,0.70,1
A25BKQDK3GNQ8I,4,16,0.60,0
A25BKQDK3GNQ8I,4,17,0.75,1
A25BKQDK3GNQ8I,4,18,0.65,0
A25BKQDK3GNQ8I,4,19,0.75,0
A25BKQDK3GNQ8I,5,0,0.50,0
A25BKQDK3GNQ8I,5,1,0.75,0
A25BKQDK3GNQ8I,5,2,0.75,1
A25BKQDK3GNQ8I,5,3,0.65,1
A25BKQDK3GNQ8I,5,4,0.55,1
A25BKQDK3GNQ8I,5,5,0.45,1
A25BKQDK3GNQ8I,5,6,0.35,1
A25BKQDK3GNQ8I,5,7,0.25,1
A25BKQDK3GNQ8I,5,8,0.15,1
A25BKQDK3GNQ8I,5,9,0.10,0
A25BKQDK3GNQ8I,5,10,0.40,1
A25BKQDK3GNQ8I,5,11,0.30,1
A25BKQDK3GNQ8I,5,12,0.20,1
A25BKQDK3GNQ8I,5,13,0.10,1
A25BKQDK3GNQ8I,0,4,0.10,1
A25BKQDK3GNQ8I,5,14,0.10,1
A25BKQDK3GNQ8I,5,15,0.10,1
A25BKQDK3GNQ8I,5,16,0.10,1
A25BKQDK3GNQ8I,5,17,0.10,1
A25BKQDK3GNQ8I,5,18,0.10,1
A25BKQDK3GNQ8I,5,19,0.10,1
