userName,conditionId,testId,titer,userResult
A2WVCXVSE0YGML,0,1,0.75,1
A2WVCXVSE0YGML,0,0,0.50,0
A2WVCXVSE0YGML,0,2,0.65,1
A2WVCXVSE0YGML,0,3,0.55,0
A2WVCXVSE0YGML,0,4,0.75,1
A2WVCXVSE0YGML,0,5,0.65,0
A2WVCXVSE0YGML,0,6,0.75,1
A2WVCXVSE0YGML,0,7,0.65,0
A2WVCXVSE0YGML,0,8,0.75,1
A2WVCXVSE0YGML,0,9,0.65,1
A2WVCXVSE0YGML,0,10,0.55,0
A2WVCXVSE0YGML,0,11,0.75,1
A2WVCXVSE0YGML,0,12,0.65,0
A2WVCXVSE0YGML,0,13,0.75,1
A2WVCXVSE0YGML,0,14,0.65,0
A2WVCXVSE0YGML,0,15,0.75,1
A2WVCXVSE0YGML,0,16,0.65,0
A2WVCXVSE0YGML,0,17,0.75,0
A2WVCXVSE0YGML,0,18,0.75,1
A2WVCXVSE0YGML,0,19,0.65,0
A2WVCXVSE0YGML,1,0,0.50,1
A2WVCXVSE0YGML,1,1,0.40,0
A2WVCXVSE0YGML,1,2,0.70,0
A2WVCXVSE0YGML,1,3,0.75,1
A2WVCXVSE0YGML,1,4,0.65,1
A2WVCXVSE0YGML,1,5,0.55,1
A2WVCXVSE0YGML,1,6,0.45,1
A2WVCXVSE0YGML,1,7,0.35,0
A2WVCXVSE0YGML,1,8,0.65,1
A2WVCXVSE0YGML,1,9,0.55,1
A2WVCXVSE0YGML,1,10,0.45,0
A2WVCXVSE0YGML,1,11,0.75,1
A2WVCXVSE0YGML,1,12,0.65,1
A2WVCXVSE0YGML,1,13,0.55,0
A2WVCXVSE0YGML,1,14,0.75,1
A2WVCXVSE0YGML,1,15,0.65,0
A2WVCXVSE0YGML,1,16,0.75,1
A2WVCXVSE0YGML,1,17,0.65,1
A2WVCXVSE0YGML,1,18,0.55,1
A2WVCXVSE0YGML,1,19,0.45,1
A2WVCXVSE0YGML,2,0,0.50,1
A2WVCXVSE0YGML,2,1,0.40,1
A2WVCXVSE0YGML,2,2,0.30,1
A2WVCXVSE0YGML,2,3,0.20,0
A2WVCXVSE0YGML,2,4,0.50,1
A2WVCXVSE0YGML,2,5,0.40,1
A2WVCXVSE0YGML,2,6,0.30,1
A2WVCXVSE0YGML,2,7,0.20,0
A2WVCXVSE0YGML,2,8,0.50,0
A2WVCXVSE0YGML,2,9,0.75,1
A2WVCXVSE0YGML,2,10,0.65,1
A2WVCXVSE0YGML,2,11,0.55,1
A2WVCXVSE0YGML,2,12,0.45,1
A2WVCXVSE0YGML,2,13,0.35,1
A2WVCXVSE0YGML,2,14,0.25,1
A2WVCXVSE0YGML,2,15,0.15,1
A2WVCXVSE0YGML,2,16,0.10,0
A2WVCXVSE0YGML,2,17,0.40,1
A2WVCXVSE0YGML,2,18,0.30,1
A2WVCXVSE0YGML,2,19,0.20,0
A2WVCXVSE0YGML,3,0,0.50,1
A2WVCXVSE0YGML,3,1,0.40,1
A2WVCXVSE0YGML,3,2,0.30,1
A2WVCXVSE0YGML,3,3,0.20,1
A2WVCXVSE0YGML,3,4,0.10,1
A2WVCXVSE0YGML,3,5,0.10,0
A2WVCXVSE0YGML,3,6,0.40,1
A2WVCXVSE0YGML,3,7,0.30,1
A2WVCXVSE0YGML,3,8,0.20,1
A2WVCXVSE0YGML,3,9,0.10,1
A2WVCXVSE0YGML,3,10,0.10,1
A2WVCXVSE0YGML,3,11,0.10,0
A2WVCXVSE0YGML,3,12,0.40,1
A2WVCXVSE0YGML,3,13,0.30,1
A2WVCXVSE0YGML,3,14,0.20,1
A2WVCXVSE0YGML,3,15,0.10,1
A2WVCXVSE0YGML,3,16,0.10,1
A2WVCXVSE0YGML,3,17,0.10,1
A2WVCXVSE0YGML,3,18,0.10,1
A2WVCXVSE0YGML,3,19,0.10,1
A2WVCXVSE0YGML,4,0,0.50,1
A2WVCXVSE0YGML,4,1,0.40,1
A2WVCXVSE0YGML,4,2,0.30,1
A2WVCXVSE0YGML,4,3,0.20,0
A2WVCXVSE0YGML,4,4,0.50,1
A2WVCXVSE0YGML,4,5,0.40,0
A2WVCXVSE0YGML,4,6,0.70,1
A2WVCXVSE0YGML,4,7,0.60,0
A2WVCXVSE0YGML,4,8,0.75,1
A2WVCXVSE0YGML,4,9,0.65,0
A2WVCXVSE0YGML,4,10,0.75,0
A2WVCXVSE0YGML,4,11,0.75,1
A2WVCXVSE0YGML,4,12,0.65,0
A2WVCXVSE0YGML,4,13,0.75,1
A2WVCXVSE0YGML,4,14,0.65,1
A2WVCXVSE0YGML,4,15,0.55,1
A2WVCXVSE0YGML,4,16,0.45,1
A2WVCXVSE0YGML,4,17,0.35,0
A2WVCXVSE0YGML,4,18,0.65,0
A2WVCXVSE0YGML,4,19,0.75,1
A2WVCXVSE0YGML,5,0,0.50,1
A2WVCXVSE0YGML,5,1,0.40,1
A2WVCXVSE0YGML,5,2,0.30,1
A2WVCXVSE0YGML,5,3,0.20,1
A2WVCXVSE0YGML,5,4,0.10,1
A2WVCXVSE0YGML,5,5,0.10,1
A2WVCXVSE0YGML,5,6,0.10,0
A2WVCXVSE0YGML,5,7,0.40,1
A2WVCXVSE0YGML,5,8,0.30,1
A2WVCXVSE0YGML,5,9,0.20,1
A2WVCXVSE0YGML,5,10,0.10,1
A2WVCXVSE0YGML,5,11,0.10,0
A2WVCXVSE0YGML,5,12,0.40,1
A2WVCXVSE0YGML,5,13,0.30,1
A2WVCXVSE0YGML,5,14,0.20,1
A2WVCXVSE0YGML,5,15,0.10,1
A2WVCXVSE0YGML,5,16,0.10,1
A2WVCXVSE0YGML,5,17,0.10,1
A2WVCXVSE0YGML,5,19,0.40,1
A2WVCXVSE0YGML,5,18,0.10,0
