userName,conditionId,testId,titer,userResult
A38FQ6G2HIJE3,0,0,0.50,0
A38FQ6G2HIJE3,0,1,0.75,1
A38FQ6G2HIJE3,0,2,0.65,0
A38FQ6G2HIJE3,0,4,0.65,0
A38FQ6G2HIJE3,0,5,0.75,0
A38FQ6G2HIJE3,0,6,0.75,1
A38FQ6G2HIJE3,0,7,0.65,1
A38FQ6G2HIJE3,0,8,0.55,1
A38FQ6G2HIJE3,0,9,0.45,1
A38FQ6G2HIJE3,0,10,0.35,1
A38FQ6G2HIJE3,0,11,0.25,1
A38FQ6G2HIJE3,0,12,0.15,0
A38FQ6G2HIJE3,0,13,0.45,1
A38FQ6G2HIJE3,0,14,0.35,1
A38FQ6G2HIJE3,0,15,0.25,1
A38FQ6G2HIJE3,0,16,0.15,0
A38FQ6G2HIJE3,0,17,0.45,1
A38FQ6G2HIJE3,0,18,0.35,0
A38FQ6G2HIJE3,0,19,0.65,1
A38FQ6G2HIJE3,1,0,0.50,0
A38FQ6G2HIJE3,1,1,0.75,1
A38FQ6G2HIJE3,1,2,0.65,1
A38FQ6G2HIJE3,1,3,0.55,0
A38FQ6G2HIJE3,1,4,0.75,0
A38FQ6G2HIJE3,1,5,0.75,1
A38FQ6G2HIJE3,1,6,0.65,1
A38FQ6G2HIJE3,1,7,0.55,1
A38FQ6G2HIJE3,1,8,0.45,1
A38FQ6G2HIJE3,1,9,0.35,1
A38FQ6G2HIJE3,1,10,0.25,1
A38FQ6G2HIJE3,1,11,0.15,1
A38FQ6G2HIJE3,1,12,0.10,0
A38FQ6G2HIJE3,1,13,0.40,0
A38FQ6G2HIJE3,1,14,0.70,0
A38FQ6G2HIJE3,1,15,0.75,0
A38FQ6G2HIJE3,1,16,0.75,1
A38FQ6G2HIJE3,1,17,0.65,1
A38FQ6G2HIJE3,1,18,0.55,0
A38FQ6G2HIJE3,1,19,0.75,0
A38FQ6G2HIJE3,2,0,0.50,1
A38FQ6G2HIJE3,2,1,0.40,0
A38FQ6G2HIJE3,2,2,0.70,1
A38FQ6G2HIJE3,2,3,0.60,0
A38FQ6G2HIJE3,2,4,0.75,1
A38FQ6G2HIJE3,2,5,0.65,0
A38FQ6G2HIJE3,2,6,0.75,1
A38FQ6G2HIJE3,2,7,0.65,0
A38FQ6G2HIJE3,2,8,0.75,1
A38FQ6G2HIJE3,2,9,0.65,1
A38FQ6G2HIJE3,2,10,0.55,0
A38FQ6G2HIJE3,2,11,0.75,1
A38FQ6G2HIJE3,2,12,0.65,0
A38FQ6G2HIJE3,2,13,0.75,1
A38FQ6G2HIJE3,2,14,0.65,1
A38FQ6G2HIJE3,2,15,0.55,0
A38FQ6G2HIJE3,2,16,0.75,1
A38FQ6G2HIJE3,2,17,0.65,1
A38FQ6G2HIJE3,2,18,0.55,1
A38FQ6G2HIJE3,2,19,0.45,1
A38FQ6G2HIJE3,3,0,0.50,1
A38FQ6G2HIJE3,3,1,0.40,1
A38FQ6G2HIJE3,3,2,0.30,0
A38FQ6G2HIJE3,3,3,0.60,0
A38FQ6G2HIJE3,3,4,0.75,1
A38FQ6G2HIJE3,3,5,0.65,1
A38FQ6G2HIJE3,3,6,0.55,1
A38FQ6G2HIJE3,3,7,0.45,1
