userName,conditionId,testId,titer,userResult
A3FMIKILLWS8N0,0,1,0.75,0
A3FMIKILLWS8N0,0,0,0.50,0
A3FMIKILLWS8N0,0,2,0.75,0
A3FMIKILLWS8N0,0,3,0.75,1
A3FMIKILLWS8N0,0,4,0.65,1
A3FMIKILLWS8N0,0,5,0.55,0
A3FMIKILLWS8N0,0,6,0.75,0
A3FMIKILLWS8N0,0,7,0.75,0
A3FMIKILLWS8N0,0,8,0.75,0
A3FMIKILLWS8N0,0,9,0.75,0
A3FMIKILLWS8N0,0,10,0.75,1
A3FMIKILLWS8N0,0,11,0.65,0
A3FMIKILLWS8N0,0,12,0.75,0
A3FMIKILLWS8N0,0,13,0.75,0
A3FMIKILLWS8N0,0,14,0.75,0
A3FMIKILLWS8N0,0,15,0.75,1
A3FMIKILLWS8N0,0,16,0.65,0
A3FMIKILLWS8N0,0,17,0.75,1
A3FMIKILLWS8N0,0,18,0.65,0
A3FMIKILLWS8N0,0,19,0.75,0
A3FMIKILLWS8N0,1,0,0.50,0
A3FMIKILLWS8N0,1,1,0.75,1
A3FMIKILLWS8N0,1,2,0.65,0
A3FMIKILLWS8N0,1,3,0.75,0
A3FMIKILLWS8N0,1,4,0.75,1
A3FMIKILLWS8N0,1,5,0.65,0
A3FMIKILLWS8N0,1,6,0.75,0
A3FMIKILLWS8N0,1,7,0.75,0
A3FMIKILLWS8N0,1,8,0.75,0
A3FMIKILLWS8N0,1,9,0.75,0
A3FMIKILLWS8N0,1,10,0.75,0
A3FMIKILLWS8N0,1,11,0.75,0
A3FMIKILLWS8N0,1,12,0.75,0
A3FMIKILLWS8N0,1,13,0.75,0
A3FMIKILLWS8N0,1,14,0.75,1
A3FMIKILLWS8N0,1,15,0.65,0
A3FMIKILLWS8N0,1,16,0.75,0
A3FMIKILLWS8N0,1,17,0.75,0
A3FMIKILLWS8N0,1,18,0.75,1
A3FMIKILLWS8N0,1,19,0.65,0
A3FMIKILLWS8N0,2,0,0.50,0
A3FMIKILLWS8N0,2,1,0.75,0
A3FMIKILLWS8N0,2,2,0.75,1
A3FMIKILLWS8N0,2,3,0.65,0
A3FMIKILLWS8N0,2,4,0.75,0
A3FMIKILLWS8N0,2,5,0.75,0
A3FMIKILLWS8N0,2,6,0.75,0
A3FMIKILLWS8N0,2,7,0.75,1
A3FMIKILLWS8N0,2,8,0.65,0
A3FMIKILLWS8N0,2,9,0.75,1
A3FMIKILLWS8N0,2,10,0.65,0
A3FMIKILLWS8N0,2,11,0.75,0
A3FMIKILLWS8N0,2,12,0.75,1
A3FMIKILLWS8N0,2,13,0.65,0
A3FMIKILLWS8N0,2,14,0.75,0
A3FMIKILLWS8N0,2,15,0.75,1
A3FMIKILLWS8N0,2,16,0.65,1
A3FMIKILLWS8N0,2,17,0.55,0
A3FMIKILLWS8N0,2,18,0.75,1
A3FMIKILLWS8N0,2,19,0.65,0
A3FMIKILLWS8N0,3,0,0.50,0
A3FMIKILLWS8N0,3,1,0.75,1
A3FMIKILLWS8N0,3,2,0.65,0
A3FMIKILLWS8N0,3,3,0.75,0
A3FMIKILLWS8N0,3,4,0.75,0
A3FMIKILLWS8N0,3,5,0.75,1
A3FMIKILLWS8N0,3,6,0.65,0
A3FMIKILLWS8N0,3,7,0.75,1
A3FMIKILLWS8N0,3,8,0.65,1
A3FMIKILLWS8N0,3,9,0.55,0
A3FMIKILLWS8N0,3,10,0.75,1
A3FMIKILLWS8N0,3,11,0.65,1
A3FMIKILLWS8N0,3,12,0.55,1
A3FMIKILLWS8N0,3,13,0.45,0
A3FMIKILLWS8N0,3,14,0.75,1
A3FMIKILLWS8N0,3,15,0.65,1
A3FMIKILLWS8N0,3,16,0.55,1
A3FMIKILLWS8N0,3,17,0.45,0
A3FMIKILLWS8N0,3,18,0.75,0
A3FMIKILLWS8N0,3,19,0.75,1
A3FMIKILLWS8N0,4,0,0.50,1
A3FMIKILLWS8N0,4,1,0.40,1
A3FMIKILLWS8N0,4,2,0.30,0
