userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1TLX0QAGAXNG1,0,1,2,pos,8,11.75
A1TLX0QAGAXNG1,27,4,1,num,9,29.8
A1TLX0QAGAXNG1,12,1,0,pos,8,22.932
A1TLX0QAGAXNG1,21,4,2,num,8,21.285
A1TLX0QAGAXNG1,29,0,1,num,8,15.564
A1TLX0QAGAXNG1,15,4,0,pos,8,13.843
A1TLX0QAGAXNG1,60,-1,2,center position,6,23.726
A1TLX0QAGAXNG1,34,5,0,num,8,17.886
A1TLX0QAGAXNG1,1,2,2,pos,8,15.929
A1TLX0QAGAXNG1,20,3,2,num,7,23.331
A1TLX0QAGAXNG1,7,2,1,pos,8,14.988
A1TLX0QAGAXNG1,5,0,2,pos,8,27.68
A1TLX0QAGAXNG1,10,5,1,pos,8,9.926
A1TLX0QAGAXNG1,13,2,0,pos,6,9.271
A1TLX0QAGAXNG1,14,3,0,pos,8,10.278
A1TLX0QAGAXNG1,32,-1,2,shape,6,8.631
A1TLX0QAGAXNG1,22,5,2,num,8,10.251
A1TLX0QAGAXNG1,62,-1,2,center position,6,7.221
A1TLX0QAGAXNG1,23,0,2,num,7,13.996
A1TLX0QAGAXNG1,17,0,0,pos,8,9.249
A1TLX0QAGAXNG1,8,3,1,pos,8,10.685
A1TLX0QAGAXNG1,35,0,0,num,8,17.752
A1TLX0QAGAXNG1,3,4,2,pos,8,13.569
A1TLX0QAGAXNG1,33,4,0,num,8,23.84
A1TLX0QAGAXNG1,9,4,1,pos,8,14.389
A1TLX0QAGAXNG1,4,5,2,pos,8,7.633
A1TLX0QAGAXNG1,3,-1,2,point number,6,7.534
A1TLX0QAGAXNG1,6,1,1,pos,8,7.253
A1TLX0QAGAXNG1,28,5,1,num,8,31.408
A1TLX0QAGAXNG1,18,1,2,num,8,15.33
A1TLX0QAGAXNG1,11,0,1,pos,8,8.642
A1TLX0QAGAXNG1,30,1,0,num,6,8.947
A1TLX0QAGAXNG1,19,2,2,num,8,13.301
A1TLX0QAGAXNG1,25,2,1,num,8,13.583
A1TLX0QAGAXNG1,31,2,0,num,7,11.785
A1TLX0QAGAXNG1,32,3,0,num,8,19.387
A1TLX0QAGAXNG1,16,5,0,pos,8,8.313
A1TLX0QAGAXNG1,2,3,2,pos,8,38.09
A1TLX0QAGAXNG1,26,3,1,num,8,8.413
A1TLX0QAGAXNG1,24,1,1,num,8,6.591
