userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A3V8EWU6TZWX2U,0,3,2,pos,8,7.546
A3V8EWU6TZWX2U,27,0,1,num,7,9.081
A3V8EWU6TZWX2U,12,3,0,pos,8,8.504
A3V8EWU6TZWX2U,21,0,2,num,7,7.017
A3V8EWU6TZWX2U,29,2,1,num,7,7.986
A3V8EWU6TZWX2U,15,0,0,pos,7,7.693
A3V8EWU6TZWX2U,60,-1,2,center position,6,8.219
A3V8EWU6TZWX2U,34,1,0,num,8,13.918
A3V8EWU6TZWX2U,1,4,2,pos,8,9.627
A3V8EWU6TZWX2U,20,5,2,num,8,10.019
A3V8EWU6TZWX2U,7,4,1,pos,7,13.019
A3V8EWU6TZWX2U,5,2,2,pos,7,13.476
A3V8EWU6TZWX2U,10,1,1,pos,8,10.545
A3V8EWU6TZWX2U,13,4,0,pos,7,12.474
A3V8EWU6TZWX2U,14,5,0,pos,8,12.311
A3V8EWU6TZWX2U,32,-1,2,shape,6,9.485
A3V8EWU6TZWX2U,22,1,2,num,7,15.028
A3V8EWU6TZWX2U,62,-1,2,center position,6,5.752
A3V8EWU6TZWX2U,23,2,2,num,6,7.19
A3V8EWU6TZWX2U,17,2,0,pos,6,9.146
A3V8EWU6TZWX2U,8,5,1,pos,7,6.785
A3V8EWU6TZWX2U,35,2,0,num,7,6.742
A3V8EWU6TZWX2U,3,0,2,pos,8,6.74
A3V8EWU6TZWX2U,33,0,0,num,7,10.113
A3V8EWU6TZWX2U,9,0,1,pos,8,9.618
A3V8EWU6TZWX2U,4,1,2,pos,8,5.154
A3V8EWU6TZWX2U,3,-1,2,point number,6,8.075
A3V8EWU6TZWX2U,6,3,1,pos,8,8.031
A3V8EWU6TZWX2U,28,1,1,num,8,9.141
A3V8EWU6TZWX2U,18,3,2,num,8,25.399
A3V8EWU6TZWX2U,11,2,1,pos,7,6.316
A3V8EWU6TZWX2U,30,3,0,num,7,6.021
A3V8EWU6TZWX2U,19,4,2,num,8,5.007
A3V8EWU6TZWX2U,25,4,1,num,7,5.841
A3V8EWU6TZWX2U,31,4,0,num,7,5.274
A3V8EWU6TZWX2U,32,5,0,num,8,5.105
A3V8EWU6TZWX2U,16,1,0,pos,8,4.785
A3V8EWU6TZWX2U,2,5,2,pos,8,5.169
A3V8EWU6TZWX2U,26,5,1,num,8,9.204
A3V8EWU6TZWX2U,24,3,1,num,8,5.767
