userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1BISRD579W10W,0,5,2,pos,8,9.236
A1BISRD579W10W,27,2,1,num,7,35.84
A1BISRD579W10W,12,5,0,pos,8,7.369
A1BISRD579W10W,21,2,2,num,8,26.613
A1BISRD579W10W,29,4,1,num,8,8.328
A1BISRD579W10W,15,2,0,pos,7,14.613
A1BISRD579W10W,60,-1,2,center position,6,5.245
A1BISRD579W10W,34,3,0,num,8,6.577
A1BISRD579W10W,1,0,2,pos,8,8.296
A1BISRD579W10W,20,1,2,num,8,5.904
A1BISRD579W10W,7,0,1,pos,8,7.02
A1BISRD579W10W,5,4,2,pos,7,21.888
A1BISRD579W10W,10,3,1,pos,8,23.028
A1BISRD579W10W,13,0,0,pos,7,6.531
A1BISRD579W10W,14,1,0,pos,8,18.115
A1BISRD579W10W,32,-1,2,shape,5,13.775
A1BISRD579W10W,22,3,2,num,7,13.43
A1BISRD579W10W,62,-1,2,center position,6,6.623
A1BISRD579W10W,23,4,2,num,7,8.035
A1BISRD579W10W,17,4,0,pos,8,16.33
A1BISRD579W10W,8,1,1,pos,8,13.108
A1BISRD579W10W,35,4,0,num,7,10.385
A1BISRD579W10W,3,2,2,pos,8,23.44
A1BISRD579W10W,33,2,0,num,6,11.776
A1BISRD579W10W,9,2,1,pos,7,10.567
A1BISRD579W10W,4,3,2,pos,8,8.405
A1BISRD579W10W,3,-1,2,point number,6,7.702
A1BISRD579W10W,6,5,1,pos,8,4.978
A1BISRD579W10W,28,3,1,num,7,8.478
A1BISRD579W10W,18,5,2,num,8,8.449
A1BISRD579W10W,11,4,1,pos,8,14.549
A1BISRD579W10W,30,5,0,num,7,13.184
A1BISRD579W10W,19,0,2,num,8,6.689
A1BISRD579W10W,25,0,1,num,8,8.632
A1BISRD579W10W,31,0,0,num,7,14.357
A1BISRD579W10W,32,1,0,num,8,18.933
A1BISRD579W10W,16,3,0,pos,8,7.203
A1BISRD579W10W,2,1,2,pos,8,9.387
A1BISRD579W10W,26,1,1,num,7,25.519
A1BISRD579W10W,24,5,1,num,8,6.485
