userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A1NFBKUYYVUYWF,0,5,2,pos,8,9.895
A1NFBKUYYVUYWF,27,2,1,num,7,50.932
A1NFBKUYYVUYWF,12,5,0,pos,8,24.897
A1NFBKUYYVUYWF,21,2,2,num,7,57.182
A1NFBKUYYVUYWF,29,4,1,num,8,48.962
A1NFBKUYYVUYWF,15,2,0,pos,8,50.791
A1NFBKUYYVUYWF,60,-1,2,center position,7,59.516
A1NFBKUYYVUYWF,34,3,0,num,8,30.59
A1NFBKUYYVUYWF,1,0,2,pos,7,41.243
A1NFBKUYYVUYWF,20,1,2,num,8,48.466
A1NFBKUYYVUYWF,7,0,1,pos,8,51.442
A1NFBKUYYVUYWF,5,4,2,pos,7,41.932
A1NFBKUYYVUYWF,10,3,1,pos,7,45.813
A1NFBKUYYVUYWF,13,0,0,pos,7,13.614
A1NFBKUYYVUYWF,14,1,0,pos,8,53.909
A1NFBKUYYVUYWF,32,-1,2,shape,6,17.656
A1NFBKUYYVUYWF,22,3,2,num,8,27.87
A1NFBKUYYVUYWF,62,-1,2,center position,6,10.151
A1NFBKUYYVUYWF,23,4,2,num,8,20.579
A1NFBKUYYVUYWF,17,4,0,pos,7,25.696
A1NFBKUYYVUYWF,8,1,1,pos,8,56.462
A1NFBKUYYVUYWF,35,4,0,num,9,47.509
A1NFBKUYYVUYWF,3,2,2,pos,7,14.434
A1NFBKUYYVUYWF,33,2,0,num,7,52.032
A1NFBKUYYVUYWF,9,2,1,pos,7,24.134
A1NFBKUYYVUYWF,4,3,2,pos,8,10.742
A1NFBKUYYVUYWF,3,-1,2,point number,6,18.454
A1NFBKUYYVUYWF,6,5,1,pos,8,10.207
A1NFBKUYYVUYWF,28,3,1,num,8,55.951
A1NFBKUYYVUYWF,18,5,2,num,8,13.616
A1NFBKUYYVUYWF,11,4,1,pos,8,14.438
A1NFBKUYYVUYWF,30,5,0,num,7,17.539
A1NFBKUYYVUYWF,19,0,2,num,8,13.067
A1NFBKUYYVUYWF,25,0,1,num,8,24.854
A1NFBKUYYVUYWF,31,0,0,num,8,52.221
A1NFBKUYYVUYWF,32,1,0,num,8,28.938
A1NFBKUYYVUYWF,16,3,0,pos,8,14.823
A1NFBKUYYVUYWF,2,1,2,pos,8,30.596
A1NFBKUYYVUYWF,26,1,1,num,9,52.092
A1NFBKUYYVUYWF,24,5,1,num,8,11.644
