userName,fileId,conditionId,changeMagnitude,changeType,userResult,totalTime
A2I4QYINF6WSY5,0,5,2,pos,8,11.768
A2I4QYINF6WSY5,27,2,1,num,7,11.541
A2I4QYINF6WSY5,12,5,0,pos,9,42.921
A2I4QYINF6WSY5,21,2,2,num,8,28.579
A2I4QYINF6WSY5,29,4,1,num,8,14.082
A2I4QYINF6WSY5,15,2,0,pos,6,23.308
A2I4QYINF6WSY5,60,-1,2,center position,5,19.354
A2I4QYINF6WSY5,34,3,0,num,8,24.997
A2I4QYINF6WSY5,1,0,2,pos,9,50.057
A2I4QYINF6WSY5,20,1,2,num,7,26.897
A2I4QYINF6WSY5,7,0,1,pos,8,52.306
A2I4QYINF6WSY5,5,4,2,pos,8,17.712
A2I4QYINF6WSY5,10,3,1,pos,8,17.965
A2I4QYINF6WSY5,13,0,0,pos,6,42.965
A2I4QYINF6WSY5,14,1,0,pos,8,32.917
A2I4QYINF6WSY5,32,-1,2,shape,5,20.608
A2I4QYINF6WSY5,22,3,2,num,7,41.758
A2I4QYINF6WSY5,62,-1,2,center position,6,23.936
A2I4QYINF6WSY5,23,4,2,num,7,55.609
A2I4QYINF6WSY5,17,4,0,pos,7,19.859
A2I4QYINF6WSY5,8,1,1,pos,8,41.427
A2I4QYINF6WSY5,35,4,0,num,8,30.051
A2I4QYINF6WSY5,3,2,2,pos,7,5.985
A2I4QYINF6WSY5,33,2,0,num,8,15.566
A2I4QYINF6WSY5,9,2,1,pos,8,7.87
A2I4QYINF6WSY5,4,3,2,pos,8,7.172
A2I4QYINF6WSY5,3,-1,2,point number,6,10.158
A2I4QYINF6WSY5,6,5,1,pos,8,6.538
A2I4QYINF6WSY5,28,3,1,num,8,43.219
A2I4QYINF6WSY5,18,5,2,num,8,14.493
A2I4QYINF6WSY5,11,4,1,pos,8,7.491
A2I4QYINF6WSY5,30,5,0,num,7,11.849
A2I4QYINF6WSY5,19,0,2,num,8,9.726
A2I4QYINF6WSY5,25,0,1,num,7,19.145
A2I4QYINF6WSY5,31,0,0,num,7,32.959
A2I4QYINF6WSY5,32,1,0,num,7,15.488
A2I4QYINF6WSY5,16,3,0,pos,8,6.628
A2I4QYINF6WSY5,2,1,2,pos,7,11.283
A2I4QYINF6WSY5,26,1,1,num,8,11.59
A2I4QYINF6WSY5,24,5,1,num,8,29.437
