userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A23KAJRDVCVGOE,0,0,2,pos,4-3,small&sparse-small&dense,3.17-3.10,1,3-4,7.402
A23KAJRDVCVGOE,27,3,1,num,5,small&sparse,5.71,1,5,6.657
A23KAJRDVCVGOE,12,0,0,pos,6,large&dense,3.96,1,6,6.103
A23KAJRDVCVGOE,21,3,2,num,2,0,6.17,0,1,7.229
A23KAJRDVCVGOE,29,5,1,num,7,0,10.23,0,4,11.275
A23KAJRDVCVGOE,15,3,0,pos,5,0,4.53,0,7,11.301
A23KAJRDVCVGOE,60,-1,2,center position,5,small&dense,2.18,1,5,3.023
A23KAJRDVCVGOE,34,4,0,num,5-7-2,large&dense-large&dense-0,3.60-1.61-3.76,0,5-7-6,9.967
A23KAJRDVCVGOE,1,1,2,pos,1-7-4,0-0-0,13.12-2.29-2.07,0,2,18.234
A23KAJRDVCVGOE,20,2,2,num,4-3,small&dense-0,2.19-1.54,0,4-7,4.625
A23KAJRDVCVGOE,7,1,1,pos,4-7-6,0-small&sparse-0,2.67-2.15-4.97,0,5-3-7,11.055
A23KAJRDVCVGOE,5,5,2,pos,0-3,large&dense-small&sparse,2.28-5.86,1,0-3,9.202
A23KAJRDVCVGOE,10,4,1,pos,7-3,small&dense-large&dense,6.91-1.06,1,7-3,9.893
A23KAJRDVCVGOE,13,1,0,pos,3-2-0,small&dense-0-large&sparse,2.47-2.58-3.23,0,3-5-0,9.151
A23KAJRDVCVGOE,14,2,0,pos,3-0-2,0-0-0,4.54-2.28-9.70,0,6-5-7,17.292
A23KAJRDVCVGOE,32,-1,2,shape,4,large&dense,3.00,1,4,3.699
A23KAJRDVCVGOE,22,4,2,num,0-4,large&sparse-0,8.72-1.38,0,0-7,11.084
A23KAJRDVCVGOE,62,-1,2,center position,4,large&dense,3.08,1,4,4.076
A23KAJRDVCVGOE,23,5,2,num,5-4-6,0-0-large&dense,6.88-1.01-1.50,0,3-6-0,10.415
A23KAJRDVCVGOE,17,5,0,pos,5-6-1,small&sparse-0-0,3.08-2.50-1.67,0,0-5,8.349
A23KAJRDVCVGOE,8,2,1,pos,4-6,0-large&sparse,3.69-1.10,0,1-6,5.766
A23KAJRDVCVGOE,35,5,0,num,0-7-5,small&sparse-0-large&sparse,5.27-2.52-1.33,0,6-5-0,10.197
A23KAJRDVCVGOE,3,3,2,pos,7,small&sparse,1.98,1,7,2.845
A23KAJRDVCVGOE,33,3,0,num,2,0,6.45,0,5,7.266
A23KAJRDVCVGOE,9,3,1,pos,1,small&dense,4.00,1,1,5.128
A23KAJRDVCVGOE,4,4,2,pos,0-6-2,small&dense-small&sparse-small&dense,2.59-3.21-2.49,1,0-2-6,12.23
A23KAJRDVCVGOE,3,-1,2,point number,1,large&dense,5.84,1,1,6.983
A23KAJRDVCVGOE,6,0,1,pos,2,small&dense,2.23,1,2,3.296
A23KAJRDVCVGOE,28,4,1,num,0-2-5,small&dense-small&sparse-small&sparse,13.63-1.35-10.92,1,0-2-5,26.816
A23KAJRDVCVGOE,18,0,2,num,7-2-3,small&dense-small&dense-0,2.14-1.04-7.21,0,7-2-5,11.301
A23KAJRDVCVGOE,11,5,1,pos,6-1-4,small&dense-small&dense-0,1.84-1.45-1.46,0,6-1-0,5.639
A23KAJRDVCVGOE,30,0,0,num,3-7,0-0,4.89-12.65,0,5-0,18.531
A23KAJRDVCVGOE,19,1,2,num,3,small&dense,4.79,1,3,5.536
A23KAJRDVCVGOE,25,1,1,num,5-0,0-large&sparse,3.98-3.52,0,1-0,8.671
A23KAJRDVCVGOE,31,1,0,num,5-6,large&dense-large&sparse,3.88-4.65,1,6-5,9.42
A23KAJRDVCVGOE,32,2,0,num,2,0,5.95,0,7,6.947
A23KAJRDVCVGOE,16,4,0,pos,0-2,small&dense-0,2.08-4.78,0,1-0,7.921
A23KAJRDVCVGOE,2,2,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.85-3.17-0.97,1,5-4-6,7.83
A23KAJRDVCVGOE,26,2,1,num,4-1-6,small&dense-0-large&sparse,4.28-5.38-3.35,0,3-4-6,13.955
A23KAJRDVCVGOE,24,0,1,num,2-5,small&dense-0,2.43-11.80,0,2-6,15.544
