userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3NXT3OVGL7QNR,0,0,2,pos,3-4,small&dense-small&sparse,5.70-5.55,1,3-4,12.312
A3NXT3OVGL7QNR,27,3,1,num,5,small&sparse,9.93,1,5,11.548
A3NXT3OVGL7QNR,12,0,0,pos,6,large&dense,4.36,1,6,6.299
A3NXT3OVGL7QNR,21,3,2,num,1,small&sparse,20.06,1,1,28.262
A3NXT3OVGL7QNR,29,5,1,num,4,small&sparse,8.38,1,4,9.32
A3NXT3OVGL7QNR,15,3,0,pos,7,small&sparse,16.05,1,7,17.377
A3NXT3OVGL7QNR,60,-1,2,center position,5,small&dense,2.03,1,5,3.787
A3NXT3OVGL7QNR,34,4,0,num,7-6-5,large&dense-small&sparse-large&dense,14.35-10.86-8.62,1,5-7-6,37.709
A3NXT3OVGL7QNR,1,1,2,pos,2,small&sparse,10.47,1,2,11.803
A3NXT3OVGL7QNR,20,2,2,num,4-7,small&dense-large&dense,7.26-12.79,1,4-7,24.492
A3NXT3OVGL7QNR,7,1,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,5.07-3.49-10.40,1,5-3-7,20.236
A3NXT3OVGL7QNR,5,5,2,pos,0-3,large&dense-small&sparse,4.28-3.88,1,0-3,9.302
A3NXT3OVGL7QNR,10,4,1,pos,3-7,large&dense-small&dense,4.05-2.24,1,7-3,7.609
A3NXT3OVGL7QNR,13,1,0,pos,5-0-3,large&dense-large&sparse-small&dense,10.20-4.98-7.10,1,3-5-0,24.702
A3NXT3OVGL7QNR,14,2,0,pos,5-6-7,large&dense-small&sparse-large&dense,3.36-7.18-10.11,1,6-5-7,22.262
A3NXT3OVGL7QNR,32,-1,2,shape,4,large&dense,4.11,1,4,5.023
A3NXT3OVGL7QNR,22,4,2,num,7-0,small&sparse-large&sparse,5.65-9.09,1,0-7,24.098
A3NXT3OVGL7QNR,62,-1,2,center position,4,large&dense,2.43,1,4,3.881
A3NXT3OVGL7QNR,23,5,2,num,0-6-3,large&dense-large&dense-small&sparse,2.58-4.89-8.56,1,3-6-0,16.959
A3NXT3OVGL7QNR,17,5,0,pos,0-5,small&dense-small&sparse,7.47-12.17,1,0-5,21.252
A3NXT3OVGL7QNR,8,2,1,pos,1-3,large&dense-0,4.64-35.18,0,1-6,46.412
A3NXT3OVGL7QNR,35,5,0,num,5-6-0,large&sparse-small&dense-small&sparse,3.00-4.78-41.58,1,6-5-0,50.661
A3NXT3OVGL7QNR,3,3,2,pos,7,small&sparse,3.63,1,7,5.266
A3NXT3OVGL7QNR,33,3,0,num,5,small&sparse,8.33,1,5,10.196
A3NXT3OVGL7QNR,9,3,1,pos,1,small&dense,2.27,1,1,3.414
A3NXT3OVGL7QNR,4,4,2,pos,0-6-2,small&dense-small&sparse-small&dense,11.31-1.96-3.17,1,0-2-6,17.576
A3NXT3OVGL7QNR,3,-1,2,point number,1,large&dense,11.79,1,1,13.163
A3NXT3OVGL7QNR,6,0,1,pos,2,small&dense,10.23,1,2,11.093
A3NXT3OVGL7QNR,28,4,1,num,0-2-5,small&dense-small&sparse-small&sparse,4.53-11.91-30.29,1,0-2-5,47.947
A3NXT3OVGL7QNR,18,0,2,num,5-7-2,small&sparse-small&dense-small&dense,6.24-1.35-1.64,1,7-2-5,10.322
A3NXT3OVGL7QNR,11,5,1,pos,1-0-6,small&dense-large&sparse-small&dense,2.17-2.51-2.61,1,6-1-0,8.246
A3NXT3OVGL7QNR,30,0,0,num,0,small&dense,7.24,0,5-0,60
A3NXT3OVGL7QNR,19,1,2,num,3,small&dense,12.23,1,3,13.324
A3NXT3OVGL7QNR,25,1,1,num,0-1,large&sparse-small&sparse,4.79-28.20,1,1-0,34.974
A3NXT3OVGL7QNR,31,1,0,num,6-5,large&sparse-large&dense,6.91-14.37,1,6-5,22.504
A3NXT3OVGL7QNR,32,2,0,num,7,small&sparse,3.03,1,7,4.158
A3NXT3OVGL7QNR,16,4,0,pos,0-1,small&dense-small&sparse,3.76-6.40,1,1-0,11.301
A3NXT3OVGL7QNR,2,2,2,pos,4-5-6,large&sparse-small&dense-small&sparse,2.98-2.99-2.24,1,5-4-6,9.057
A3NXT3OVGL7QNR,26,2,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.13-3.16-5.31,1,3-4-6,12.575
A3NXT3OVGL7QNR,24,0,1,num,2-6,small&dense-small&sparse,9.51-13.21,1,2-6,23.847
