userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A13WTEQ06V3B6D,0,1,2,pos,3-0,small&dense-0,4.43-5.54,0,3-4,10.68
A13WTEQ06V3B6D,27,4,1,num,5,small&sparse,6.70,1,5,7.387
A13WTEQ06V3B6D,12,1,0,pos,6,large&dense,7.49,1,6,8.301
A13WTEQ06V3B6D,21,4,2,num,1,small&sparse,4.92,1,1,5.755
A13WTEQ06V3B6D,29,0,1,num,4,small&sparse,26.47,1,4,27.248
A13WTEQ06V3B6D,15,4,0,pos,5,0,15.06,0,7,15.872
A13WTEQ06V3B6D,60,-1,2,center position,5,small&dense,2.15,1,5,3.7
A13WTEQ06V3B6D,34,5,0,num,4-0-6,0-0-small&sparse,12.23-11.65-6.76,0,5-7-6,31.777
A13WTEQ06V3B6D,1,2,2,pos,2,small&sparse,2.85,1,2,3.533
A13WTEQ06V3B6D,20,3,2,num,7-4,large&dense-small&dense,9.57-4.16,1,4-7,14.731
A13WTEQ06V3B6D,7,2,1,pos,5-3,small&sparse-large&sparse,2.84-1.74,0,5-3-7,5.452
A13WTEQ06V3B6D,5,0,2,pos,0-3,large&dense-small&sparse,5.27-3.20,1,0-3,9.255
A13WTEQ06V3B6D,10,5,1,pos,7-3,small&dense-large&dense,1.58-3.52,1,7-3,5.98
A13WTEQ06V3B6D,13,2,0,pos,0-5-3,large&sparse-large&dense-small&dense,2.00-2.09-15.61,1,3-5-0,21.314
A13WTEQ06V3B6D,14,3,0,pos,7-6-5,large&dense-small&sparse-large&dense,1.33-3.31-7.94,1,6-5-7,13.443
A13WTEQ06V3B6D,32,-1,2,shape,4,large&dense,3.01,1,4,5.831
A13WTEQ06V3B6D,22,5,2,num,7-0,small&sparse-large&sparse,4.41-4.29,1,0-7,9.443
A13WTEQ06V3B6D,62,-1,2,center position,4,large&dense,1.66,1,4,2.736
A13WTEQ06V3B6D,23,0,2,num,0-6-3,large&dense-large&dense-small&sparse,2.29-3.41-3.02,1,3-6-0,9.312
A13WTEQ06V3B6D,17,0,0,pos,0-5,small&dense-small&sparse,3.53-4.60,1,0-5,8.95
A13WTEQ06V3B6D,8,3,1,pos,6-1,large&sparse-large&dense,1.78-2.37,1,1-6,4.77
A13WTEQ06V3B6D,35,0,0,num,5-6,large&sparse-small&dense,6.17-18.70,0,6-5-0,33.971
A13WTEQ06V3B6D,3,4,2,pos,7,small&sparse,6.18,1,7,6.916
A13WTEQ06V3B6D,33,4,0,num,,0,,0,5,60
A13WTEQ06V3B6D,9,4,1,pos,1,small&dense,4.44,1,1,5.269
A13WTEQ06V3B6D,4,5,2,pos,0-6-2,small&dense-small&sparse-small&dense,1.65-2.03-1.55,1,0-2-6,5.817
A13WTEQ06V3B6D,3,-1,2,point number,1,large&dense,5.68,1,1,6.516
A13WTEQ06V3B6D,6,1,1,pos,2,small&dense,7.86,1,2,12.772
A13WTEQ06V3B6D,28,5,1,num,2-0-4,small&sparse-small&dense-0,1.36-3.93-10.85,0,0-2-5,16.853
A13WTEQ06V3B6D,18,1,2,num,7-5-2,small&dense-small&sparse-small&dense,3.59-1.55-5.93,1,7-2-5,11.871
A13WTEQ06V3B6D,11,0,1,pos,6-0-1,small&dense-large&sparse-small&dense,1.85-2.81-1.91,1,6-1-0,7.56
A13WTEQ06V3B6D,30,1,0,num,5-1,small&dense-0,3.00-13.80,0,5-0,17.858
A13WTEQ06V3B6D,19,2,2,num,3,small&dense,7.23,1,3,8.091
A13WTEQ06V3B6D,25,2,1,num,7-0,0-large&sparse,4.45-5.54,0,1-0,17.071
A13WTEQ06V3B6D,31,2,0,num,5-1,large&dense-0,15.75-4.47,0,6-5,21.234
A13WTEQ06V3B6D,32,3,0,num,6,0,17.29,0,7,18.314
A13WTEQ06V3B6D,16,5,0,pos,1-0,small&sparse-small&dense,2.60-1.82,1,1-0,6.115
A13WTEQ06V3B6D,2,3,2,pos,4-5-6,large&sparse-small&dense-small&sparse,3.03-1.76-9.69,1,5-4-6,15.535
A13WTEQ06V3B6D,26,3,1,num,4-6-7,small&dense-large&sparse-0,2.96-4.49-9.38,0,3-4-6,17.869
A13WTEQ06V3B6D,24,1,1,num,2-0,small&dense-0,3.73-12.22,0,2-6,16.982
