userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
ARLGZWN6W91WD,0,1,2,pos,3-4,small&dense-small&sparse,2.63-3.26,1,3-4,14.402
ARLGZWN6W91WD,27,4,1,num,5,small&sparse,22.44,1,5,23.489
ARLGZWN6W91WD,12,1,0,pos,6,large&dense,6.04,1,6,6.808
ARLGZWN6W91WD,21,4,2,num,1,small&sparse,7.85,1,1,8.828
ARLGZWN6W91WD,29,0,1,num,4,small&sparse,12.50,1,4,13.21
ARLGZWN6W91WD,15,4,0,pos,3,0,31.05,0,7,32.522
ARLGZWN6W91WD,60,-1,2,center position,5,small&dense,2.34,1,5,3.106
ARLGZWN6W91WD,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,9.85-12.88-15.18,1,5-7-6,38.6
ARLGZWN6W91WD,1,2,2,pos,2,small&sparse,5.15,1,2,5.929
ARLGZWN6W91WD,20,3,2,num,1-7,0-large&dense,2.58-3.72,0,4-7,23.94
ARLGZWN6W91WD,7,2,1,pos,5-3-7,small&sparse-large&sparse-small&sparse,2.45-5.74-19.32,1,5-3-7,28.4
ARLGZWN6W91WD,5,0,2,pos,0-3,large&dense-small&sparse,2.12-2.79,1,0-3,5.791
ARLGZWN6W91WD,10,5,1,pos,3-7,large&dense-small&dense,1.95-1.06,1,7-3,3.604
ARLGZWN6W91WD,13,2,0,pos,0-3-5,large&sparse-small&dense-large&dense,3.24-1.80-9.30,1,3-5-0,15.112
ARLGZWN6W91WD,14,3,0,pos,7-6-5,large&dense-small&sparse-large&dense,3.51-3.89-2.49,1,6-5-7,10.721
ARLGZWN6W91WD,32,-1,2,shape,3,0,6.51,0,4,7.233
ARLGZWN6W91WD,22,5,2,num,7-0,small&sparse-large&sparse,4.67-3.75,1,0-7,9.293
ARLGZWN6W91WD,62,-1,2,center position,4,large&dense,2.05,1,4,10.604
ARLGZWN6W91WD,23,0,2,num,0-6-3,large&dense-large&dense-small&sparse,3.72-4.89-2.66,1,3-6-0,12.402
ARLGZWN6W91WD,17,0,0,pos,0-5,small&dense-small&sparse,2.45-24.40,1,0-5,27.508
ARLGZWN6W91WD,8,3,1,pos,1-6,large&dense-large&sparse,4.63-17.33,1,1-6,23.314
ARLGZWN6W91WD,35,0,0,num,5,large&sparse,11.72,0,6-5-0,60
ARLGZWN6W91WD,3,4,2,pos,7,small&sparse,7.66,1,7,8.392
ARLGZWN6W91WD,33,4,0,num,5,small&sparse,25.96,1,5,26.732
ARLGZWN6W91WD,9,4,1,pos,1,small&dense,3.57,1,1,4.471
ARLGZWN6W91WD,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,7.30-2.62-2.00,1,0-2-6,13.185
ARLGZWN6W91WD,3,-1,2,point number,1,large&dense,5.38,1,1,6.057
ARLGZWN6W91WD,6,1,1,pos,2,small&dense,4.32,1,2,5.126
ARLGZWN6W91WD,28,5,1,num,0-5-2,small&dense-small&sparse-small&sparse,13.39-2.35-6.00,1,0-2-5,22.637
ARLGZWN6W91WD,18,1,2,num,5-7,small&sparse-small&dense,2.70-21.41,0,7-2-5,60
ARLGZWN6W91WD,11,0,1,pos,6-1-0,small&dense-small&dense-large&sparse,5.55-4.79-2.80,1,6-1-0,13.777
ARLGZWN6W91WD,30,1,0,num,5-4,small&dense-0,10.18-20.47,0,5-0,31.869
ARLGZWN6W91WD,19,2,2,num,3,small&dense,5.90,1,3,6.494
ARLGZWN6W91WD,25,2,1,num,7-0,0-large&sparse,17.12-1.01,0,1-0,18.795
ARLGZWN6W91WD,31,2,0,num,6-5,large&sparse-large&dense,9.40-12.01,1,6-5,23.314
ARLGZWN6W91WD,32,3,0,num,7,small&sparse,36.27,1,7,37.271
ARLGZWN6W91WD,16,5,0,pos,1-0,small&sparse-small&dense,9.22-7.55,1,1-0,17.486
ARLGZWN6W91WD,2,3,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.32-1.67-1.86,1,5-4-6,6.973
ARLGZWN6W91WD,26,3,1,num,6-4-3,large&sparse-small&dense-small&sparse,3.69-3.15-2.15,1,3-4-6,9.624
ARLGZWN6W91WD,24,1,1,num,6-2,small&sparse-small&dense,6.52-1.75,1,2-6,8.867
