userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1Y8BGDLPNYP0K,0,4,2,pos,6-7,0-0,14.01-17.81,0,3-4,35.408
A1Y8BGDLPNYP0K,27,1,1,num,7-0,0-0,36.77-6.62,0,5,60
A1Y8BGDLPNYP0K,12,4,0,pos,6,large&dense,15.77,1,6,17.37
A1Y8BGDLPNYP0K,21,1,2,num,1,small&sparse,24.08,1,1,25.378
A1Y8BGDLPNYP0K,29,3,1,num,4,small&sparse,15.30,1,4,16.603
A1Y8BGDLPNYP0K,15,1,0,pos,6,0,48.00,0,7,50.074
A1Y8BGDLPNYP0K,60,-1,2,center position,5,small&dense,10.96,1,5,12.189
A1Y8BGDLPNYP0K,34,2,0,num,6-0-3,small&sparse-0-0,18.23-19.99-2.38,0,5-7-6,42.035
A1Y8BGDLPNYP0K,1,5,2,pos,2,small&sparse,14.86,1,2,16.098
A1Y8BGDLPNYP0K,20,0,2,num,2-3,0-0,27.15-5.52,0,4-7,38.582
A1Y8BGDLPNYP0K,7,5,1,pos,5-3-7,small&sparse-large&sparse-small&sparse,8.85-3.36-22.06,1,5-3-7,35.718
A1Y8BGDLPNYP0K,5,3,2,pos,,0,,0,0-3,60
A1Y8BGDLPNYP0K,10,2,1,pos,0-7,0-small&dense,11.48-3.23,0,7-3,16.139
A1Y8BGDLPNYP0K,13,5,0,pos,7-2-0,0-0-large&sparse,10.88-4.20-15.46,0,3-5-0,31.528
A1Y8BGDLPNYP0K,14,0,0,pos,7-6-0,large&dense-small&sparse-0,10.50-7.65-28.00,0,6-5-7,47.522
A1Y8BGDLPNYP0K,32,-1,2,shape,4,large&dense,7.79,1,4,9.2
A1Y8BGDLPNYP0K,22,2,2,num,7-0,small&sparse-large&sparse,16.30-16.39,1,0-7,33.913
A1Y8BGDLPNYP0K,62,-1,2,center position,4,large&dense,16.03,1,4,17.523
A1Y8BGDLPNYP0K,23,3,2,num,0-6-3,large&dense-large&dense-small&sparse,2.81-4.03-6.47,1,3-6-0,14.628
A1Y8BGDLPNYP0K,17,3,0,pos,5-6,small&sparse-0,18.04-33.19,0,0-5,52.612
A1Y8BGDLPNYP0K,8,0,1,pos,6-1,large&sparse-large&dense,25.14-3.83,1,1-6,44.19
A1Y8BGDLPNYP0K,35,3,0,num,0-5,small&sparse-large&sparse,11.60-13.02,0,6-5-0,26.29
A1Y8BGDLPNYP0K,35,3,0,num,0-5,small&sparse-large&sparse,11.60-13.02,0,6-5-0,27.055
A1Y8BGDLPNYP0K,3,1,2,pos,7,small&sparse,7.06,1,7,8.333
A1Y8BGDLPNYP0K,33,1,0,num,,0,,0,5,60
A1Y8BGDLPNYP0K,9,1,1,pos,1,small&dense,4.42,1,1,7.017
A1Y8BGDLPNYP0K,4,2,2,pos,3-2-0,0-small&dense-small&dense,7.76-3.84-7.74,0,0-2-6,20.661
A1Y8BGDLPNYP0K,3,-1,2,point number,,0,,0,1,60
A1Y8BGDLPNYP0K,6,4,1,pos,2,small&dense,24.36,1,2,25.779
A1Y8BGDLPNYP0K,28,2,1,num,0-5,small&dense-small&sparse,8.03-14.41,0,0-2-5,60
A1Y8BGDLPNYP0K,18,4,2,num,7-5,small&dense-small&sparse,13.09-15.14,0,7-2-5,60
A1Y8BGDLPNYP0K,11,3,1,pos,6-1-0,small&dense-small&dense-large&sparse,5.24-2.37-4.99,1,6-1-0,14.16
A1Y8BGDLPNYP0K,30,4,0,num,4-3,0-0,42.23-5.31,0,5-0,48.842
A1Y8BGDLPNYP0K,19,5,2,num,3,small&dense,18.55,1,3,19.786
A1Y8BGDLPNYP0K,25,5,1,num,0-1,large&sparse-small&sparse,27.25-5.08,1,1-0,33.406
A1Y8BGDLPNYP0K,31,5,0,num,6-5,large&sparse-large&dense,3.72-4.70,1,6-5,26.552
A1Y8BGDLPNYP0K,32,0,0,num,7,small&sparse,11.07,1,7,12.371
A1Y8BGDLPNYP0K,16,2,0,pos,0,small&dense,3.65,0,1-0,4.85
A1Y8BGDLPNYP0K,2,0,2,pos,4-5-0,large&sparse-small&dense-0,6.41-9.45-21.93,0,5-4-6,54.746
A1Y8BGDLPNYP0K,26,0,1,num,4-3-1,small&dense-small&sparse-0,19.78-10.58-28.68,0,3-4-6,60
A1Y8BGDLPNYP0K,26,0,1,num,4-3-1,small&dense-small&sparse-0,19.78-10.58-28.68,0,3-4-6,60.14
A1Y8BGDLPNYP0K,24,4,1,num,5-2,0-small&dense,23.91-5.69,0,2-6,31.292
