userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
ANBQ5S0ZDCC19,0,4,2,pos,3-6,small&dense-0,6.49-3.89,0,3-4,11.811
ANBQ5S0ZDCC19,27,1,1,num,0,0,19.01,0,5,21.175
ANBQ5S0ZDCC19,12,4,0,pos,6,large&dense,9.06,1,6,10.501
ANBQ5S0ZDCC19,21,1,2,num,1,small&sparse,11.53,1,1,12.871
ANBQ5S0ZDCC19,29,3,1,num,4,small&sparse,5.02,1,4,6.075
ANBQ5S0ZDCC19,15,1,0,pos,5,0,24.84,0,7,26.568
ANBQ5S0ZDCC19,60,-1,2,center position,5,small&dense,3.18,1,5,4.682
ANBQ5S0ZDCC19,34,2,0,num,6,small&sparse,10.88,0,5-7-6,12.231
ANBQ5S0ZDCC19,1,5,2,pos,2,small&sparse,7.93,1,2,9.542
ANBQ5S0ZDCC19,20,0,2,num,2-5,0-0,9.80-1.22,0,4-7,12.195
ANBQ5S0ZDCC19,7,5,1,pos,3-5-7,large&sparse-small&sparse-small&sparse,5.33-11.88-4.12,1,5-3-7,22.676
ANBQ5S0ZDCC19,5,3,2,pos,0-3,large&dense-small&sparse,4.00-9.19,1,0-3,14.347
ANBQ5S0ZDCC19,10,2,1,pos,3-7,large&dense-small&dense,7.60-2.07,1,7-3,11.095
ANBQ5S0ZDCC19,13,5,0,pos,0-7-3,large&sparse-0-small&dense,9.22-5.23-15.93,0,3-5-0,32.59
ANBQ5S0ZDCC19,14,0,0,pos,7-1-5,large&dense-0-large&dense,9.12-2.82-2.41,0,6-5-7,16.047
ANBQ5S0ZDCC19,32,-1,2,shape,4,large&dense,5.87,1,4,6.967
ANBQ5S0ZDCC19,22,2,2,num,0-5,large&sparse-0,15.70-13.24,0,0-7,31.54
ANBQ5S0ZDCC19,62,-1,2,center position,4,large&dense,4.43,1,4,5.662
ANBQ5S0ZDCC19,23,3,2,num,0-4-2,large&dense-0-0,3.16-1.66-2.77,0,3-6-0,8.883
ANBQ5S0ZDCC19,17,3,0,pos,0-5,small&dense-small&sparse,4.86-4.30,1,0-5,14.591
ANBQ5S0ZDCC19,8,0,1,pos,0-1,0-large&dense,3.26-3.36,0,1-6,7.837
ANBQ5S0ZDCC19,35,3,0,num,,0,,0,6-5-0,60
ANBQ5S0ZDCC19,35,3,0,num,,0,,0,6-5-0,60
ANBQ5S0ZDCC19,3,1,2,pos,7,small&sparse,8.17,1,7,9.565
ANBQ5S0ZDCC19,33,1,0,num,5,small&sparse,23.60,1,5,25.377
ANBQ5S0ZDCC19,9,1,1,pos,1,small&dense,4.32,1,1,5.877
ANBQ5S0ZDCC19,4,2,2,pos,2-6-0,small&dense-small&sparse-small&dense,3.54-2.42-1.95,1,0-2-6,9.823
ANBQ5S0ZDCC19,3,-1,2,point number,1,large&dense,3.33,1,1,5.277
ANBQ5S0ZDCC19,6,4,1,pos,2,small&dense,4.97,1,2,6.323
ANBQ5S0ZDCC19,28,2,1,num,0,small&dense,3.41,0,0-2-5,24.34
ANBQ5S0ZDCC19,18,4,2,num,5,small&sparse,18.21,0,7-2-5,19.508
ANBQ5S0ZDCC19,11,3,1,pos,0-4-6,large&sparse-0-small&dense,3.57-2.20-1.29,0,6-1-0,8.386
ANBQ5S0ZDCC19,30,4,0,num,0-3,small&dense-0,13.76-4.52,0,5-0,19.57
ANBQ5S0ZDCC19,19,5,2,num,3,small&dense,3.57,1,3,5.056
ANBQ5S0ZDCC19,25,5,1,num,0,large&sparse,15.66,0,1-0,22.534
ANBQ5S0ZDCC19,31,5,0,num,,0,,0,6-5,60
ANBQ5S0ZDCC19,32,0,0,num,,0,,0,7,60
ANBQ5S0ZDCC19,16,2,0,pos,0-1,small&dense-small&sparse,7.07-2.87,1,1-0,11.164
ANBQ5S0ZDCC19,2,0,2,pos,5-6-4,small&dense-small&sparse-large&sparse,5.86-4.63-1.83,1,5-4-6,13.741
ANBQ5S0ZDCC19,26,0,1,num,4,small&dense,2.48,0,3-4-6,11.299
ANBQ5S0ZDCC19,24,4,1,num,2,small&dense,7.24,0,2-6,15.005
