userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1I0DV4B4MFQCL,0,5,2,pos,3-4,small&dense-small&sparse,2.29-4.58,1,3-4,8.499
A1I0DV4B4MFQCL,27,2,1,num,5,small&sparse,15.50,1,5,17.785
A1I0DV4B4MFQCL,12,5,0,pos,6,large&dense,5.93,1,6,8.548
A1I0DV4B4MFQCL,21,2,2,num,1,small&sparse,11.07,1,1,12.916
A1I0DV4B4MFQCL,29,4,1,num,4,small&sparse,8.09,1,4,9.324
A1I0DV4B4MFQCL,15,2,0,pos,7,small&sparse,10.79,1,7,12.67
A1I0DV4B4MFQCL,60,-1,2,center position,5,small&dense,2.78,1,5,5.137
A1I0DV4B4MFQCL,34,3,0,num,6-5-7,small&sparse-large&dense-large&dense,11.10-18.80-3.45,1,5-7-6,34.872
A1I0DV4B4MFQCL,1,0,2,pos,2,small&sparse,4.80,1,2,6.717
A1I0DV4B4MFQCL,20,1,2,num,7-4,large&dense-small&dense,5.30-4.48,1,4-7,21.351
A1I0DV4B4MFQCL,7,0,1,pos,3-7-5,large&sparse-small&sparse-small&sparse,5.80-2.09-2.88,1,5-3-7,14.279
A1I0DV4B4MFQCL,5,4,2,pos,0-3,large&dense-small&sparse,2.37-2.86,1,0-3,7.757
A1I0DV4B4MFQCL,10,3,1,pos,7-3,small&dense-large&dense,4.61-1.58,1,7-3,21.263
A1I0DV4B4MFQCL,13,0,0,pos,3-0-5,small&dense-large&sparse-large&dense,11.45-6.70-7.04,1,3-5-0,27.229
A1I0DV4B4MFQCL,14,1,0,pos,7-5-6,large&dense-large&dense-small&sparse,4.14-8.50-11.66,1,6-5-7,27.725
A1I0DV4B4MFQCL,32,-1,2,shape,4,large&dense,5.21,1,4,9.325
A1I0DV4B4MFQCL,22,3,2,num,0-7,large&sparse-small&sparse,8.92-12.68,1,0-7,23.113
A1I0DV4B4MFQCL,62,-1,2,center position,4,large&dense,3.44,1,4,12.319
A1I0DV4B4MFQCL,23,4,2,num,0-3-6,large&dense-small&sparse-large&dense,3.67-5.41-3.02,1,3-6-0,15.508
A1I0DV4B4MFQCL,17,4,0,pos,0-6,small&dense-0,5.88-4.36,0,0-5,13.896
A1I0DV4B4MFQCL,8,1,1,pos,6-1,large&sparse-large&dense,2.42-4.52,1,1-6,8.695
A1I0DV4B4MFQCL,35,4,0,num,6,small&dense,34.57,0,6-5-0,60
A1I0DV4B4MFQCL,3,2,2,pos,7,small&sparse,13.76,1,7,15.332
A1I0DV4B4MFQCL,33,2,0,num,5,small&sparse,34.81,1,5,37.118
A1I0DV4B4MFQCL,9,2,1,pos,1,small&dense,3.75,1,1,5.845
A1I0DV4B4MFQCL,4,3,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.25-6.38-1.66,1,0-2-6,11.523
A1I0DV4B4MFQCL,3,-1,2,point number,1,large&dense,9.38,1,1,11.495
A1I0DV4B4MFQCL,6,5,1,pos,2,small&dense,3.23,1,2,5.934
A1I0DV4B4MFQCL,28,3,1,num,0-5-2,small&dense-small&sparse-small&sparse,5.50-8.63-25.66,1,0-2-5,44.143
A1I0DV4B4MFQCL,18,5,2,num,5-2-7,small&sparse-small&dense-small&dense,7.00-2.73-1.03,1,7-2-5,13.236
A1I0DV4B4MFQCL,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.25-1.57-6.39,1,6-1-0,12.522
A1I0DV4B4MFQCL,30,5,0,num,5-0,small&dense-small&dense,5.45-2.81,1,5-0,15.229
A1I0DV4B4MFQCL,19,0,2,num,3,small&dense,5.49,1,3,6.633
A1I0DV4B4MFQCL,25,0,1,num,0-1,large&sparse-small&sparse,3.48-8.47,1,1-0,36.994
A1I0DV4B4MFQCL,31,0,0,num,5-6,large&dense-large&sparse,9.95-8.77,1,6-5,22.716
A1I0DV4B4MFQCL,32,1,0,num,7,small&sparse,36.29,1,7,37.868
A1I0DV4B4MFQCL,16,3,0,pos,0-1,small&dense-small&sparse,4.04-8.06,1,1-0,13.045
A1I0DV4B4MFQCL,2,1,2,pos,4-5-6,large&sparse-small&dense-small&sparse,2.73-1.65-15.27,1,5-4-6,21.522
A1I0DV4B4MFQCL,26,1,1,num,6-4-3,large&sparse-small&dense-small&sparse,4.33-5.80-3.30,1,3-4-6,15.89
A1I0DV4B4MFQCL,24,5,1,num,6-2,small&sparse-small&dense,6.77-1.97,1,2-6,9.9
