userName,conditionId,testId,titer,userResult
A1MIKI8R1U6XTW,0,0,0.5,1
A1MIKI8R1U6XTW,0,1,0.4,0
A1MIKI8R1U6XTW,0,2,0.7,0
A1MIKI8R1U6XTW,0,3,0.75,1
A1MIKI8R1U6XTW,0,4,0.65,0
A1MIKI8R1U6XTW,0,5,0.75,0
A1MIKI8R1U6XTW,0,6,0.75,1
A1MIKI8R1U6XTW,0,7,0.65,1
A1MIKI8R1U6XTW,0,8,0.55,1
A1MIKI8R1U6XTW,0,9,0.45,0
A1MIKI8R1U6XTW,0,10,0.75,1
A1MIKI8R1U6XTW,0,11,0.65,1
A1MIKI8R1U6XTW,0,12,0.55,0
A1MIKI8R1U6XTW,0,13,0.75,0
A1MIKI8R1U6XTW,0,14,0.75,0
A1MIKI8R1U6XTW,0,15,0.75,0
A1MIKI8R1U6XTW,0,16,0.75,0
A1MIKI8R1U6XTW,0,17,0.75,0
A1MIKI8R1U6XTW,0,18,0.75,0
A1MIKI8R1U6XTW,0,19,0.75,1
A1MIKI8R1U6XTW,1,0,0.5,0
A1MIKI8R1U6XTW,1,1,0.75,1
A1MIKI8R1U6XTW,1,2,0.65,0
A1MIKI8R1U6XTW,1,3,0.75,1
A1MIKI8R1U6XTW,1,4,0.65,1
A1MIKI8R1U6XTW,1,5,0.55,0
A1MIKI8R1U6XTW,1,6,0.75,1
A1MIKI8R1U6XTW,1,7,0.65,0
A1MIKI8R1U6XTW,1,8,0.75,0
A1MIKI8R1U6XTW,1,9,0.75,1
A1MIKI8R1U6XTW,1,10,0.65,1
A1MIKI8R1U6XTW,1,11,0.55,0
A1MIKI8R1U6XTW,1,12,0.75,1
A1MIKI8R1U6XTW,1,13,0.65,1
A1MIKI8R1U6XTW,1,14,0.55,0
A1MIKI8R1U6XTW,1,15,0.75,0
A1MIKI8R1U6XTW,1,16,0.75,1
A1MIKI8R1U6XTW,1,17,0.65,0
A1MIKI8R1U6XTW,1,18,0.75,0
A1MIKI8R1U6XTW,1,19,0.75,1
A1MIKI8R1U6XTW,2,0,0.5,1
A1MIKI8R1U6XTW,2,1,0.4,1
A1MIKI8R1U6XTW,2,2,0.3,0
A1MIKI8R1U6XTW,2,3,0.6,0
A1MIKI8R1U6XTW,2,4,0.75,0
A1MIKI8R1U6XTW,2,5,0.75,1
A1MIKI8R1U6XTW,2,6,0.65,1
A1MIKI8R1U6XTW,2,7,0.55,1
A1MIKI8R1U6XTW,2,8,0.45,1
A1MIKI8R1U6XTW,2,9,0.35,1
A1MIKI8R1U6XTW,2,10,0.25,1
A1MIKI8R1U6XTW,2,11,0.15,1
A1MIKI8R1U6XTW,2,12,0.1,1
A1MIKI8R1U6XTW,2,13,0.1,0
A1MIKI8R1U6XTW,2,14,0.4,1
A1MIKI8R1U6XTW,2,15,0.3,0
A1MIKI8R1U6XTW,2,16,0.6,1
A1MIKI8R1U6XTW,2,17,0.5,0
A1MIKI8R1U6XTW,2,18,0.75,0
A1MIKI8R1U6XTW,2,19,0.75,1
A1MIKI8R1U6XTW,3,0,0.5,1
A1MIKI8R1U6XTW,3,1,0.4,0
A1MIKI8R1U6XTW,3,2,0.7,1
A1MIKI8R1U6XTW,3,3,0.6,0
A1MIKI8R1U6XTW,3,4,0.75,1
A1MIKI8R1U6XTW,3,5,0.65,1
