userName,conditionId,testId,titer,userResult
A35WLQ74ZU5SYU,0,1,0.75,0
A35WLQ74ZU5SYU,0,2,0.75,1
A35WLQ74ZU5SYU,0,3,0.65,0
A35WLQ74ZU5SYU,0,0,0.50,0
A35WLQ74ZU5SYU,0,4,0.75,1
A35WLQ74ZU5SYU,0,5,0.65,0
A35WLQ74ZU5SYU,0,6,0.75,0
A35WLQ74ZU5SYU,0,7,0.75,0
A35WLQ74ZU5SYU,0,8,0.75,1
A35WLQ74ZU5SYU,0,9,0.65,1
A35WLQ74ZU5SYU,0,10,0.55,1
A35WLQ74ZU5SYU,0,11,0.45,1
A35WLQ74ZU5SYU,0,12,0.35,0
A35WLQ74ZU5SYU,0,13,0.65,0
A35WLQ74ZU5SYU,0,14,0.75,0
A35WLQ74ZU5SYU,0,15,0.75,1
A35WLQ74ZU5SYU,0,16,0.65,0
A35WLQ74ZU5SYU,0,17,0.75,1
A35WLQ74ZU5SYU,0,18,0.65,0
A35WLQ74ZU5SYU,0,19,0.75,1
A35WLQ74ZU5SYU,1,0,0.50,0
A35WLQ74ZU5SYU,1,1,0.75,1
A35WLQ74ZU5SYU,1,2,0.65,0
A35WLQ74ZU5SYU,1,3,0.75,1
A35WLQ74ZU5SYU,1,4,0.65,1
A35WLQ74ZU5SYU,1,5,0.55,1
A35WLQ74ZU5SYU,1,6,0.45,0
A35WLQ74ZU5SYU,1,7,0.75,0
A35WLQ74ZU5SYU,1,8,0.75,1
A35WLQ74ZU5SYU,1,9,0.65,0
A35WLQ74ZU5SYU,1,10,0.75,0
A35WLQ74ZU5SYU,1,11,0.75,0
A35WLQ74ZU5SYU,1,12,0.75,1
A35WLQ74ZU5SYU,1,13,0.65,1
A35WLQ74ZU5SYU,1,14,0.55,1
A35WLQ74ZU5SYU,1,15,0.45,0
A35WLQ74ZU5SYU,1,16,0.75,1
A35WLQ74ZU5SYU,1,17,0.65,0
A35WLQ74ZU5SYU,1,18,0.75,1
A35WLQ74ZU5SYU,1,19,0.65,0
A35WLQ74ZU5SYU,2,0,0.50,1
A35WLQ74ZU5SYU,2,1,0.40,0
A35WLQ74ZU5SYU,2,2,0.70,1
A35WLQ74ZU5SYU,2,3,0.60,1
A35WLQ74ZU5SYU,2,4,0.50,0
A35WLQ74ZU5SYU,2,5,0.75,1
A35WLQ74ZU5SYU,2,6,0.65,1
