userName,conditionId,testId,titer,userResult
A1H0VOG8ZE45B6,0,1,0.75,0
A1H0VOG8ZE45B6,0,2,0.75,0
A1H0VOG8ZE45B6,0,3,0.75,1
A1H0VOG8ZE45B6,0,4,0.65,1
A1H0VOG8ZE45B6,0,0,0.50,0
A1H0VOG8ZE45B6,0,5,0.55,0
A1H0VOG8ZE45B6,0,6,0.75,0
A1H0VOG8ZE45B6,0,7,0.75,1
A1H0VOG8ZE45B6,0,8,0.65,0
A1H0VOG8ZE45B6,0,9,0.75,0
A1H0VOG8ZE45B6,0,10,0.75,0
A1H0VOG8ZE45B6,0,11,0.75,0
A1H0VOG8ZE45B6,0,12,0.75,0
A1H0VOG8ZE45B6,0,13,0.75,0
A1H0VOG8ZE45B6,0,14,0.75,0
A1H0VOG8ZE45B6,0,15,0.75,1
A1H0VOG8ZE45B6,0,16,0.65,0
A1H0VOG8ZE45B6,0,17,0.75,0
A1H0VOG8ZE45B6,0,18,0.75,1
A1H0VOG8ZE45B6,0,19,0.65,0
A1H0VOG8ZE45B6,1,0,0.50,0
A1H0VOG8ZE45B6,1,1,0.75,0
A1H0VOG8ZE45B6,1,2,0.75,0
A1H0VOG8ZE45B6,1,3,0.75,0
A1H0VOG8ZE45B6,1,4,0.75,0
A1H0VOG8ZE45B6,1,5,0.75,0
A1H0VOG8ZE45B6,1,6,0.75,0
A1H0VOG8ZE45B6,1,7,0.75,0
A1H0VOG8ZE45B6,1,8,0.75,0
A1H0VOG8ZE45B6,1,9,0.75,0
A1H0VOG8ZE45B6,1,10,0.75,0
A1H0VOG8ZE45B6,1,11,0.75,0
A1H0VOG8ZE45B6,1,12,0.75,1
A1H0VOG8ZE45B6,1,13,0.65,0
A1H0VOG8ZE45B6,1,14,0.75,1
A1H0VOG8ZE45B6,1,15,0.65,0
A1H0VOG8ZE45B6,1,16,0.75,1
A1H0VOG8ZE45B6,1,18,0.55,0
A1H0VOG8ZE45B6,1,19,0.75,0
A1H0VOG8ZE45B6,2,0,0.50,0
A1H0VOG8ZE45B6,2,1,0.75,0
A1H0VOG8ZE45B6,2,2,0.75,0
A1H0VOG8ZE45B6,2,3,0.75,1
A1H0VOG8ZE45B6,2,4,0.65,1
