userName,conditionId,testId,titer,userResult
A1PTH9KTRO06EG,0,1,0.40,0
A1PTH9KTRO06EG,0,0,0.50,1
A1PTH9KTRO06EG,0,3,0.60,0
A1PTH9KTRO06EG,0,4,0.75,0
A1PTH9KTRO06EG,0,5,0.75,1
A1PTH9KTRO06EG,0,6,0.65,1
A1PTH9KTRO06EG,0,7,0.55,0
A1PTH9KTRO06EG,0,8,0.75,1
A1PTH9KTRO06EG,0,9,0.65,0
A1PTH9KTRO06EG,0,10,0.75,0
A1PTH9KTRO06EG,0,11,0.75,1
A1PTH9KTRO06EG,0,12,0.65,0
A1PTH9KTRO06EG,0,13,0.75,1
A1PTH9KTRO06EG,0,14,0.65,0
A1PTH9KTRO06EG,0,15,0.75,1
A1PTH9KTRO06EG,0,16,0.65,0
A1PTH9KTRO06EG,0,17,0.75,0
A1PTH9KTRO06EG,0,18,0.75,0
A1PTH9KTRO06EG,0,19,0.75,1
A1PTH9KTRO06EG,1,0,0.50,0
A1PTH9KTRO06EG,1,1,0.75,1
A1PTH9KTRO06EG,1,2,0.65,0
A1PTH9KTRO06EG,1,3,0.75,1
A1PTH9KTRO06EG,1,4,0.65,1
A1PTH9KTRO06EG,1,5,0.55,1
A1PTH9KTRO06EG,1,6,0.45,0
A1PTH9KTRO06EG,1,7,0.75,0
A1PTH9KTRO06EG,1,8,0.75,1
A1PTH9KTRO06EG,1,9,0.65,0
A1PTH9KTRO06EG,1,10,0.75,1
A1PTH9KTRO06EG,1,11,0.65,0
A1PTH9KTRO06EG,1,12,0.75,1
A1PTH9KTRO06EG,1,13,0.65,0
A1PTH9KTRO06EG,1,14,0.75,1
A1PTH9KTRO06EG,1,15,0.65,1
A1PTH9KTRO06EG,1,16,0.55,0
A1PTH9KTRO06EG,1,17,0.75,1
A1PTH9KTRO06EG,1,18,0.65,0
A1PTH9KTRO06EG,1,19,0.75,0
A1PTH9KTRO06EG,2,0,0.50,1
A1PTH9KTRO06EG,2,1,0.40,1
A1PTH9KTRO06EG,2,2,0.30,1
A1PTH9KTRO06EG,2,3,0.20,0
A1PTH9KTRO06EG,2,4,0.50,1
A1PTH9KTRO06EG,2,5,0.40,1
A1PTH9KTRO06EG,2,6,0.30,0
A1PTH9KTRO06EG,2,7,0.60,1
A1PTH9KTRO06EG,2,8,0.50,1
A1PTH9KTRO06EG,2,9,0.40,0
A1PTH9KTRO06EG,2,10,0.70,1
A1PTH9KTRO06EG,2,11,0.60,1
A1PTH9KTRO06EG,2,12,0.50,1
A1PTH9KTRO06EG,0,2,0.70,1
A1PTH9KTRO06EG,2,13,0.40,1
A1PTH9KTRO06EG,2,14,0.30,1
A1PTH9KTRO06EG,2,15,0.20,1
A1PTH9KTRO06EG,2,16,0.10,0
A1PTH9KTRO06EG,2,17,0.40,1
A1PTH9KTRO06EG,2,18,0.30,0
A1PTH9KTRO06EG,2,19,0.60,1
A1PTH9KTRO06EG,3,0,0.50,1
A1PTH9KTRO06EG,3,1,0.40,1
A1PTH9KTRO06EG,3,3,0.60,0
A1PTH9KTRO06EG,3,2,0.30,0
A1PTH9KTRO06EG,3,4,0.75,0
A1PTH9KTRO06EG,3,5,0.75,1
A1PTH9KTRO06EG,3,6,0.65,1
A1PTH9KTRO06EG,3,7,0.55,0
A1PTH9KTRO06EG,3,8,0.75,1
A1PTH9KTRO06EG,3,10,0.75,1
A1PTH9KTRO06EG,3,9,0.65,0
A1PTH9KTRO06EG,3,11,0.65,0
A1PTH9KTRO06EG,3,12,0.75,1
A1PTH9KTRO06EG,3,13,0.65,0
A1PTH9KTRO06EG,3,14,0.75,1
A1PTH9KTRO06EG,3,15,0.65,1
A1PTH9KTRO06EG,3,16,0.55,0
A1PTH9KTRO06EG,3,17,0.75,0
A1PTH9KTRO06EG,3,18,0.75,1
A1PTH9KTRO06EG,3,19,0.65,1
A1PTH9KTRO06EG,4,0,0.50,0
A1PTH9KTRO06EG,4,1,0.75,1
A1PTH9KTRO06EG,4,2,0.65,1
A1PTH9KTRO06EG,4,3,0.55,0
A1PTH9KTRO06EG,4,4,0.75,1
A1PTH9KTRO06EG,4,5,0.65,0
A1PTH9KTRO06EG,4,7,0.75,0
A1PTH9KTRO06EG,4,6,0.75,0
A1PTH9KTRO06EG,4,8,0.75,1
