userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2KQ8WXQZKBAAK,0,0,2,pos,6-4,0-small&sparse,14.87-5.74,0,3-4,22.542
A2KQ8WXQZKBAAK,27,3,1,num,5,small&sparse,7.05,1,5,9.263
A2KQ8WXQZKBAAK,12,0,0,pos,6,large&dense,6.67,1,6,9.966
A2KQ8WXQZKBAAK,21,3,2,num,1,small&sparse,7.71,1,1,10.764
A2KQ8WXQZKBAAK,29,5,1,num,4,small&sparse,24.34,0,4,60
A2KQ8WXQZKBAAK,15,3,0,pos,7,small&sparse,27.32,0,7,60
A2KQ8WXQZKBAAK,60,-1,2,center position,5,small&dense,3.39,1,5,4.854
A2KQ8WXQZKBAAK,34,4,0,num,6-0-7,small&sparse-0-large&dense,20.03-39.49-1.66,0,5-7-6,60
A2KQ8WXQZKBAAK,1,1,2,pos,2,small&sparse,14.96,1,2,16.665
A2KQ8WXQZKBAAK,20,2,2,num,7-3,large&dense-0,8.61-19.36,0,4-7,29.894
A2KQ8WXQZKBAAK,7,1,1,pos,3-5-0,large&sparse-small&sparse-0,4.66-3.86-49.56,0,5-3-7,60.964
A2KQ8WXQZKBAAK,7,1,1,pos,3-5-0,large&sparse-small&sparse-0,4.66-3.86-49.56,0,5-3-7,60
A2KQ8WXQZKBAAK,5,5,2,pos,0-3,large&dense-small&sparse,6.16-7.30,1,0-3,16.62
A2KQ8WXQZKBAAK,10,4,1,pos,3-7,large&dense-small&dense,6.40-8.54,1,7-3,18.528
A2KQ8WXQZKBAAK,13,1,0,pos,0-1-2,large&sparse-0-0,6.78-4.65-7.86,0,3-5-0,21.051
A2KQ8WXQZKBAAK,14,2,0,pos,3-5-6,0-large&dense-small&sparse,6.30-4.02-3.69,0,6-5-7,15.565
A2KQ8WXQZKBAAK,32,-1,2,shape,4,large&dense,6.08,1,4,7.933
A2KQ8WXQZKBAAK,22,4,2,num,0-4,large&sparse-0,5.74-4.44,0,0-7,23.821
A2KQ8WXQZKBAAK,62,-1,2,center position,4,large&dense,5.78,1,4,32.182
A2KQ8WXQZKBAAK,23,5,2,num,0-6-4,large&dense-large&dense-0,2.47-2.20-4.43,0,3-6-0,10.827
A2KQ8WXQZKBAAK,17,5,0,pos,3-5,0-small&sparse,3.43-4.24,0,0-5,9.935
A2KQ8WXQZKBAAK,8,2,1,pos,1-3,large&dense-0,2.53-4.12,0,1-6,8.298
A2KQ8WXQZKBAAK,35,5,0,num,7-3-5,0-0-large&sparse,5.55-1.55-2.79,0,6-5-0,11.83
A2KQ8WXQZKBAAK,3,3,2,pos,7,small&sparse,4.83,1,7,6.584
A2KQ8WXQZKBAAK,33,3,0,num,5,small&sparse,12.83,1,5,17.938
A2KQ8WXQZKBAAK,9,3,1,pos,1,small&dense,8.19,1,1,10.207
A2KQ8WXQZKBAAK,4,4,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.80-1.71-11.64,1,0-2-6,18.862
A2KQ8WXQZKBAAK,3,-1,2,point number,1,large&dense,11.76,1,1,13.92
A2KQ8WXQZKBAAK,6,0,1,pos,2,small&dense,3.01,1,2,4.678
A2KQ8WXQZKBAAK,28,4,1,num,2-0-7-1,small&sparse-small&dense-0-0,3.33-5.28-7.75-3.27,0,0-2-5,60
A2KQ8WXQZKBAAK,18,0,2,num,7-6-2,small&dense-0-small&dense,6.70-6.58-33.60,0,7-2-5,55.482
A2KQ8WXQZKBAAK,11,5,1,pos,0-6-1,large&sparse-small&dense-small&dense,4.72-3.75-3.12,1,6-1-0,13.963
A2KQ8WXQZKBAAK,30,0,0,num,3-5,0-small&dense,8.47-5.01,0,5-0,15.298
A2KQ8WXQZKBAAK,19,1,2,num,3,small&dense,14.40,1,3,17.155
A2KQ8WXQZKBAAK,25,1,1,num,1-0,small&sparse-large&sparse,8.61-17.28,0,1-0,60
A2KQ8WXQZKBAAK,31,1,0,num,6-5,large&sparse-large&dense,5.41-5.42,1,6-5,12.634
A2KQ8WXQZKBAAK,32,2,0,num,7,small&sparse,6.69,1,7,8.968
A2KQ8WXQZKBAAK,16,4,0,pos,0-1,small&dense-small&sparse,4.59-10.71,1,1-0,17.14
A2KQ8WXQZKBAAK,2,2,2,pos,5-4-6,small&dense-large&sparse-small&sparse,3.68-1.29-1.58,1,5-4-6,8.183
A2KQ8WXQZKBAAK,26,2,1,num,6-4-3,large&sparse-small&dense-small&sparse,7.14-1.10-12.30,1,3-4-6,23.181
A2KQ8WXQZKBAAK,24,0,1,num,2-6,small&dense-small&sparse,7.95-7.70,1,2-6,18.386
