userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
ABG76D6AQL5I9,0,0,2,pos,3-5,small&dense-0,5.09-5.59,0,3-4,15.955
ABG76D6AQL5I9,27,3,1,num,5,small&sparse,6.43,1,5,7.585
ABG76D6AQL5I9,12,0,0,pos,6,large&dense,6.20,1,6,7.598
ABG76D6AQL5I9,21,3,2,num,1,small&sparse,2.68,1,1,12.328
ABG76D6AQL5I9,29,5,1,num,4,small&sparse,8.69,1,4,9.782
ABG76D6AQL5I9,15,3,0,pos,7,small&sparse,6.89,1,7,8.246
ABG76D6AQL5I9,60,-1,2,center position,5,small&dense,3.34,1,5,4.616
ABG76D6AQL5I9,34,4,0,num,7-4-3,large&dense-0-0,7.70-6.68-4.94,0,5-7-6,20.45
ABG76D6AQL5I9,1,1,2,pos,2,small&sparse,6.75,1,2,7.801
ABG76D6AQL5I9,20,2,2,num,4-3,small&dense-0,8.39-4.39,0,4-7,18.025
ABG76D6AQL5I9,7,1,1,pos,2-3-6,0-large&sparse-0,4.02-3.81-4.40,0,5-3-7,13.014
ABG76D6AQL5I9,5,5,2,pos,0-3,large&dense-small&sparse,7.08-1.31,1,0-3,9.188
ABG76D6AQL5I9,10,4,1,pos,7-3,small&dense-large&dense,6.73-3.02,1,7-3,10.682
ABG76D6AQL5I9,13,1,0,pos,3-0-5,small&dense-large&sparse-large&dense,4.04-5.46-3.23,1,3-5-0,13.726
ABG76D6AQL5I9,14,2,0,pos,5-0-1,large&dense-0-0,3.97-2.18-2.76,0,6-5-7,9.671
ABG76D6AQL5I9,32,-1,2,shape,4,large&dense,3.92,1,4,5.162
ABG76D6AQL5I9,22,4,2,num,4-0,0-large&sparse,9.83-3.33,0,0-7,15.034
ABG76D6AQL5I9,62,-1,2,center position,4,large&dense,2.78,1,4,3.776
ABG76D6AQL5I9,23,5,2,num,0-7-6,large&dense-0-large&dense,2.43-1.17-1.61,0,3-6-0,6.861
ABG76D6AQL5I9,17,5,0,pos,0-5,small&dense-small&sparse,4.20-2.32,1,0-5,7.358
ABG76D6AQL5I9,8,2,1,pos,1-7,large&dense-0,4.64-4.69,0,1-6,10.171
ABG76D6AQL5I9,35,5,0,num,5-2-1,large&sparse-0-0,9.35-7.14-2.60,0,6-5-0,20.086
ABG76D6AQL5I9,3,3,2,pos,7,small&sparse,3.06,1,7,4.063
ABG76D6AQL5I9,33,3,0,num,5,small&sparse,9.26,1,5,10.197
ABG76D6AQL5I9,9,3,1,pos,1,small&dense,3.37,1,1,4.525
ABG76D6AQL5I9,4,4,2,pos,3-6-0,0-small&sparse-small&dense,3.17-2.97-0.96,0,0-2-6,7.941
ABG76D6AQL5I9,3,-1,2,point number,1,large&dense,12.96,1,1,13.923
ABG76D6AQL5I9,6,0,1,pos,2,small&dense,2.91,1,2,3.815
ABG76D6AQL5I9,28,4,1,num,6-7-5,0-0-small&sparse,7.39-7.00-3.94,0,0-2-5,19.096
ABG76D6AQL5I9,18,0,2,num,7-5-2,small&dense-small&sparse-small&dense,2.98-2.71-2.53,1,7-2-5,8.992
ABG76D6AQL5I9,11,5,1,pos,0-6-1,large&sparse-small&dense-small&dense,2.50-2.88-1.16,1,6-1-0,7.655
ABG76D6AQL5I9,30,0,0,num,5-6,small&dense-0,3.91-7.62,0,5-0,12.444
ABG76D6AQL5I9,19,1,2,num,3,small&dense,6.73,1,3,7.88
ABG76D6AQL5I9,25,1,1,num,1-6,small&sparse-0,8.66-6.04,0,1-0,15.449
ABG76D6AQL5I9,31,1,0,num,6-1,large&sparse-0,8.44-6.32,0,6-5,15.792
ABG76D6AQL5I9,32,2,0,num,5,0,11.34,0,7,12.813
ABG76D6AQL5I9,16,4,0,pos,0-1,small&dense-small&sparse,5.31-3.64,1,1-0,9.734
ABG76D6AQL5I9,2,2,2,pos,4-5-6,large&sparse-small&dense-small&sparse,7.46-5.28-3.30,1,5-4-6,16.988
ABG76D6AQL5I9,26,2,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.82-2.70-25.33,0,3-4-6,60
ABG76D6AQL5I9,26,2,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.82-2.70-25.33,1,3-4-6,33.748
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,18.401
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,21.08
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,25.505
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,31.032
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,34.443
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,34.248
ABG76D6AQL5I9,24,0,1,num,2-5,small&dense-0,4.30-13.12,0,2-6,60
