userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A18IBIG55GUNMH,0,1,2,pos,3-4,small&dense-small&sparse,5.85-12.15,1,3-4,19.792
A18IBIG55GUNMH,27,4,1,num,5,small&sparse,24.27,1,5,26.182
A18IBIG55GUNMH,12,1,0,pos,6,large&dense,12.18,1,6,15.056
A18IBIG55GUNMH,21,4,2,num,1,small&sparse,7.83,1,1,10.904
A18IBIG55GUNMH,29,0,1,num,4,small&sparse,13.09,1,4,15.039
A18IBIG55GUNMH,15,4,0,pos,7,small&sparse,28.94,1,7,60
A18IBIG55GUNMH,60,-1,2,center position,5,small&dense,7.00,1,5,10.153
A18IBIG55GUNMH,34,5,0,num,,0,,0,5-7-6,60
A18IBIG55GUNMH,1,2,2,pos,2,small&sparse,6.71,1,2,8.962
A18IBIG55GUNMH,20,3,2,num,7-4,large&dense-small&dense,7.29-11.65,1,4-7,20.929
A18IBIG55GUNMH,7,2,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,4.33-3.37-14.10,1,5-3-7,24.999
A18IBIG55GUNMH,5,0,2,pos,0-3,large&dense-small&sparse,4.22-13.79,1,0-3,20.52
A18IBIG55GUNMH,10,5,1,pos,3-7,large&dense-small&dense,4.45-2.25,1,7-3,8.837
A18IBIG55GUNMH,13,2,0,pos,5-3-0,large&dense-small&dense-large&sparse,4.62-8.71-12.29,1,3-5-0,34.703
A18IBIG55GUNMH,14,3,0,pos,7-5-6,large&dense-large&dense-small&sparse,12.18-12.25-2.99,1,6-5-7,31.475
A18IBIG55GUNMH,32,-1,2,shape,4,large&dense,7.58,1,4,9.905
A18IBIG55GUNMH,22,5,2,num,0,large&sparse,7.91,0,0-7,60
A18IBIG55GUNMH,62,-1,2,center position,4,large&dense,10.38,1,4,12.131
A18IBIG55GUNMH,23,0,2,num,0-6,large&dense-large&dense,4.06-5.00,0,3-6-0,60
A18IBIG55GUNMH,17,0,0,pos,0-5,small&dense-small&sparse,6.38-5.92,1,0-5,14.363
A18IBIG55GUNMH,8,3,1,pos,6-1,large&sparse-large&dense,6.82-4.55,1,1-6,13.262
A18IBIG55GUNMH,35,0,0,num,,0,,0,6-5-0,60
A18IBIG55GUNMH,3,4,2,pos,7,small&sparse,6.17,1,7,8.19
A18IBIG55GUNMH,33,4,0,num,,0,,0,5,60
A18IBIG55GUNMH,9,4,1,pos,1,small&dense,3.38,1,1,5.245
A18IBIG55GUNMH,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,6.65-5.94-3.95,1,0-2-6,18.903
A18IBIG55GUNMH,3,-1,2,point number,1,large&dense,7.69,1,1,9.093
A18IBIG55GUNMH,6,1,1,pos,2,small&dense,5.50,1,2,8.079
A18IBIG55GUNMH,28,5,1,num,0-5-2,small&dense-small&sparse-small&sparse,10.39-4.73-24.18,1,0-2-5,42.372
A18IBIG55GUNMH,18,1,2,num,2-7-5,small&dense-small&dense-small&sparse,7.94-1.56-4.35,1,7-2-5,16.128
A18IBIG55GUNMH,11,0,1,pos,6-0-1,small&dense-large&sparse-small&dense,6.46-3.12-6.23,1,6-1-0,17.96
A18IBIG55GUNMH,30,1,0,num,5-0,small&dense-small&dense,11.11-9.00,1,5-0,45.063
A18IBIG55GUNMH,19,2,2,num,3,small&dense,5.45,1,3,7.33
A18IBIG55GUNMH,25,2,1,num,1-0,small&sparse-large&sparse,6.65-8.84,1,1-0,17.094
A18IBIG55GUNMH,31,2,0,num,,0,,0,6-5,60
A18IBIG55GUNMH,32,3,0,num,7,small&sparse,17.92,1,7,19.808
A18IBIG55GUNMH,16,5,0,pos,0-1,small&dense-small&sparse,4.01-30.50,1,1-0,36.237
A18IBIG55GUNMH,2,3,2,pos,4-5-6,large&sparse-small&dense-small&sparse,7.41-1.88-6.70,1,5-4-6,18.796
A18IBIG55GUNMH,26,3,1,num,3-6-4,small&sparse-large&sparse-small&dense,9.97-4.93-1.65,1,3-4-6,18.087
A18IBIG55GUNMH,24,1,1,num,4-6,0-small&sparse,4.93-7.52,0,2-6,16.169
