userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1FR4S8V4MNRVM,0,1,2,pos,3-4,small&dense-small&sparse,17.00-7.21,1,3-4,25.492
A1FR4S8V4MNRVM,27,4,1,num,5,small&sparse,19.99,1,5,21.111
A1FR4S8V4MNRVM,12,1,0,pos,6,large&dense,11.78,1,6,14.247
A1FR4S8V4MNRVM,21,4,2,num,1,small&sparse,29.68,1,1,34.365
A1FR4S8V4MNRVM,29,0,1,num,4,small&sparse,9.67,1,4,11.082
A1FR4S8V4MNRVM,15,4,0,pos,7,small&sparse,35.13,1,7,36.809
A1FR4S8V4MNRVM,60,-1,2,center position,5,small&dense,3.01,1,5,6.179
A1FR4S8V4MNRVM,34,5,0,num,7-5-2,large&dense-large&dense-0,20.31-13.42-17.84,0,5-7-6,52.752
A1FR4S8V4MNRVM,1,2,2,pos,2,small&sparse,17.28,1,2,19.677
A1FR4S8V4MNRVM,20,3,2,num,4-7,small&dense-large&dense,6.05-6.14,1,4-7,22.73
A1FR4S8V4MNRVM,7,2,1,pos,7-3-5,small&sparse-large&sparse-small&sparse,5.82-8.02-27.53,1,5-3-7,42.597
A1FR4S8V4MNRVM,5,0,2,pos,0-3,large&dense-small&sparse,9.02-12.43,1,0-3,25.073
A1FR4S8V4MNRVM,10,5,1,pos,7-3,small&dense-large&dense,3.97-4.65,1,7-3,9.709
A1FR4S8V4MNRVM,10,5,1,pos,7-3,small&dense-large&dense,3.97-4.65,1,7-3,11.596
A1FR4S8V4MNRVM,13,2,0,pos,5-0-3,large&dense-large&sparse-small&dense,6.24-2.92-7.18,1,3-5-0,17.538
A1FR4S8V4MNRVM,14,3,0,pos,1-6-7,0-small&sparse-large&dense,15.93-4.67-15.80,0,6-5-7,42.512
A1FR4S8V4MNRVM,32,-1,2,shape,4,large&dense,9.03,1,4,10.98
A1FR4S8V4MNRVM,22,5,2,num,0-7,large&sparse-small&sparse,11.11-10.98,1,0-7,23.298
A1FR4S8V4MNRVM,62,-1,2,center position,4,large&dense,4.53,1,4,5.872
A1FR4S8V4MNRVM,23,0,2,num,0-6-7,large&dense-large&dense-0,3.67-6.22-28.15,0,3-6-0,39.516
A1FR4S8V4MNRVM,17,0,0,pos,0-5,small&dense-small&sparse,2.65-10.76,1,0-5,14.438
A1FR4S8V4MNRVM,8,3,1,pos,1-6,large&dense-large&sparse,4.62-14.16,1,1-6,30.782
A1FR4S8V4MNRVM,35,0,0,num,6-1-5,small&dense-0-large&sparse,24.94-9.01-17.20,0,6-5-0,52.735
A1FR4S8V4MNRVM,3,4,2,pos,7,small&sparse,43.17,1,7,45.116
A1FR4S8V4MNRVM,33,4,0,num,3,0,43.68,0,5,51.653
A1FR4S8V4MNRVM,9,4,1,pos,1,small&dense,6.31,1,1,7.863
A1FR4S8V4MNRVM,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.13-1.77-10.50,1,0-2-6,18.328
A1FR4S8V4MNRVM,3,-1,2,point number,1,large&dense,15.61,1,1,16.711
A1FR4S8V4MNRVM,6,1,1,pos,2,small&dense,4.72,1,2,6.809
A1FR4S8V4MNRVM,28,5,1,num,0-2-5,small&dense-small&sparse-small&sparse,3.17-6.63-40.17,1,0-2-5,51.146
A1FR4S8V4MNRVM,18,1,2,num,2-7-5,small&dense-small&dense-small&sparse,2.94-2.90-4.51,1,7-2-5,11.667
A1FR4S8V4MNRVM,11,0,1,pos,0-1-6,large&sparse-small&dense-small&dense,6.33-4.80-5.54,1,6-1-0,17.855
A1FR4S8V4MNRVM,30,1,0,num,5-0,small&dense-small&dense,8.21-24.90,1,5-0,34.227
A1FR4S8V4MNRVM,19,2,2,num,3,small&dense,27.49,1,3,28.444
A1FR4S8V4MNRVM,25,2,1,num,0-1,large&sparse-small&sparse,8.22-6.61,1,1-0,16.261
A1FR4S8V4MNRVM,31,2,0,num,7-6,0-large&sparse,32.53-6.05,0,6-5,39.832
A1FR4S8V4MNRVM,32,3,0,num,7,small&sparse,12.87,1,7,15.003
A1FR4S8V4MNRVM,16,5,0,pos,0-1,small&dense-small&sparse,8.11-23.08,1,1-0,32.4
A1FR4S8V4MNRVM,2,3,2,pos,4-5-6,large&sparse-small&dense-small&sparse,5.82-18.99-2.18,1,5-4-6,28.319
A1FR4S8V4MNRVM,26,3,1,num,4-6-3,small&dense-large&sparse-small&sparse,5.09-7.27-42.66,1,3-4-6,56.127
A1FR4S8V4MNRVM,24,1,1,num,2-6,small&dense-small&sparse,6.20-4.46,1,2-6,12.602
