userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2WV4ZZCI7982H,0,1,2,pos,3-4,small&dense-small&sparse,16.65-15.05,1,3-4,36.62
A2WV4ZZCI7982H,27,4,1,num,1,0,30.50,0,5,60
A2WV4ZZCI7982H,12,1,0,pos,6,large&dense,1.87,1,6,31.822
A2WV4ZZCI7982H,21,4,2,num,1,small&sparse,11.28,1,1,12.299
A2WV4ZZCI7982H,29,0,1,num,4,small&sparse,3.11,1,4,31.879
A2WV4ZZCI7982H,15,4,0,pos,7,small&sparse,24.50,1,7,26.48
A2WV4ZZCI7982H,60,-1,2,center position,5,small&dense,4.66,1,5,7.009
A2WV4ZZCI7982H,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,25.83-12.41-10.88,1,5-7-6,56.457
A2WV4ZZCI7982H,1,2,2,pos,2,small&sparse,5.97,1,2,8.901
A2WV4ZZCI7982H,20,3,2,num,7-0,large&dense-0,6.43-29.46,0,4-7,45.561
A2WV4ZZCI7982H,7,2,1,pos,5-3-7,small&sparse-large&sparse-small&sparse,5.31-3.70-16.77,1,5-3-7,28.331
A2WV4ZZCI7982H,5,0,2,pos,0-5,large&dense-0,2.61-20.52,0,0-3,24.697
A2WV4ZZCI7982H,10,5,1,pos,3-7,large&dense-small&dense,3.84-4.91,1,7-3,9.679
A2WV4ZZCI7982H,13,2,0,pos,7-0-6,0-large&sparse-0,8.52-0.85-8.98,0,3-5-0,20.093
A2WV4ZZCI7982H,14,3,0,pos,5-7-1,large&dense-large&dense-0,5.33-5.67-1.53,0,6-5-7,26.785
A2WV4ZZCI7982H,32,-1,2,shape,4,large&dense,3.56,1,4,15.675
A2WV4ZZCI7982H,22,5,2,num,0-7,large&sparse-small&sparse,7.47-5.39,1,0-7,21.165
A2WV4ZZCI7982H,62,-1,2,center position,4,large&dense,2.73,1,4,5.757
A2WV4ZZCI7982H,23,0,2,num,7-0-2,0-large&dense-0,4.48-3.86-2.57,0,3-6-0,16.723
A2WV4ZZCI7982H,17,0,0,pos,0-5,small&dense-small&sparse,18.11-8.70,1,0-5,29.041
A2WV4ZZCI7982H,8,3,1,pos,1-6,large&dense-large&sparse,4.63-5.95,1,1-6,12.453
A2WV4ZZCI7982H,35,0,0,num,3-0-1,0-small&sparse-0,11.44-3.51-3.37,0,6-5-0,48.921
A2WV4ZZCI7982H,3,4,2,pos,7,small&sparse,4.34,1,7,6.74
A2WV4ZZCI7982H,33,4,0,num,5,small&sparse,14.76,1,5,16.496
A2WV4ZZCI7982H,9,4,1,pos,1,small&dense,4.38,1,1,9.247
A2WV4ZZCI7982H,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.31-2.70-1.47,1,0-2-6,7.976
A2WV4ZZCI7982H,3,-1,2,point number,1,large&dense,8.01,1,1,10.745
A2WV4ZZCI7982H,6,1,1,pos,2,small&dense,5.09,1,2,6.88
A2WV4ZZCI7982H,28,5,1,num,0-5-2,small&dense-small&sparse-small&sparse,2.31-10.53-4.99,1,0-2-5,19.967
A2WV4ZZCI7982H,18,1,2,num,7-2-5,small&dense-small&dense-small&sparse,5.99-1.74-10.92,1,7-2-5,24.571
A2WV4ZZCI7982H,11,0,1,pos,6-5-1,small&dense-0-small&dense,5.95-1.96-4.18,0,6-1-0,14.146
A2WV4ZZCI7982H,30,1,0,num,5-7,small&dense-0,9.87-16.68,0,5-0,28.283
A2WV4ZZCI7982H,19,2,2,num,3,small&dense,4.19,1,3,6.359
A2WV4ZZCI7982H,25,2,1,num,1-0,small&sparse-large&sparse,3.13-3.64,1,1-0,10.046
A2WV4ZZCI7982H,31,2,0,num,5-6,large&dense-large&sparse,10.88-13.06,1,6-5,26.459
A2WV4ZZCI7982H,32,3,0,num,7,small&sparse,4.45,1,7,10.71
A2WV4ZZCI7982H,16,5,0,pos,0-1,small&dense-small&sparse,3.78-6.70,1,1-0,12.383
A2WV4ZZCI7982H,2,3,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.67-2.25-2.69,1,5-4-6,13.488
A2WV4ZZCI7982H,26,3,1,num,4-6-0,small&dense-large&sparse-0,3.36-7.31-3.13,0,3-4-6,15.794
A2WV4ZZCI7982H,24,1,1,num,2-6,small&dense-small&sparse,5.76-4.34,1,2-6,11.893
