userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A37P8UZ3SAKM7A,0,1,2,pos,3-4,small&dense-small&sparse,14.90-8.23,1,3-4,24.832
A37P8UZ3SAKM7A,27,4,1,num,5,small&sparse,25.74,1,5,27.203
A37P8UZ3SAKM7A,12,1,0,pos,6,large&dense,27.63,1,6,28.982
A37P8UZ3SAKM7A,21,4,2,num,1,small&sparse,19.75,1,1,21.041
A37P8UZ3SAKM7A,29,0,1,num,1,0,32.01,0,4,37.571
A37P8UZ3SAKM7A,15,4,0,pos,,0,,0,7,60
A37P8UZ3SAKM7A,60,-1,2,center position,5,small&dense,3.54,1,5,8.448
A37P8UZ3SAKM7A,34,5,0,num,7-6,large&dense-small&sparse,38.71-13.06,0,5-7-6,60
A37P8UZ3SAKM7A,1,2,2,pos,2,small&sparse,7.38,1,2,8.658
A37P8UZ3SAKM7A,20,3,2,num,7-4,large&dense-small&dense,14.28-11.85,1,4-7,27.627
A37P8UZ3SAKM7A,7,2,1,pos,7-5-3,small&sparse-small&sparse-large&sparse,4.51-3.26-5.88,1,5-3-7,14.886
A37P8UZ3SAKM7A,5,0,2,pos,0-5,large&dense-0,3.45-24.65,0,0-3,29.22
A37P8UZ3SAKM7A,10,5,1,pos,3-7,large&dense-small&dense,4.10-19.05,1,7-3,24.55
A37P8UZ3SAKM7A,13,2,0,pos,2-1-0,0-0-large&sparse,7.29-1.11-3.06,0,3-5-0,12.601
A37P8UZ3SAKM7A,14,3,0,pos,5-7-1,large&dense-large&dense-0,8.75-11.49-1.58,0,6-5-7,23.158
A37P8UZ3SAKM7A,32,-1,2,shape,4,large&dense,5.52,1,4,6.746
A37P8UZ3SAKM7A,22,5,2,num,7-0,small&sparse-large&sparse,6.38-15.51,1,0-7,23.179
A37P8UZ3SAKM7A,62,-1,2,center position,4,large&dense,4.61,1,4,5.803
A37P8UZ3SAKM7A,23,0,2,num,3-7-0,small&sparse-0-large&dense,6.16-8.44-2.79,0,3-6-0,18.734
A37P8UZ3SAKM7A,17,0,0,pos,0-5,small&dense-small&sparse,7.29-9.93,1,0-5,18.256
A37P8UZ3SAKM7A,8,3,1,pos,1-3,large&dense-0,11.08-21.84,0,1-6,34.601
A37P8UZ3SAKM7A,8,3,1,pos,1-3,large&dense-0,11.08-21.84,0,1-6,35.447
A37P8UZ3SAKM7A,35,0,0,num,0,small&sparse,15.91,0,6-5-0,60
A37P8UZ3SAKM7A,3,4,2,pos,7,small&sparse,6.13,1,7,7.562
A37P8UZ3SAKM7A,33,4,0,num,5,small&sparse,13.07,1,5,17.845
A37P8UZ3SAKM7A,9,4,1,pos,1,small&dense,3.96,1,1,11.911
A37P8UZ3SAKM7A,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,5.21-6.25-7.26,1,0-2-6,20.001
A37P8UZ3SAKM7A,3,-1,2,point number,1,large&dense,8.83,1,1,9.731
A37P8UZ3SAKM7A,6,1,1,pos,2,small&dense,6.00,1,2,7.134
A37P8UZ3SAKM7A,28,5,1,num,0-1-5,small&dense-0-small&sparse,4.56-7.21-23.18,0,0-2-5,36.346
A37P8UZ3SAKM7A,18,1,2,num,5-2-7,small&sparse-small&dense-small&dense,7.99-8.28-2.00,1,7-2-5,19.19
A37P8UZ3SAKM7A,11,0,1,pos,6-1-0,small&dense-small&dense-large&sparse,4.35-4.00-4.84,1,6-1-0,14.188
A37P8UZ3SAKM7A,30,1,0,num,5-1,small&dense-0,7.30-23.94,0,5-0,32.734
A37P8UZ3SAKM7A,19,2,2,num,3,small&dense,3.24,1,3,4.33
A37P8UZ3SAKM7A,25,2,1,num,1-6,small&sparse-0,8.34-12.66,0,1-0,21.957
A37P8UZ3SAKM7A,31,2,0,num,0-5,0-large&dense,11.00-10.68,0,6-5,22.743
A37P8UZ3SAKM7A,32,3,0,num,1,0,19.78,0,7,20.895
A37P8UZ3SAKM7A,16,5,0,pos,0-2,small&dense-0,2.49-12.16,0,1-0,15.795
A37P8UZ3SAKM7A,2,3,2,pos,4-5-6,large&sparse-small&dense-small&sparse,3.00-3.02-3.02,1,5-4-6,10.093
A37P8UZ3SAKM7A,26,3,1,num,4-6-1,small&dense-large&sparse-0,5.65-20.98-15.66,0,3-4-6,43.739
A37P8UZ3SAKM7A,24,1,1,num,2-6,small&dense-small&sparse,12.04-3.64,1,2-6,16.618
