userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A38OPVI04AH4JG,0,1,2,pos,3-5,small&dense-0,5.34-4.17,0,3-4,10.569
A38OPVI04AH4JG,27,4,1,num,5,small&sparse,12.21,1,5,13.265
A38OPVI04AH4JG,12,1,0,pos,6,large&dense,3.35,1,6,8.389
A38OPVI04AH4JG,21,4,2,num,1,small&sparse,7.25,1,1,8.339
A38OPVI04AH4JG,29,0,1,num,4,small&sparse,6.02,1,4,7.014
A38OPVI04AH4JG,15,4,0,pos,0,0,7.27,0,7,8.781
A38OPVI04AH4JG,60,-1,2,center position,5,small&dense,3.31,1,5,4.438
A38OPVI04AH4JG,34,5,0,num,6-7-5,small&sparse-large&dense-large&dense,10.80-2.31-0.83,1,5-7-6,14.918
A38OPVI04AH4JG,1,2,2,pos,0,0,4.56,0,2,5.564
A38OPVI04AH4JG,20,3,2,num,5-3,0-0,5.48-5.55,0,4-7,12.399
A38OPVI04AH4JG,7,2,1,pos,5-2-4,small&sparse-0-0,5.83-2.96-0.82,0,5-3-7,10.576
A38OPVI04AH4JG,5,0,2,pos,0-4,large&dense-0,1.06-0.59,0,0-3,2.642
A38OPVI04AH4JG,10,5,1,pos,6-3,0-large&dense,1.17-0.45,0,7-3,3.032
A38OPVI04AH4JG,13,2,0,pos,5-7-2,large&dense-0-0,1.17-0.69-0.93,0,3-5-0,4.118
A38OPVI04AH4JG,14,3,0,pos,7-6-5,large&dense-small&sparse-large&dense,1.27-1.27-1.47,1,6-5-7,5.169
A38OPVI04AH4JG,32,-1,2,shape,4,large&dense,2.89,1,4,3.837
A38OPVI04AH4JG,22,5,2,num,4-1,0-0,8.32-3.12,0,0-7,12.562
A38OPVI04AH4JG,62,-1,2,center position,4,large&dense,2.34,1,4,3.318
A38OPVI04AH4JG,23,0,2,num,0-5-6,large&dense-0-large&dense,6.21-2.10-0.82,0,3-6-0,10.058
A38OPVI04AH4JG,17,0,0,pos,0-4,small&dense-0,1.39-0.43,0,0-5,2.674
A38OPVI04AH4JG,8,3,1,pos,4-0,0-0,1.07-0.50,0,1-6,2.421
A38OPVI04AH4JG,35,0,0,num,5-1-3,large&sparse-0-0,1.19-1.88-4.72,0,6-5-0,9.692
A38OPVI04AH4JG,3,4,2,pos,7,small&sparse,4.75,1,7,5.734
A38OPVI04AH4JG,33,4,0,num,0,0,7.84,0,5,8.881
A38OPVI04AH4JG,9,4,1,pos,1,small&dense,5.37,1,1,6.397
A38OPVI04AH4JG,4,5,2,pos,0-2-6,small&dense-small&dense-small&sparse,2.40-2.21-3.17,1,0-2-6,8.934
A38OPVI04AH4JG,3,-1,2,point number,1,large&dense,7.57,1,1,8.494
A38OPVI04AH4JG,6,1,1,pos,2,small&dense,1.96,1,2,9.876
A38OPVI04AH4JG,28,5,1,num,0-4-6,small&dense-0-0,2.94-5.81-1.65,0,0-2-5,11.605
A38OPVI04AH4JG,18,1,2,num,7-5-6,small&dense-small&sparse-0,4.42-3.61-1.68,0,7-2-5,10.708
A38OPVI04AH4JG,11,0,1,pos,0-1-6,large&sparse-small&dense-small&dense,6.03-2.48-1.93,1,6-1-0,11.405
A38OPVI04AH4JG,30,1,0,num,5-7,small&dense-0,3.96-5.46,0,5-0,11.071
A38OPVI04AH4JG,19,2,2,num,7,0,10.33,0,3,11.453
A38OPVI04AH4JG,25,2,1,num,0-7,large&sparse-0,4.35-4.61,0,1-0,9.808
A38OPVI04AH4JG,31,2,0,num,6-7,large&sparse-0,3.73-1.57,0,6-5,6.411
A38OPVI04AH4JG,32,3,0,num,5,0,5.83,0,7,6.789
A38OPVI04AH4JG,16,5,0,pos,1-0,small&sparse-small&dense,4.02-2.20,1,1-0,7.326
A38OPVI04AH4JG,2,3,2,pos,5-6-4,small&dense-small&sparse-large&sparse,2.80-2.97-2.24,1,5-4-6,9.073
A38OPVI04AH4JG,26,3,1,num,6-4-3,large&sparse-small&dense-small&sparse,4.33-1.35-0.89,1,3-4-6,7.679
A38OPVI04AH4JG,24,1,1,num,2-6,small&dense-small&sparse,3.20-4.04,1,2-6,8.413
