userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A288NRHQNCYYX9,0,2,2,pos,5-3,0-small&dense,6.15-3.37,0,3-4,39.362
A288NRHQNCYYX9,27,5,1,num,5,small&sparse,20.66,1,5,22.009
A288NRHQNCYYX9,12,2,0,pos,6,large&dense,33.28,1,6,37.716
A288NRHQNCYYX9,21,5,2,num,1,small&sparse,19.61,1,1,21.704
A288NRHQNCYYX9,29,1,1,num,4,small&sparse,24.73,1,4,26.178
A288NRHQNCYYX9,15,5,0,pos,7,small&sparse,36.62,1,7,37.84
A288NRHQNCYYX9,60,-1,2,center position,5,small&dense,5.08,1,5,6.476
A288NRHQNCYYX9,34,0,0,num,4-7-5,0-large&dense-large&dense,28.94-5.48-1.38,0,5-7-6,37.764
A288NRHQNCYYX9,1,3,2,pos,2,small&sparse,4.06,1,2,9.459
A288NRHQNCYYX9,20,4,2,num,4-3,small&dense-0,12.47-16.48,0,4-7,31.748
A288NRHQNCYYX9,7,3,1,pos,5-4-3,small&sparse-0-large&sparse,3.39-5.43-11.57,0,5-3-7,21.403
A288NRHQNCYYX9,5,1,2,pos,3-0,small&sparse-large&dense,11.43-5.49,1,0-3,18.122
A288NRHQNCYYX9,10,0,1,pos,7-3,small&dense-large&dense,8.47-17.47,1,7-3,26.852
A288NRHQNCYYX9,13,3,0,pos,3-0-5,small&dense-large&sparse-large&dense,5.92-5.53-16.45,1,3-5-0,29.02
A288NRHQNCYYX9,14,4,0,pos,5-3-7,large&dense-0-large&dense,7.50-9.97-5.98,0,6-5-7,24.635
A288NRHQNCYYX9,32,-1,2,shape,4,large&dense,4.36,1,4,5.726
A288NRHQNCYYX9,22,0,2,num,7-5,small&sparse-0,19.68-6.97,0,0-7,27.615
A288NRHQNCYYX9,62,-1,2,center position,2,0,28.64,0,4,29.961
A288NRHQNCYYX9,23,1,2,num,0-6-5,large&dense-large&dense-0,7.87-2.72-19.31,0,3-6-0,32.393
A288NRHQNCYYX9,17,1,0,pos,6-3,0-0,5.74-3.63,0,0-5,11.147
A288NRHQNCYYX9,8,4,1,pos,0-4,0-0,13.02-7.11,0,1-6,21.288
A288NRHQNCYYX9,35,1,0,num,,0,,0,6-5-0,60
A288NRHQNCYYX9,3,5,2,pos,7,small&sparse,3.63,1,7,8.658
A288NRHQNCYYX9,33,5,0,num,,0,,0,5,60
A288NRHQNCYYX9,9,5,1,pos,1,small&dense,16.13,1,1,17.143
A288NRHQNCYYX9,4,0,2,pos,0-2,small&dense-small&dense,5.51-6.04,0,0-2-6,60
A288NRHQNCYYX9,3,-1,2,point number,1,large&dense,3.46,1,1,4.638
A288NRHQNCYYX9,6,2,1,pos,2,small&dense,12.80,1,2,13.845
A288NRHQNCYYX9,28,0,1,num,0-2-1,small&dense-small&sparse-0,5.93-4.25-17.36,0,0-2-5,29.277
A288NRHQNCYYX9,18,2,2,num,2-5-6,small&dense-small&sparse-0,5.64-3.84-4.31,0,7-2-5,15.559
A288NRHQNCYYX9,11,1,1,pos,1-6-0,small&dense-small&dense-large&sparse,5.06-3.98-6.00,1,6-1-0,16.024
A288NRHQNCYYX9,30,2,0,num,,0,,0,5-0,60
A288NRHQNCYYX9,19,3,2,num,3,small&dense,2.94,1,3,4.037
A288NRHQNCYYX9,25,3,1,num,1-0,small&sparse-large&sparse,8.95-3.60,1,1-0,14.092
A288NRHQNCYYX9,31,3,0,num,5-6,large&dense-large&sparse,5.57-10.34,1,6-5,17.425
A288NRHQNCYYX9,32,4,0,num,,0,,0,7,60
A288NRHQNCYYX9,16,0,0,pos,0-7,small&dense-0,3.17-18.56,0,1-0,23.803
A288NRHQNCYYX9,2,4,2,pos,5-4-7,small&dense-large&sparse-0,4.91-14.23-10.75,0,5-4-6,31.29
A288NRHQNCYYX9,26,4,1,num,4,small&dense,8.58,0,3-4-6,60
A288NRHQNCYYX9,24,2,1,num,2,small&dense,4.39,0,2-6,60
