userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2F1AA15HG0FRU,0,2,2,pos,3-4,small&dense-small&sparse,7.98-9.48,1,3-4,18.543
A2F1AA15HG0FRU,27,5,1,num,5,small&sparse,3.01,1,5,4.847
A2F1AA15HG0FRU,12,2,0,pos,6,large&dense,6.51,1,6,10.882
A2F1AA15HG0FRU,21,5,2,num,1,small&sparse,4.55,1,1,8.697
A2F1AA15HG0FRU,29,1,1,num,4,small&sparse,15.73,1,4,19.419
A2F1AA15HG0FRU,15,5,0,pos,7,small&sparse,22.62,1,7,23.83
A2F1AA15HG0FRU,60,-1,2,center position,5,small&dense,5.22,1,5,8.513
A2F1AA15HG0FRU,34,0,0,num,6-5-7,small&sparse-large&dense-large&dense,6.16-14.38-13.48,1,5-7-6,35.734
A2F1AA15HG0FRU,1,3,2,pos,2,small&sparse,3.05,1,2,4.079
A2F1AA15HG0FRU,20,4,2,num,4-7,small&dense-large&dense,8.56-3.15,1,4-7,14.503
A2F1AA15HG0FRU,7,3,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,6.04-3.71-6.49,1,5-3-7,17.805
A2F1AA15HG0FRU,5,1,2,pos,0-3,large&dense-small&sparse,2.21-5.88,1,0-3,9.126
A2F1AA15HG0FRU,10,0,1,pos,3-7,large&dense-small&dense,3.25-3.28,1,7-3,8.582
A2F1AA15HG0FRU,13,3,0,pos,5-3-0,large&dense-small&dense-large&sparse,3.96-3.52-5.76,1,3-5-0,16.913
A2F1AA15HG0FRU,14,4,0,pos,5-6-7,large&dense-small&sparse-large&dense,6.22-10.09-9.93,1,6-5-7,27.257
A2F1AA15HG0FRU,32,-1,2,shape,4,large&dense,8.00,1,4,9.172
A2F1AA15HG0FRU,22,0,2,num,7-0,small&sparse-large&sparse,16.25-5.28,1,0-7,23.241
A2F1AA15HG0FRU,62,-1,2,center position,4,large&dense,2.31,1,4,3.311
A2F1AA15HG0FRU,23,1,2,num,0-6-3,large&dense-large&dense-small&sparse,5.25-2.14-9.02,1,3-6-0,17.603
A2F1AA15HG0FRU,17,1,0,pos,0-6,small&dense-0,7.93-32.17,0,0-5,41.535
A2F1AA15HG0FRU,8,4,1,pos,1-6,large&dense-large&sparse,4.85-8.96,1,1-6,15.368
A2F1AA15HG0FRU,35,1,0,num,6,small&dense,17.25,0,6-5-0,60
A2F1AA15HG0FRU,3,5,2,pos,7,small&sparse,4.81,1,7,5.82
A2F1AA15HG0FRU,33,5,0,num,5,small&sparse,5.35,1,5,7.741
A2F1AA15HG0FRU,9,5,1,pos,1,small&dense,2.20,1,1,4.604
A2F1AA15HG0FRU,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.75-3.01-4.03,1,0-2-6,14.98
A2F1AA15HG0FRU,3,-1,2,point number,1,large&dense,9.21,1,1,10.381
A2F1AA15HG0FRU,6,2,1,pos,2,small&dense,2.99,1,2,4.227
A2F1AA15HG0FRU,28,0,1,num,2-0-5,small&sparse-small&dense-small&sparse,3.51-9.06-11.61,1,0-2-5,25.703
A2F1AA15HG0FRU,18,2,2,num,2-7-5,small&dense-small&dense-small&sparse,4.93-2.42-2.91,1,7-2-5,11.776
A2F1AA15HG0FRU,11,1,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.11-3.37-7.97,1,6-1-0,15.513
A2F1AA15HG0FRU,30,2,0,num,5-0,small&dense-small&dense,7.05-23.41,1,5-0,32.306
A2F1AA15HG0FRU,19,3,2,num,3,small&dense,2.96,1,3,4.159
A2F1AA15HG0FRU,25,3,1,num,1-0,small&sparse-large&sparse,6.03-9.19,1,1-0,16.308
A2F1AA15HG0FRU,31,3,0,num,6-5,large&sparse-large&dense,23.84-25.25,1,6-5,50.332
A2F1AA15HG0FRU,32,4,0,num,,0,,0,7,60
A2F1AA15HG0FRU,16,0,0,pos,0-1,small&dense-small&sparse,6.33-15.70,1,1-0,23.105
A2F1AA15HG0FRU,2,4,2,pos,5-4-6,small&dense-large&sparse-small&sparse,3.37-5.42-20.80,1,5-4-6,35.491
A2F1AA15HG0FRU,26,4,1,num,4-3-6,small&dense-small&sparse-large&sparse,3.72-4.05-10.13,1,3-4-6,19.973
A2F1AA15HG0FRU,24,2,1,num,2-6,small&dense-small&sparse,9.83-4.07,1,2-6,15.101
