userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2WWYVKGZZXBOB,0,2,2,pos,3-4,small&dense-small&sparse,6.34-11.86,1,3-4,19.372
A2WWYVKGZZXBOB,27,5,1,num,5,small&sparse,17.84,1,5,18.861
A2WWYVKGZZXBOB,12,2,0,pos,6,large&dense,18.09,1,6,19.212
A2WWYVKGZZXBOB,12,2,0,pos,6,large&dense,18.09,1,6,20.153
A2WWYVKGZZXBOB,21,5,2,num,1,small&sparse,19.90,1,1,20.949
A2WWYVKGZZXBOB,29,1,1,num,4,small&sparse,27.13,1,4,28.065
A2WWYVKGZZXBOB,15,5,0,pos,7,small&sparse,10.83,1,7,12.016
A2WWYVKGZZXBOB,60,-1,2,center position,5,small&dense,2.44,1,5,5.222
A2WWYVKGZZXBOB,34,0,0,num,7-5-1,large&dense-large&dense-0,17.26-13.41-3.11,0,5-7-6,35.167
A2WWYVKGZZXBOB,1,3,2,pos,2,small&sparse,3.86,1,2,5.14
A2WWYVKGZZXBOB,20,4,2,num,7-2,large&dense-0,11.55-19.15,0,4-7,31.891
A2WWYVKGZZXBOB,7,3,1,pos,5-3-2,small&sparse-large&sparse-0,9.40-14.08-2.27,0,5-3-7,26.656
A2WWYVKGZZXBOB,5,1,2,pos,0-3,large&dense-small&sparse,4.72-6.05,1,0-3,11.654
A2WWYVKGZZXBOB,10,0,1,pos,3-7,large&dense-small&dense,5.84-5.30,1,7-3,12.14
A2WWYVKGZZXBOB,13,3,0,pos,5-0-3,large&dense-large&sparse-small&dense,5.43-5.07-2.38,1,3-5-0,14.102
A2WWYVKGZZXBOB,14,4,0,pos,5-7-3,large&dense-large&dense-0,4.58-3.33-6.71,0,6-5-7,15.586
A2WWYVKGZZXBOB,32,-1,2,shape,4,large&dense,4.18,1,4,5.083
A2WWYVKGZZXBOB,22,0,2,num,0-7,large&sparse-small&sparse,8.78-24.11,1,0-7,34.429
A2WWYVKGZZXBOB,62,-1,2,center position,4,large&dense,1.96,1,4,3.626
A2WWYVKGZZXBOB,23,1,2,num,0-6-1,large&dense-large&dense-0,6.29-5.83-6.09,0,3-6-0,19.127
A2WWYVKGZZXBOB,17,1,0,pos,0-2,small&dense-0,2.56-13.31,0,0-5,18.815
A2WWYVKGZZXBOB,8,4,1,pos,6-1,large&sparse-large&dense,6.08-5.66,1,1-6,12.693
A2WWYVKGZZXBOB,35,1,0,num,,0,,0,6-5-0,60
A2WWYVKGZZXBOB,3,5,2,pos,7,small&sparse,2.50,1,7,3.495
A2WWYVKGZZXBOB,33,5,0,num,5,small&sparse,13.80,1,5,14.951
A2WWYVKGZZXBOB,9,5,1,pos,1,small&dense,2.33,1,1,3.427
A2WWYVKGZZXBOB,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,3.99-8.87-10.85,1,0-2-6,24.605
A2WWYVKGZZXBOB,3,-1,2,point number,1,large&dense,17.55,1,1,19.093
A2WWYVKGZZXBOB,6,2,1,pos,2,small&dense,2.92,1,2,3.935
A2WWYVKGZZXBOB,28,0,1,num,0-5-6,small&dense-small&sparse-0,12.09-7.96-4.20,0,0-2-5,25.376
A2WWYVKGZZXBOB,18,2,2,num,5-7-2,small&sparse-small&dense-small&dense,2.49-5.67-4.02,1,7-2-5,13.205
A2WWYVKGZZXBOB,11,1,1,pos,6-1-0,small&dense-small&dense-large&sparse,3.94-2.10-1.73,1,6-1-0,8.638
A2WWYVKGZZXBOB,30,2,0,num,,0,,0,5-0,60
A2WWYVKGZZXBOB,19,3,2,num,3,small&dense,13.97,1,3,14.958
A2WWYVKGZZXBOB,25,3,1,num,0-1,large&sparse-small&sparse,21.33-5.24,1,1-0,27.607
A2WWYVKGZZXBOB,31,3,0,num,,0,,0,6-5,60
A2WWYVKGZZXBOB,32,4,0,num,7,small&sparse,10.50,1,7,11.601
A2WWYVKGZZXBOB,16,0,0,pos,1-0,small&sparse-small&dense,6.26-3.36,1,1-0,10.486
A2WWYVKGZZXBOB,2,4,2,pos,4-6-5,large&sparse-small&sparse-small&dense,4.21-5.45-4.17,1,5-4-6,14.63
A2WWYVKGZZXBOB,26,4,1,num,4-6-1,small&dense-large&sparse-0,5.76-6.87-15.61,0,3-4-6,29.127
A2WWYVKGZZXBOB,24,2,1,num,2,small&dense,11.95,0,2-6,60
