userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
AISOY7VBQC8FS,0,2,2,pos,3-7,small&dense-0,9.02-15.05,0,3-4,25.743
AISOY7VBQC8FS,27,5,1,num,5,small&sparse,5.07,1,5,6.746
AISOY7VBQC8FS,12,2,0,pos,6,large&dense,5.62,1,6,18.243
AISOY7VBQC8FS,21,5,2,num,1,small&sparse,9.43,1,1,11.457
AISOY7VBQC8FS,29,1,1,num,6,0,15.73,0,4,37.234
AISOY7VBQC8FS,15,5,0,pos,7,small&sparse,4.78,1,7,7.855
AISOY7VBQC8FS,60,-1,2,center position,5,small&dense,4.78,1,5,6.242
AISOY7VBQC8FS,34,0,0,num,7-0-3,large&dense-0-0,12.41-24.39-15.36,0,5-7-6,54.023
AISOY7VBQC8FS,1,3,2,pos,2,small&sparse,5.43,1,2,7.388
AISOY7VBQC8FS,20,4,2,num,7-4,large&dense-small&dense,8.10-3.47,1,4-7,12.768
AISOY7VBQC8FS,7,3,1,pos,5-7-3,small&sparse-small&sparse-large&sparse,3.38-2.57-2.76,1,5-3-7,20.911
AISOY7VBQC8FS,5,1,2,pos,0-3,large&dense-small&sparse,3.67-29.90,1,0-3,35.287
AISOY7VBQC8FS,10,0,1,pos,3-7,large&dense-small&dense,2.06-3.64,1,7-3,7.509
AISOY7VBQC8FS,13,3,0,pos,5-0-3,large&dense-large&sparse-small&dense,4.56-4.51-2.77,1,3-5-0,13.915
AISOY7VBQC8FS,14,4,0,pos,7-6-5,large&dense-small&sparse-large&dense,4.68-4.69-4.34,1,6-5-7,16.147
AISOY7VBQC8FS,32,-1,2,shape,4,large&dense,8.26,1,4,9.712
AISOY7VBQC8FS,22,0,2,num,7-0,small&sparse-large&sparse,10.11-4.59,1,0-7,18.814
AISOY7VBQC8FS,62,-1,2,center position,4,large&dense,2.29,1,4,5.996
AISOY7VBQC8FS,23,1,2,num,0-6-3,large&dense-large&dense-small&sparse,6.01-7.85-5.62,1,3-6-0,23.623
AISOY7VBQC8FS,17,1,0,pos,0-4,small&dense-0,3.21-4.39,0,0-5,28.33
AISOY7VBQC8FS,8,4,1,pos,6-1,large&sparse-large&dense,5.47-6.74,1,1-6,13.684
AISOY7VBQC8FS,35,1,0,num,0-4-1,small&sparse-0-0,18.84-7.08-22.34,0,6-5-0,52.852
AISOY7VBQC8FS,3,5,2,pos,7,small&sparse,4.21,1,7,5.82
AISOY7VBQC8FS,33,5,0,num,5,small&sparse,17.97,1,5,19.747
AISOY7VBQC8FS,9,5,1,pos,1,small&dense,4.71,1,1,6.697
AISOY7VBQC8FS,4,0,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.43-3.19-4.99,1,0-2-6,18.549
AISOY7VBQC8FS,3,-1,2,point number,1,large&dense,20.09,1,1,21.736
AISOY7VBQC8FS,6,2,1,pos,2,small&dense,9.73,1,2,12.286
AISOY7VBQC8FS,28,0,1,num,2-0-4,small&sparse-small&dense-0,4.98-5.89-32.27,0,0-2-5,45.71
AISOY7VBQC8FS,18,2,2,num,5-2-7,small&sparse-small&dense-small&dense,5.49-4.09-2.42,1,7-2-5,31.887
AISOY7VBQC8FS,11,1,1,pos,5-6-1,0-small&dense-small&dense,4.67-2.45-7.55,0,6-1-0,16.483
AISOY7VBQC8FS,30,2,0,num,5-0,small&dense-small&dense,13.72-1.82,1,5-0,38.44
AISOY7VBQC8FS,19,3,2,num,3,small&dense,9.62,1,3,11.591
AISOY7VBQC8FS,25,3,1,num,1-0,small&sparse-large&sparse,6.91-13.51,1,1-0,21.688
AISOY7VBQC8FS,31,3,0,num,5-4,large&dense-0,16.11-21.05,0,6-5,38.683
AISOY7VBQC8FS,32,4,0,num,2,0,49.55,0,7,51.219
AISOY7VBQC8FS,16,0,0,pos,0-3,small&dense-0,6.83-2.17,0,1-0,10.405
AISOY7VBQC8FS,2,4,2,pos,4-6-5,large&sparse-small&sparse-small&dense,6.29-4.95-1.08,1,5-4-6,13.389
AISOY7VBQC8FS,26,4,1,num,6-3-4,large&sparse-small&sparse-small&dense,9.73-3.73-1.56,1,3-4-6,25.93
AISOY7VBQC8FS,24,2,1,num,2-6,small&dense-small&sparse,14.78-5.11,1,2-6,22.273
