userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1LL63N32LV7K2,0,3,2,pos,3-4,small&dense-small&sparse,16.75-4.66,1,3-4,24.872
A1LL63N32LV7K2,27,0,1,num,5,small&sparse,21.25,1,5,23.615
A1LL63N32LV7K2,12,3,0,pos,6,large&dense,5.61,1,6,7.898
A1LL63N32LV7K2,21,0,2,num,1,small&sparse,29.71,1,1,31.981
A1LL63N32LV7K2,29,2,1,num,,0,,0,4,60
A1LL63N32LV7K2,15,0,0,pos,7,small&sparse,27.49,1,7,31.738
A1LL63N32LV7K2,60,-1,2,center position,5,small&dense,2.63,1,5,6.412
A1LL63N32LV7K2,34,1,0,num,7,large&dense,47.07,0,5-7-6,60
A1LL63N32LV7K2,1,4,2,pos,2,small&sparse,11.90,1,2,14.43
A1LL63N32LV7K2,20,5,2,num,4-7,small&dense-large&dense,9.17-3.61,1,4-7,36.629
A1LL63N32LV7K2,7,4,1,pos,3-7-5,large&sparse-small&sparse-small&sparse,3.68-3.85-3.73,1,5-3-7,13.381
A1LL63N32LV7K2,5,2,2,pos,0-3,large&dense-small&sparse,3.23-7.18,1,0-3,12.115
A1LL63N32LV7K2,10,1,1,pos,3-7,large&dense-small&dense,5.25-5.02,1,7-3,11.727
A1LL63N32LV7K2,13,4,0,pos,5-3-0,large&dense-small&dense-large&sparse,4.92-7.60-22.93,1,3-5-0,37.433
A1LL63N32LV7K2,14,5,0,pos,6-7-2,small&sparse-large&dense-0,4.46-2.29-3.76,0,6-5-7,12.976
A1LL63N32LV7K2,32,-1,2,shape,4,large&dense,3.78,1,4,5.427
A1LL63N32LV7K2,22,1,2,num,7-0,small&sparse-large&sparse,14.96-12.46,1,0-7,29.991
A1LL63N32LV7K2,62,-1,2,center position,4,large&dense,3.71,1,4,9.569
A1LL63N32LV7K2,23,2,2,num,0-6-3,large&dense-large&dense-small&sparse,10.50-3.13-2.20,1,3-6-0,17.172
A1LL63N32LV7K2,17,2,0,pos,0-5,small&dense-small&sparse,4.94-15.59,1,0-5,22.8
A1LL63N32LV7K2,8,5,1,pos,1-6,large&dense-large&sparse,8.41-13.54,1,1-6,23.663
A1LL63N32LV7K2,35,2,0,num,6,small&dense,21.38,0,6-5-0,60
A1LL63N32LV7K2,3,0,2,pos,7,small&sparse,9.95,1,7,11.537
A1LL63N32LV7K2,33,0,0,num,5,small&sparse,29.37,1,5,31.771
A1LL63N32LV7K2,9,0,1,pos,1,small&dense,2.28,1,1,11.167
A1LL63N32LV7K2,4,1,2,pos,2-6-0,small&dense-small&sparse-small&dense,7.24-5.03-3.47,1,0-2-6,17.216
A1LL63N32LV7K2,3,-1,2,point number,1,large&dense,23.77,1,1,25.343
A1LL63N32LV7K2,6,3,1,pos,2,small&dense,5.52,1,2,7.106
A1LL63N32LV7K2,28,1,1,num,5-0-2,small&sparse-small&dense-small&sparse,17.35-15.17-15.43,1,0-2-5,49.79
A1LL63N32LV7K2,18,3,2,num,5-2-7,small&sparse-small&dense-small&dense,10.07-1.88-1.03,1,7-2-5,14.564
A1LL63N32LV7K2,11,2,1,pos,0-6-1,large&sparse-small&dense-small&dense,3.35-9.34-3.02,1,6-1-0,17.701
A1LL63N32LV7K2,30,3,0,num,5-0,small&dense-small&dense,6.78-3.12,1,5-0,26.477
A1LL63N32LV7K2,19,4,2,num,3,small&dense,7.89,1,3,9.335
A1LL63N32LV7K2,25,4,1,num,0-1,large&sparse-small&sparse,12.39-3.51,1,1-0,17.475
A1LL63N32LV7K2,31,4,0,num,1-5,0-large&dense,19.80-3.70,0,6-5,25.057
A1LL63N32LV7K2,32,5,0,num,7,small&sparse,53.02,1,7,54.75
A1LL63N32LV7K2,16,1,0,pos,1-0,small&sparse-small&dense,3.58-17.10,1,1-0,22.431
A1LL63N32LV7K2,2,5,2,pos,4-6-5,large&sparse-small&sparse-small&dense,6.84-3.61-15.58,1,5-4-6,27.676
A1LL63N32LV7K2,26,5,1,num,4-3-6,small&dense-small&sparse-large&sparse,17.57-8.40-3.59,1,3-4-6,31.019
A1LL63N32LV7K2,24,3,1,num,6-2,small&sparse-small&dense,11.65-1.00,1,2-6,14.681
