userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A1XGI3R8R3BAVQ,0,3,2,pos,3月4日,small&dense-small&sparse,4.12-4.43,1,3月4日,10.297
A1XGI3R8R3BAVQ,27,0,1,num,5,small&sparse,15.28,1,5,17.172
A1XGI3R8R3BAVQ,12,3,0,pos,6,large&dense,15.4,1,6,17.503
A1XGI3R8R3BAVQ,21,0,2,num,1,small&sparse,7.5,1,1,9.279
A1XGI3R8R3BAVQ,29,2,1,num,4,small&sparse,39.95,1,4,42.815
A1XGI3R8R3BAVQ,15,0,0,pos,7,small&sparse,22.74,1,7,25.259
A1XGI3R8R3BAVQ,60,-1,2,center position,5,small&dense,2.59,1,5,5.774
A1XGI3R8R3BAVQ,34,1,0,num,7-0-6,large&dense-0-small&sparse,31.35-2.16-3.42,0,2005/7/6,59.089
A1XGI3R8R3BAVQ,1,4,2,pos,2,small&sparse,3.9,1,2,25.311
A1XGI3R8R3BAVQ,20,5,2,num,4月7日,small&dense-large&dense,3.79-2.15,1,4月7日,7.616
A1XGI3R8R3BAVQ,7,4,1,pos,2003/5/4,large&sparse-small&sparse-0,8.18-4.67-43.68,0,2005/3/7,58.309
A1XGI3R8R3BAVQ,5,2,2,pos,3-0,small&sparse-large&dense,5.14-2.73,1,0-3,9.524
A1XGI3R8R3BAVQ,10,1,1,pos,3月7日,large&dense-small&dense,2.92-13.76,1,7月3日,18.685
A1XGI3R8R3BAVQ,13,4,0,pos,2000/3/5,large&sparse-small&dense-large&dense,5.11-6.08-10.30,1,3-5-0,23.847
A1XGI3R8R3BAVQ,14,5,0,pos,2007/2/5,large&dense-0-large&dense,6.18-3.42-2.37,0,2006/5/7,13.72
A1XGI3R8R3BAVQ,32,-1,2,shape,4,large&dense,24.04,1,4,26.487
A1XGI3R8R3BAVQ,22,1,2,num,0-3,large&sparse-0,16.71-38.40,0,0-7,57.629
A1XGI3R8R3BAVQ,62,-1,2,center position,4,large&dense,8.23,1,4,10.958
A1XGI3R8R3BAVQ,23,2,2,num,2000/6/3,large&dense-large&dense-small&sparse,6.07-4.56-7.95,1,3-6-0,22.803
A1XGI3R8R3BAVQ,17,2,0,pos,5月6日,small&sparse-0,9.97-33.34,0,0-5,45.041
A1XGI3R8R3BAVQ,8,5,1,pos,4月6日,0-large&sparse,14.91-1.46,0,1月6日,24.674
A1XGI3R8R3BAVQ,35,2,0,num,2005/7/2,large&sparse-0-0,21.56-14.07-5.04,0,6-5-0,43.061
A1XGI3R8R3BAVQ,3,0,2,pos,7,small&sparse,29.48,1,7,31.142
A1XGI3R8R3BAVQ,33,0,0,num,0,0,25.65,0,5,27.993
A1XGI3R8R3BAVQ,9,0,1,pos,1,small&dense,11.26,1,1,13.374
A1XGI3R8R3BAVQ,4,1,2,pos,2000/2/6,small&dense-small&dense-small&sparse,9.61-5.45-2.67,1,2000/2/6,19.766
A1XGI3R8R3BAVQ,3,-1,2,point number,1,large&dense,19.54,1,1,21.328
A1XGI3R8R3BAVQ,6,3,1,pos,2,small&dense,6.52,1,2,8.195
A1XGI3R8R3BAVQ,28,1,1,num,2000/2/5,small&dense-small&sparse-small&sparse,11.51-13.30-9.47,1,2000/2/5,36.42
A1XGI3R8R3BAVQ,18,3,2,num,2007/5/1,small&dense-small&sparse-0,4.27-6.05-39.21,0,2007/2/5,52.268
A1XGI3R8R3BAVQ,11,2,1,pos,2000/6/1,large&sparse-small&dense-small&dense,18.67-3.57-5.20,1,6-1-0,29.11
A1XGI3R8R3BAVQ,30,3,0,num,5月7日,small&dense-0,35.17-11.81,0,5-0,48.902
A1XGI3R8R3BAVQ,19,4,2,num,3,small&dense,27.42,1,3,29.299
A1XGI3R8R3BAVQ,25,4,1,num,0-1,large&sparse-small&sparse,10.70-23.76,1,1-0,36.623
A1XGI3R8R3BAVQ,31,4,0,num,5月6日,large&dense-large&sparse,40.47-7.95,1,6月5日,58.798
A1XGI3R8R3BAVQ,32,5,0,num,7,small&sparse,25.17,1,7,27.942
A1XGI3R8R3BAVQ,16,1,0,pos,0-7,small&dense-0,17.92-21.28,0,1-0,47.999
A1XGI3R8R3BAVQ,2,5,2,pos,2004/6/5,large&sparse-small&sparse-small&dense,6.69-2.90-4.15,1,2005/4/6,15.731
A1XGI3R8R3BAVQ,26,5,1,num,2004/3/6,small&dense-small&sparse-large&sparse,2.90-5.00-30.06,1,2003/4/6,39.778
A1XGI3R8R3BAVQ,24,3,1,num,2月6日,small&dense-small&sparse,2.73-20.41,1,2月6日,24.544
