userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2EADI8XF4T0RP,0,3,2,pos,3-4,small&dense-small&sparse,5.25-5.57,1,3-4,14.808
A2EADI8XF4T0RP,27,0,1,num,5,small&sparse,15.50,1,5,20.747
A2EADI8XF4T0RP,12,3,0,pos,6,large&dense,11.58,1,6,16.703
A2EADI8XF4T0RP,21,0,2,num,2,0,17.77,0,1,22.645
A2EADI8XF4T0RP,29,2,1,num,1,0,15.74,0,4,21.55
A2EADI8XF4T0RP,15,0,0,pos,3,0,18.86,0,7,24.968
A2EADI8XF4T0RP,60,-1,2,center position,5,small&dense,6.17,1,5,11.109
A2EADI8XF4T0RP,34,1,0,num,3-7-5,0-large&dense-large&dense,20.97-2.09-12.58,0,5-7-6,51.731
A2EADI8XF4T0RP,1,4,2,pos,2,small&sparse,7.35,1,2,12.151
A2EADI8XF4T0RP,20,5,2,num,0-5,0-0,10.22-10.49,0,4-7,25.951
A2EADI8XF4T0RP,7,4,1,pos,7-3-5,small&sparse-large&sparse-small&sparse,4.20-2.95-2.90,1,5-3-7,15.039
A2EADI8XF4T0RP,5,2,2,pos,0-3,large&dense-small&sparse,4.14-3.19,1,0-3,13.619
A2EADI8XF4T0RP,10,1,1,pos,3-7,large&dense-small&dense,2.89-7.09,1,7-3,15.414
A2EADI8XF4T0RP,13,4,0,pos,1-3-0,0-small&dense-large&sparse,9.61-6.03-4.69,0,3-5-0,34.614
A2EADI8XF4T0RP,14,5,0,pos,5-1-7,large&dense-0-large&dense,4.38-4.55-1.11,0,6-5-7,15.742
A2EADI8XF4T0RP,32,-1,2,shape,4,large&dense,6.59,1,4,16.889
A2EADI8XF4T0RP,22,1,2,num,0-5,large&sparse-0,8.01-9.21,0,0-7,21.745
A2EADI8XF4T0RP,62,-1,2,center position,4,large&dense,4.42,1,4,11.444
A2EADI8XF4T0RP,23,2,2,num,0-6-7,large&dense-large&dense-0,4.41-4.67-6.43,0,3-6-0,20.871
A2EADI8XF4T0RP,17,2,0,pos,3-0,0-small&dense,11.13-5.41,0,0-5,22.097
A2EADI8XF4T0RP,8,5,1,pos,6-1,large&sparse-large&dense,4.32-5.05,1,1-6,21.142
A2EADI8XF4T0RP,35,2,0,num,3-0-4,0-small&sparse-0,4.71-2.62-7.22,0,6-5-0,20.344
A2EADI8XF4T0RP,3,0,2,pos,7,small&sparse,5.31,1,7,23.722
A2EADI8XF4T0RP,33,0,0,num,0,0,5.53,0,5,24.469
A2EADI8XF4T0RP,9,0,1,pos,1,small&dense,3.37,1,1,8.558
A2EADI8XF4T0RP,4,1,2,pos,0-2-6,small&dense-small&dense-small&sparse,4.70-3.92-3.97,1,0-2-6,18.198
A2EADI8XF4T0RP,3,-1,2,point number,1,large&dense,9.93,1,1,14.667
A2EADI8XF4T0RP,6,3,1,pos,2,small&dense,4.30,1,2,9.303
A2EADI8XF4T0RP,28,1,1,num,0-2-5,small&dense-small&sparse-small&sparse,5.05-7.97-8.84,1,0-2-5,26.525
A2EADI8XF4T0RP,18,3,2,num,7-2-5,small&dense-small&dense-small&sparse,6.06-2.82-4.50,1,7-2-5,18.608
A2EADI8XF4T0RP,11,2,1,pos,6-4-5,small&dense-0-0,6.15-1.78-2.58,0,6-1-0,16.231
A2EADI8XF4T0RP,30,3,0,num,6-1,0-0,13.93-3.35,0,5-0,21.443
A2EADI8XF4T0RP,19,4,2,num,3,small&dense,4.65,1,3,26.698
A2EADI8XF4T0RP,25,4,1,num,0-1,large&sparse-small&sparse,3.94-5.96,1,1-0,13.917
A2EADI8XF4T0RP,31,4,0,num,5-4,large&dense-0,7.69-5.69,0,6-5,18.353
A2EADI8XF4T0RP,32,5,0,num,1,0,9.86,0,7,14.831
A2EADI8XF4T0RP,16,1,0,pos,0-1,small&dense-small&sparse,4.18-5.81,1,1-0,15.166
A2EADI8XF4T0RP,2,5,2,pos,4-5-6,large&sparse-small&dense-small&sparse,3.44-3.16-6.46,1,5-4-6,20.584
A2EADI8XF4T0RP,26,5,1,num,4-3-7,small&dense-small&sparse-0,10.32-3.90-3.30,0,3-4-6,25.038
A2EADI8XF4T0RP,24,3,1,num,2-6,small&dense-small&sparse,7.95-2.20,1,2-6,14.357
