userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A3MPH1VH48QA0A,0,3,2,pos,6-3,0-small&dense,7.33-2.05,0,3-4,20.577
A3MPH1VH48QA0A,27,0,1,num,0,0,19.50,0,5,33.771
A3MPH1VH48QA0A,12,3,0,pos,6,large&dense,16.44,1,6,19.502
A3MPH1VH48QA0A,21,0,2,num,7,0,21.32,0,1,24.79
A3MPH1VH48QA0A,29,2,1,num,1,0,19.93,0,4,23.291
A3MPH1VH48QA0A,15,0,0,pos,0,0,12.51,0,7,15.726
A3MPH1VH48QA0A,60,-1,2,center position,5,small&dense,5.70,1,5,8.204
A3MPH1VH48QA0A,34,1,0,num,0-7-4,0-large&dense-0,10.35-8.76-3.91,0,5-7-6,25.863
A3MPH1VH48QA0A,1,4,2,pos,2,small&sparse,5.99,1,2,29.682
A3MPH1VH48QA0A,20,5,2,num,0-4,0-small&dense,7.38-3.57,0,4-7,13.438
A3MPH1VH48QA0A,7,4,1,pos,3-5-4,large&sparse-small&sparse-0,7.44-4.50-4.89,0,5-3-7,19.074
A3MPH1VH48QA0A,5,2,2,pos,3-0,small&sparse-large&dense,4.28-2.62,1,0-3,8.611
A3MPH1VH48QA0A,10,1,1,pos,3-7,large&dense-small&dense,4.23-5.15,1,7-3,11.187
A3MPH1VH48QA0A,13,4,0,pos,7-0-3,0-large&sparse-small&dense,7.06-11.48-6.73,0,3-5-0,36.234
A3MPH1VH48QA0A,14,5,0,pos,5-3-7,large&dense-0-large&dense,6.42-1.68-4.34,0,6-5-7,15.161
A3MPH1VH48QA0A,32,-1,2,shape,3,0,6.36,0,4,8.459
A3MPH1VH48QA0A,22,1,2,num,5-7,0-small&sparse,8.01-5.86,0,0-7,15.867
A3MPH1VH48QA0A,62,-1,2,center position,4,large&dense,4.96,1,4,6.581
A3MPH1VH48QA0A,23,2,2,num,6-4-0,large&dense-0-large&dense,5.61-6.23-3.03,0,3-6-0,17.289
A3MPH1VH48QA0A,17,2,0,pos,0-5,small&dense-small&sparse,9.32-4.67,1,0-5,20.789
A3MPH1VH48QA0A,8,5,1,pos,1-6,large&dense-large&sparse,4.77-6.14,1,1-6,12.386
A3MPH1VH48QA0A,35,2,0,num,1-0-6,0-small&sparse-small&dense,6.86-11.44-1.20,0,6-5-0,21.292
A3MPH1VH48QA0A,3,0,2,pos,3,0,11.44,0,7,13.229
A3MPH1VH48QA0A,33,0,0,num,2,0,17.84,0,5,19.613
A3MPH1VH48QA0A,9,0,1,pos,1,small&dense,4.24,1,1,8.383
A3MPH1VH48QA0A,4,1,2,pos,2-6-0,small&dense-small&sparse-small&dense,3.58-2.94-2.37,1,0-2-6,10.53
A3MPH1VH48QA0A,3,-1,2,point number,1,large&dense,10.42,1,1,12.953
A3MPH1VH48QA0A,6,3,1,pos,2,small&dense,3.42,1,2,6.478
A3MPH1VH48QA0A,28,1,1,num,0-4-2,small&dense-0-small&sparse,7.49-1.60-3.56,0,0-2-5,30.073
A3MPH1VH48QA0A,18,3,2,num,7-2-5,small&dense-small&dense-small&sparse,4.14-1.51-3.14,1,7-2-5,10.921
A3MPH1VH48QA0A,11,2,1,pos,0-6-7,large&sparse-small&dense-0,3.17-2.48-3.62,0,6-1-0,11.666
A3MPH1VH48QA0A,30,3,0,num,0-5,small&dense-small&dense,8.27-1.42,1,5-0,11.404
A3MPH1VH48QA0A,19,4,2,num,3,small&dense,11.73,1,3,13.351
A3MPH1VH48QA0A,25,4,1,num,0-5,large&sparse-0,5.90-24.52,0,1-0,32.841
A3MPH1VH48QA0A,31,4,0,num,5-4,large&dense-0,6.96-15.33,0,6-5,25.07
A3MPH1VH48QA0A,32,5,0,num,7,small&sparse,1.38,1,7,20.599
A3MPH1VH48QA0A,16,1,0,pos,0-1,small&dense-small&sparse,7.63-5.48,1,1-0,14.813
A3MPH1VH48QA0A,2,5,2,pos,6-5-7,small&sparse-small&dense-0,6.84-1.92-12.43,0,5-4-6,22.976
A3MPH1VH48QA0A,26,5,1,num,3-0-4,small&sparse-0-small&dense,4.52-4.30-4.58,0,3-4-6,15.315
A3MPH1VH48QA0A,24,3,1,num,6-2,small&sparse-small&dense,4.18-1.60,1,2-6,7.976
