userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A25JIII1SB9NEX,0,4,2,pos,3-4,small&dense-small&sparse,5.44-4.39,1,3-4,11.986
A25JIII1SB9NEX,27,1,1,num,5,small&sparse,14.58,1,5,16.418
A25JIII1SB9NEX,12,4,0,pos,6,large&dense,9.24,1,6,10.481
A25JIII1SB9NEX,21,1,2,num,3,0,23.58,0,1,25.41
A25JIII1SB9NEX,29,3,1,num,4,small&sparse,5.67,1,4,7.828
A25JIII1SB9NEX,15,1,0,pos,7,small&sparse,7.08,1,7,8.699
A25JIII1SB9NEX,60,-1,2,center position,5,small&dense,3.46,1,5,5.185
A25JIII1SB9NEX,34,2,0,num,0-2-4,0-0-0,29.41-2.98-3.02,0,5-7-6,60
A25JIII1SB9NEX,1,5,2,pos,2,small&sparse,4.58,1,2,6.407
A25JIII1SB9NEX,20,0,2,num,7-4,large&dense-small&dense,14.33-9.25,1,4-7,24.678
A25JIII1SB9NEX,7,5,1,pos,5-3-7,small&sparse-large&sparse-small&sparse,3.00-2.60-6.40,1,5-3-7,13.744
A25JIII1SB9NEX,5,3,2,pos,0-3,large&dense-small&sparse,3.83-4.99,1,0-3,23.637
A25JIII1SB9NEX,10,2,1,pos,7-3,small&dense-large&dense,6.85-2.81,1,7-3,11.26
A25JIII1SB9NEX,13,5,0,pos,0-3-5,large&sparse-small&dense-large&dense,6.16-2.78-5.07,1,3-5-0,15.219
A25JIII1SB9NEX,14,0,0,pos,7-6-1,large&dense-small&sparse-0,4.22-6.07-5.30,0,6-5-7,16.922
A25JIII1SB9NEX,32,-1,2,shape,4,large&dense,5.90,1,4,7.117
A25JIII1SB9NEX,22,2,2,num,0-7,large&sparse-small&sparse,4.72-8.86,1,0-7,15.038
A25JIII1SB9NEX,62,-1,2,center position,4,large&dense,2.86,1,4,10.731
A25JIII1SB9NEX,23,3,2,num,0-6-3,large&dense-large&dense-small&sparse,2.31-1.83-2.96,1,3-6-0,8.673
A25JIII1SB9NEX,17,3,0,pos,0-5,small&dense-small&sparse,4.11-29.32,1,0-5,40.594
A25JIII1SB9NEX,8,0,1,pos,6-1,large&sparse-large&dense,3.35-2.58,1,1-6,8.277
A25JIII1SB9NEX,35,3,0,num,0-5-3,small&sparse-large&sparse-0,28.66-7.52-17.53,0,6-5-0,55.351
A25JIII1SB9NEX,3,1,2,pos,7,small&sparse,13.37,1,7,15.566
A25JIII1SB9NEX,33,1,0,num,3,0,48.05,0,5,60
A25JIII1SB9NEX,9,1,1,pos,1,small&dense,5.41,1,1,7.696
A25JIII1SB9NEX,4,2,2,pos,0-6-2,small&dense-small&sparse-small&dense,2.57-3.13-1.58,1,0-2-6,8.691
A25JIII1SB9NEX,3,-1,2,point number,1,large&dense,10.10,1,1,11.748
A25JIII1SB9NEX,6,4,1,pos,2,small&dense,7.14,1,2,8.464
A25JIII1SB9NEX,28,2,1,num,0-2-5,small&dense-small&sparse-small&sparse,5.44-5.56-5.59,1,0-2-5,24.219
A25JIII1SB9NEX,18,4,2,num,7-5-2,small&dense-small&sparse-small&dense,6.63-3.27-17.28,1,7-2-5,28.704
A25JIII1SB9NEX,11,3,1,pos,6-0-1,small&dense-large&sparse-small&dense,2.61-2.22-12.40,1,6-1-0,18.661
A25JIII1SB9NEX,30,4,0,num,5-0,small&dense-small&dense,8.97-5.38,1,5-0,15.698
A25JIII1SB9NEX,19,5,2,num,3,small&dense,3.65,1,3,8.073
A25JIII1SB9NEX,25,5,1,num,1-0,small&sparse-large&sparse,5.99-3.80,1,1-0,10.875
A25JIII1SB9NEX,31,5,0,num,6-5,large&sparse-large&dense,10.26-21.42,1,6-5,33.581
A25JIII1SB9NEX,32,0,0,num,7,small&sparse,10.33,1,7,11.585
A25JIII1SB9NEX,16,2,0,pos,1-0,small&sparse-small&dense,3.71-4.41,1,1-0,9.374
A25JIII1SB9NEX,2,0,2,pos,6-4-5,small&sparse-large&sparse-small&dense,5.74-5.87-17.58,1,5-4-6,30.367
A25JIII1SB9NEX,26,0,1,num,4-0-3,small&dense-0-small&sparse,3.76-33.86-10.47,0,3-4-6,49.935
A25JIII1SB9NEX,24,4,1,num,6-2,small&sparse-small&dense,8.93-1.70,1,2-6,35.776
