userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A2WHM23M5NAM4W,0,4,2,pos,3,small&dense,12.47,0,3-4,60
A2WHM23M5NAM4W,27,1,1,num,5-0-4,small&sparse-0-0,17.07-19.42-19.02,0,5,60
A2WHM23M5NAM4W,12,4,0,pos,5,0,6.70,0,6,9.686
A2WHM23M5NAM4W,21,1,2,num,,0,,0,1,60
A2WHM23M5NAM4W,29,3,1,num,4,small&sparse,6.31,1,4,26.936
A2WHM23M5NAM4W,15,1,0,pos,,0,,0,7,60
A2WHM23M5NAM4W,60,-1,2,center position,5,small&dense,9.49,1,5,32.003
A2WHM23M5NAM4W,34,2,0,num,,0,,0,5-7-6,60
A2WHM23M5NAM4W,1,5,2,pos,2,small&sparse,4.67,1,2,8.596
A2WHM23M5NAM4W,20,0,2,num,4,small&dense,8.61,0,4-7,60
A2WHM23M5NAM4W,7,5,1,pos,3-1-5,large&sparse-0-small&sparse,3.77-11.28-5.28,0,5-3-7,27.129
A2WHM23M5NAM4W,5,3,2,pos,0-3,large&dense-small&sparse,11.92-8.71,1,0-3,23.037
A2WHM23M5NAM4W,10,2,1,pos,7-3,small&dense-large&dense,8.43-8.81,1,7-3,19.039
A2WHM23M5NAM4W,13,5,0,pos,7-2-0,0-0-large&sparse,22.90-6.94-29.56,0,3-5-0,60
A2WHM23M5NAM4W,14,0,0,pos,6-2-1,small&sparse-0-0,6.42-32.13-5.45,0,6-5-7,46.094
A2WHM23M5NAM4W,32,-1,2,shape,4,large&dense,25.64,0,4,60
A2WHM23M5NAM4W,22,2,2,num,0,large&sparse,5.92,0,0-7,60
A2WHM23M5NAM4W,62,-1,2,center position,4,large&dense,4.42,1,4,18.619
A2WHM23M5NAM4W,23,3,2,num,0-6-3,large&dense-large&dense-small&sparse,4.16-3.73-1.49,1,3-6-0,11.452
A2WHM23M5NAM4W,17,3,0,pos,4,0,5.36,0,0-5,60
A2WHM23M5NAM4W,8,0,1,pos,1-0,large&dense-0,6.58-12.48,0,1-6,20.452
A2WHM23M5NAM4W,35,3,0,num,,0,,0,6-5-0,60
A2WHM23M5NAM4W,3,1,2,pos,7,small&sparse,7.16,1,7,8.618
A2WHM23M5NAM4W,33,1,0,num,,0,,0,5,60
A2WHM23M5NAM4W,9,1,1,pos,1,small&dense,5.68,1,1,11.954
A2WHM23M5NAM4W,4,2,2,pos,2-0-6,small&dense-small&dense-small&sparse,6.83-2.39-2.66,1,0-2-6,14.079
A2WHM23M5NAM4W,3,-1,2,point number,,0,,0,1,60
A2WHM23M5NAM4W,6,4,1,pos,2,small&dense,11.20,1,2,13.264
A2WHM23M5NAM4W,28,2,1,num,0-2-7,small&dense-small&sparse-0,4.12-20.07-4.92,0,0-2-5,33.684
A2WHM23M5NAM4W,18,4,2,num,7-5-0,small&dense-small&sparse-0,3.34-2.70-21.48,0,7-2-5,31.852
A2WHM23M5NAM4W,11,3,1,pos,4-6-1,0-small&dense-small&dense,3.74-2.66-2.36,0,6-1-0,10.281
A2WHM23M5NAM4W,30,4,0,num,5,small&dense,29.80,0,5-0,60
A2WHM23M5NAM4W,19,5,2,num,3,small&dense,4.75,1,3,8.123
A2WHM23M5NAM4W,25,5,1,num,6-7,0-0,7.85-1.53,0,1-0,14.532
A2WHM23M5NAM4W,31,5,0,num,0-5,0-large&dense,5.00-1.99,0,6-5,9.738
A2WHM23M5NAM4W,32,0,0,num,0,0,6.20,0,7,9.167
A2WHM23M5NAM4W,16,2,0,pos,1-0,small&sparse-small&dense,1.95-9.23,1,1-0,19.383
A2WHM23M5NAM4W,2,0,2,pos,5-6,small&dense-small&sparse,4.55-7.50,0,5-4-6,60
A2WHM23M5NAM4W,26,0,1,num,4-7-0,small&dense-0-0,9.42-7.38-1.99,0,3-4-6,20.582
A2WHM23M5NAM4W,24,4,1,num,2-6,small&dense-small&sparse,12.99-3.42,1,2-6,21.94
