userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A55TVOL4JWIAY,0,4,2,pos,3-4,small&dense-small&sparse,9.68-3.51,1,3-4,14.712
A55TVOL4JWIAY,27,1,1,num,5,small&sparse,16.93,1,5,18.199
A55TVOL4JWIAY,12,4,0,pos,6,large&dense,2.00,1,6,27.155
A55TVOL4JWIAY,21,1,2,num,1,small&sparse,14.96,1,1,19.576
A55TVOL4JWIAY,29,3,1,num,4,small&sparse,4.37,1,4,5.359
A55TVOL4JWIAY,15,1,0,pos,2,0,24.05,0,7,25.709
A55TVOL4JWIAY,60,-1,2,center position,5,small&dense,2.60,1,5,3.862
A55TVOL4JWIAY,34,2,0,num,3,0,28.96,0,5-7-6,60
A55TVOL4JWIAY,1,5,2,pos,2,small&sparse,7.44,1,2,9.418
A55TVOL4JWIAY,20,0,2,num,7-4,large&dense-small&dense,3.77-11.84,1,4-7,26.241
A55TVOL4JWIAY,7,5,1,pos,5-3-4,small&sparse-large&sparse-0,5.73-7.94-4.82,0,5-3-7,19.754
A55TVOL4JWIAY,5,3,2,pos,0-3,large&dense-small&sparse,2.76-5.11,1,0-3,9.214
A55TVOL4JWIAY,10,2,1,pos,3-7,large&dense-small&dense,2.55-2.26,1,7-3,6.149
A55TVOL4JWIAY,13,5,0,pos,0-7-5,large&sparse-0-large&dense,3.12-3.30-13.09,0,3-5-0,20.779
A55TVOL4JWIAY,14,0,0,pos,7-5-6,large&dense-large&dense-small&sparse,7.31-9.71-4.01,1,6-5-7,22.198
A55TVOL4JWIAY,32,-1,2,shape,4,large&dense,3.31,1,4,4.505
A55TVOL4JWIAY,22,2,2,num,0-7,large&sparse-small&sparse,7.81-32.74,1,0-7,42.462
A55TVOL4JWIAY,62,-1,2,center position,4,large&dense,3.00,1,4,19.963
A55TVOL4JWIAY,23,3,2,num,6-7-3,large&dense-0-small&sparse,2.65-3.63-6.59,0,3-6-0,13.98
A55TVOL4JWIAY,17,3,0,pos,0-3,small&dense-0,1.75-33.33,0,0-5,45.277
A55TVOL4JWIAY,17,3,0,pos,0-3,small&dense-0,1.75-33.33,0,0-5,45.664
A55TVOL4JWIAY,8,0,1,pos,6-1,large&sparse-large&dense,9.04-3.93,1,1-6,13.967
A55TVOL4JWIAY,35,3,0,num,5-0-6,large&sparse-small&sparse-small&dense,32.14-6.11-6.28,1,6-5-0,46.277
A55TVOL4JWIAY,3,1,2,pos,7,small&sparse,16.14,1,7,17.591
A55TVOL4JWIAY,33,1,0,num,5,small&sparse,21.43,1,5,22.885
A55TVOL4JWIAY,9,1,1,pos,1,small&dense,4.91,1,1,5.871
A55TVOL4JWIAY,4,2,2,pos,0-6-2,small&dense-small&sparse-small&dense,7.03-2.74-2.11,1,0-2-6,13.546
A55TVOL4JWIAY,3,-1,2,point number,1,large&dense,4.77,1,1,7.706
A55TVOL4JWIAY,6,4,1,pos,2,small&dense,0.95,1,2,16.111
A55TVOL4JWIAY,28,2,1,num,2-5-6,small&sparse-small&sparse-0,11.03-19.14-20.15,0,0-2-5,52.763
A55TVOL4JWIAY,18,4,2,num,5-7-1-6,small&sparse-small&dense-0-0,8.01-4.97-45.20-0.62,0,7-2-5,60
A55TVOL4JWIAY,11,3,1,pos,6-0-1,small&dense-large&sparse-small&dense,2.52-4.70-18.95,1,6-1-0,27.924
A55TVOL4JWIAY,30,4,0,num,2-5,0-small&dense,7.76-5.08,0,5-0,13.839
A55TVOL4JWIAY,19,5,2,num,3,small&dense,6.97,1,3,8.071
A55TVOL4JWIAY,25,5,1,num,0-1,large&sparse-small&sparse,6.20-42.13,1,1-0,50.648
A55TVOL4JWIAY,31,5,0,num,5-3,large&dense-0,11.24-6.62,0,6-5,19.122
A55TVOL4JWIAY,32,0,0,num,7,small&sparse,7.18,1,7,8.285
A55TVOL4JWIAY,16,2,0,pos,0-7,small&dense-0,2.13-12.56,0,1-0,15.665
A55TVOL4JWIAY,2,0,2,pos,4-6-5,large&sparse-small&sparse-small&dense,5.76-5.14-1.82,1,5-4-6,13.926
A55TVOL4JWIAY,26,0,1,num,4-3-7,small&dense-small&sparse-0,3.19-2.82-6.30,0,3-4-6,13.483
A55TVOL4JWIAY,24,4,1,num,2-6,small&dense-small&sparse,5.91-8.20,1,2-6,15.971
