userName,fileId,conditionId,changeMagnitude,changeType,clickOrder,clickClusterType,clickTime,userResult,rightAnswer,totalTime
A10JXOU89D5RXR,0,5,2,pos,3-4,small&dense-small&sparse,3.54-3.10,1,3-4,8.379
A10JXOU89D5RXR,27,2,1,num,5,small&sparse,6.89,1,5,9.107
A10JXOU89D5RXR,12,5,0,pos,6,large&dense,7.74,1,6,10.921
A10JXOU89D5RXR,21,2,2,num,1,small&sparse,6.19,1,1,9.18
A10JXOU89D5RXR,29,4,1,num,4,small&sparse,4.50,1,4,6.225
A10JXOU89D5RXR,15,2,0,pos,7,small&sparse,17.78,1,7,19.555
A10JXOU89D5RXR,60,-1,2,center position,5,small&dense,6.17,1,5,7.91
A10JXOU89D5RXR,34,3,0,num,6-7,small&sparse-large&dense,19.16-9.56,0,5-7-6,60
A10JXOU89D5RXR,1,0,2,pos,2,small&sparse,12.25,1,2,14.115
A10JXOU89D5RXR,20,1,2,num,7-4,large&dense-small&dense,4.54-4.61,1,4-7,10.572
A10JXOU89D5RXR,7,0,1,pos,7-5-6,small&sparse-small&sparse-0,3.19-3.47-5.04,0,5-3-7,13.53
A10JXOU89D5RXR,5,4,2,pos,3-0,small&sparse-large&dense,4.53-1.22,1,0-3,7.57
A10JXOU89D5RXR,10,3,1,pos,3-7,large&dense-small&dense,2.69-1.27,1,7-3,5.381
A10JXOU89D5RXR,13,0,0,pos,0-3-5,large&sparse-small&dense-large&dense,4.44-5.02-16.67,1,3-5-0,27.585
A10JXOU89D5RXR,14,1,0,pos,1-2-6,0-0-small&sparse,5.43-3.25-5.10,0,6-5-7,15.539
A10JXOU89D5RXR,32,-1,2,shape,4,large&dense,6.69,1,4,8.558
A10JXOU89D5RXR,22,3,2,num,7-0,small&sparse-large&sparse,14.71-2.92,1,0-7,19.068
A10JXOU89D5RXR,62,-1,2,center position,4,large&dense,3.15,1,4,5.058
A10JXOU89D5RXR,23,4,2,num,0-6-1,large&dense-large&dense-0,3.50-3.96-13.76,0,3-6-0,23.422
A10JXOU89D5RXR,17,4,0,pos,0-6,small&dense-0,3.79-11.14,0,0-5,19.348
A10JXOU89D5RXR,8,1,1,pos,1-6,large&dense-large&sparse,3.81-7.91,1,1-6,13.325
A10JXOU89D5RXR,35,4,0,num,7-2-3,0-0-0,14.59-8.92-8.86,0,6-5-0,42.07
A10JXOU89D5RXR,3,2,2,pos,7,small&sparse,7.21,1,7,9.596
A10JXOU89D5RXR,33,2,0,num,5,small&sparse,14.79,1,5,16.577
A10JXOU89D5RXR,9,2,1,pos,1,small&dense,2.10,1,1,3.798
A10JXOU89D5RXR,4,3,2,pos,2-6-0,small&dense-small&sparse-small&dense,2.44-1.41-1.45,1,0-2-6,6.897
A10JXOU89D5RXR,3,-1,2,point number,1,large&dense,6.77,1,1,8.305
A10JXOU89D5RXR,6,5,1,pos,2,small&dense,4.29,1,2,5.646
A10JXOU89D5RXR,28,3,1,num,0-5-2,small&dense-small&sparse-small&sparse,3.66-20.30-4.90,1,0-2-5,30.518
A10JXOU89D5RXR,18,5,2,num,5-7-2,small&sparse-small&dense-small&dense,2.59-1.54-1.58,1,7-2-5,7.026
A10JXOU89D5RXR,11,4,1,pos,6-1-0,small&dense-small&dense-large&sparse,4.17-5.18-13.73,1,6-1-0,24.807
A10JXOU89D5RXR,30,5,0,num,5-0,small&dense-small&dense,3.80-20.56,1,5-0,25.856
A10JXOU89D5RXR,19,0,2,num,3,small&dense,3.79,1,3,5.636
A10JXOU89D5RXR,25,0,1,num,0,large&sparse,6.66,0,1-0,60
A10JXOU89D5RXR,31,0,0,num,5,large&dense,23.12,0,6-5,60
A10JXOU89D5RXR,32,1,0,num,7,small&sparse,41.27,1,7,43.233
A10JXOU89D5RXR,16,3,0,pos,0-1,small&dense-small&sparse,3.17-3.70,1,1-0,8.471
A10JXOU89D5RXR,2,1,2,pos,5-6-4,small&dense-small&sparse-large&sparse,3.39-2.38-3.23,1,5-4-6,11.093
A10JXOU89D5RXR,26,1,1,num,3-6-1,small&sparse-large&sparse-0,4.79-2.11-6.82,0,3-4-6,15.397
A10JXOU89D5RXR,24,5,1,num,2-6,small&dense-small&sparse,5.71-4.74,1,2-6,11.851
